,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"cardiac toxicities, acute renal failure, tumor lysis syndrome, pulmonary toxicity, pulmonary hypertension, dyspnea, hypertension, venous thrombosis, infusion reactions, thrombocytopenia, hepatic toxicity, hepatic failure, thrombotic thrombocytopenic purpura, hemolytic uremic syndrome, posterior reversible encephalopathy syndrome (PRES), anemia, fatigue, nausea, pyrexia, decreased platelets, diarrhea, decreased lymphocyte, headache, decreased hemoglobin, cough, edema peripheral, neutropenia, decreased total white blood cell count, muscle spasm, upper respiratory tract infection, hypokalemia, pneumonia, respiratory tract infection, pulmonary embolism, constipation, lymphopenia, leukopenia, vomiting, chills, asthenia, nasopharyngitis, bronchitis, hypocalcemia, hyperglycemia, back pain, arthralgia, pain in extremity, musculoskeletal pain, decreased appetite, hypercalcemia, muscle spasms, dizziness, insomnia, renal failure, epistaxis, hypertension, febrile neutropenia, cardiac arrest, cardiac failure congestive, myocardial infarction, myocardial ischemia, cataract, blurred vision, abdominal pain, abdominal pain upper, dyspepsia, toothache, infusion site reaction, multi-organ failure, pain, hepatobiliary disorders, hepatic failure, influenza, sepsis, urinary tract infection, viral infection, hyperkalemia, hyperuricemia, hypoalbuminemia, hypomagnesemia, hyponatremia, hypophosphatemia, musculoskeletal chest pain, myalgia, hypoesthesia, paresthesia, anxiety, renal impairment, dysphonia, oropharyngeal pain, pulmonary edema, erythema, hyperhidrosis, pruritus, rash, deep vein thrombosis, hypotension, dehydration, thrombotic thrombocytopenic purpura/hemolytic uremic syndrome (TTP/HUS)."
1,KYPROLIS,warnings and precautions,"cardiac failure, myocardial infarction, myocardial ischemia, Acute Renal Failure, Tumor Lysis Syndrome (TLS), Acute Respiratory Distress Syndrome, acute respiratory failure, acute diffuse infiltrative pulmonary disease, pneumonitis, interstitial lung disease, Pulmonary Hypertension, Dyspnea, Hypertension, hypertensive crisis, hypertensive emergency, Venous Thrombosis, deep venous thrombosis, pulmonary embolism, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity, Hepatic Failure, Thrombotic thrombocytopenic purpura, hemolytic uremic syndrome (TTP/HUS), Posterior reversible encephalopathy syndrome (PRES), Reversible Posterior Leukoencephalopathy Syndrome (RPLS), Embryo-fetal Toxicity, cardiac arrest, congestive heart failure, pulmonary edema, decreased ejection fraction, restrictive cardiomyopathy, renal impairment, renal failure, New York Heart Association Class III and IV heart failure, conduction abnormalities, arterial hypertension, serum transaminases increase"
2,MULTAQ,adverse reactions,"heart failure, liver injury, pulmonary toxicity, hypokalemia, hypomagnesemia, QT prolongation, diarrhea, nausea, abdominal pain, vomiting, asthenia, gastrointestinal disorders, bradycardia, rashes (generalized rash, macular rash, maculo-papular rash, erythematous rash), pruritus, eczema, dermatitis, dermatitis allergic, photosensitivity reaction, dysgeusia, increases in creatinine, QTc prolongation, atrial flutter with 1:1 atrioventricular conduction, interstitial lung disease, pneumonitis, pulmonary fibrosis, anaphylactic reactions, angioedema, vasculitis, leukocytoclastic vasculitis"
3,MULTAQ,boxed warnings,"decompensated heart failure, permanent atrial fibrillation, symptomatic heart failure, recent decompensation requiring hospitalization, NYHA Class IV heart failure, stroke, death, hospitalization for heart failure"
4,MULTAQ,warnings and precautions,"atrial fibrillation (AF), liver injury, hepatic injury, pulmonary toxicity, hypokalemia, hypomagnesemia, renal impairment, teratogen, NYHA Class IV heart failure, decompensated heart failure, cardiovascular death, stroke, new onset heart failure, worsening heart failure, hepatocellular liver injury, acute liver failure, interstitial lung disease, pneumonitis, pulmonary fibrosis, QT interval prolongation, pre-renal azotemia, acute renal failure"
5,JUBLIA,adverse reactions,"ingrown toenails, application site dermatitis, application site vesicles, application site pain"
6,TEFLARO,adverse reactions,"Hypersensitivity Reactions, Clostridium difficile-Associated Diarrhea, Direct Coombs' Test Seroconversion, Diarrhea, Nausea, Rash, Constipation, Vomiting, Increased Transaminases, Hypokalemia, Phlebitis, Anemia, Eosinophilia, Neutropenia, Thrombocytopenia, Bradycardia, Palpitations, Abdominal Pain, Pyrexia, Hepatitis, Anaphylaxis, Clostridium difficile Colitis, Hyperglycemia, Hyperkalemia, Dizziness, Convulsion, Renal Failure, Urticaria, Agranulocytosis."
7,TEFLARO,warnings and precautions,"serious hypersensitivity reactions, anaphylactic reactions, Clostridium difficile-associated diarrhea (CDAD), diarrhea, drug-induced hemolytic anemia, anemia, fatal colitis, morbidity, mortality, drug-resistant bacteria"
8,DATSCAN,adverse reactions,"hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness, serious adverse reactions, rash, pruritis, injection site pain"
9,DATSCAN,warnings and precautions,"Hypersensitivity reactions, anaphylactic reactions, skin erythema, pruritis, thyroid neoplasia"
10,TIVICAY,adverse reactions,"Hypersensitivity reactions, Hepatitis B, Hepatitis C, Fat Redistribution, Immune Reconstitution Syndrome, Insomnia, Fatigue, Headache, Treatment-emergent Adverse Drug Reactions, Depressions, Abnormal dreams, Dizziness, Nausea, Diarrhea, Rash, Vertigo, Abdominal pain, Abdominal discomfort, Flatulence, Upper abdominal pain, Vomiting, Hepatitis, Myositis, Suicidal ideation, Suicidal attempt, Suicidal behavior, Suicidal completion, Renal impairment, Pruritus, Hyperglycemia, Lipase elevation, Neutropenia, Immune reconstitution inflammatory syndrome (IRIS), Liver enzyme elevations, Increased ALT, Increased AST, Renal glomerular dysfunction, Increased serum creatinine, Bilirubin elevation."
11,TIVICAY,warnings and precautions,"Hypersensitivity reactions, rash, constitutional findings, organ dysfunction, liver injury, hepatitis B, hepatitis C, transaminase elevations, hepatotoxicity, hepatic disease, redistribution/accumulation of body fat, central obesity, dorsocervical fat enlargement (buffalo hump), peripheral wasting, facial wasting, breast enlargement, cushingoid appearance, immune reconstitution syndrome, Mycobacterium avium infection, cytomegalovirus, Pneumocystis jirovecii pneumonia (PCP), tuberculosis, autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome"
12,TAFINLAR,adverse reactions,"New Primary Malignancies, Tumor Promotion in BRAF Wild-Type Melanoma, Hemorrhage, Venous Thromboembolism, Cardiomyopathy, Ocular Toxicities, Serious Febrile Reactions, Serious Skin Toxicity, Hyperglycemia, Glucose-6-Phosphate Dehydrogenase Deficiency, hyperkeratosis, headache, pyrexia, arthralgia, papilloma, alopecia, palmar-plantar erythrodysesthesia syndrome, chills, fatigue, rash, nausea, vomiting, diarrhea, abdominal pain, peripheral edema, cough, night sweats, decreased appetite, constipation, myalgia, BRAF V600E Unresectable or Metastatic Melanoma, Hypophosphatemia, Increased alkaline phosphatase, Hyponatremia, Pancreatitis, Hypersensitivity, bullous rash, Interstitial nephritis, BRAF V600E or V600K Unresectable or Metastatic Melanoma, Stomatitis, Asthenia, Cellulitis, folliculitis, paronychia, rash pustular, Skin papilloma, hyperhidrosis, Hypertension, Leukopenia, Lymphopenia, Neutropenia, Anemia, Thrombocytopenia, Increased AST, increased alkaline phosphatase, Increased ALT, Hyperbilirubinemia, Hyperglycemia, Increased GGT, Hyponatremia, Hypoalbuminemia, Hypophosphatemia, Hypokalemia, Increased creatinine, Hypomagnesemia, Hyperkalemia, Hypercalcemia, Hypocalcemia, QT Prolongation."
