drug_name,id,section,type,start,len,str
XEOMIN,M1,S1,AdverseReaction,143,16,Hypersensitivity
XEOMIN,M2,S1,AdverseReaction,235,9,Dysphagia
XEOMIN,M3,S1,AdverseReaction,249,22,Breathing Difficulties
XEOMIN,M4,S1,AdverseReaction,353,28,Spread of Effects from Toxin
XEOMIN,M5,S1,AdverseReaction,545,9,dysphagia
XEOMIN,M6,S1,AdverseReaction,556,9,neck pain
XEOMIN,M7,S1,AdverseReaction,567,15,muscle weakness
XEOMIN,M8,S1,AdverseReaction,584,19,injection site pain
XEOMIN,M9,S1,AdverseReaction,609,20,musculoskeletal pain
XEOMIN,M10,S1,AdverseReaction,745,13,eyelid ptosis
XEOMIN,M11,S1,AdverseReaction,760,7,dry eye
XEOMIN,M12,S1,AdverseReaction,769,9,dry mouth
XEOMIN,M13,S1,AdverseReaction,780,8,diarrhea
XEOMIN,M14,S1,AdverseReaction,790,8,headache
XEOMIN,M15,S1,AdverseReaction,800,17,visual impairment
XEOMIN,M16,S1,AdverseReaction,819,7,dyspnea
XEOMIN,M17,S1,AdverseReaction,828,15,nasopharyngitis
XEOMIN,M18,S1,AdverseReaction,849,27,respiratory tract infection
XEOMIN,M19,S1,AdverseReaction,991,8,headache
XEOMIN,M20,S1,AdverseReaction,2327,9,dysphagia
XEOMIN,M21,S1,AdverseReaction,2338,9,neck pain
XEOMIN,M22,S1,AdverseReaction,2349,15,muscle weakness
XEOMIN,M23,S1,AdverseReaction,2366,19,injection site pain
XEOMIN,M24,S1,AdverseReaction,2391,20,musculoskeletal pain
XEOMIN,M25,S1,AdverseReaction,2930,9,Neck pain
XEOMIN,M26,S1,AdverseReaction,3041,17,Muscular weakness
XEOMIN,M27,S1,AdverseReaction,3152,20,Musculoskeletal pain
XEOMIN,M28,S1,AdverseReaction,3374,9,Dysphagia
XEOMIN,M29,S1,AdverseReaction,3725,19,Injection site pain
XEOMIN,M30,S1,AdverseReaction,4159,13,blepharospasm
XEOMIN,M31,S1,AdverseReaction,4670,13,eyelid ptosis
XEOMIN,M32,S1,AdverseReaction,4685,7,dry eye
XEOMIN,M33,S1,AdverseReaction,4694,9,dry mouth
XEOMIN,M34,S1,AdverseReaction,4705,8,diarrhea
XEOMIN,M35,S1,AdverseReaction,4715,8,headache
XEOMIN,M36,S1,AdverseReaction,4725,17,visual impairment
XEOMIN,M37,S1,AdverseReaction,4744,7,dyspnea
XEOMIN,M38,S1,AdverseReaction,4753,15,nasopharyngitis
XEOMIN,M39,S1,AdverseReaction,4774,27,respiratory tract infection
XEOMIN,M40,S1,Factor,4875,7,placebo
XEOMIN,M41,S1,Severity,4913,7,serious
XEOMIN,M42,S1,AdverseReaction,4936,7,dyspnea
XEOMIN,M43,S1,AdverseReaction,5463,13,Eyelid ptosis
XEOMIN,M44,S1,AdverseReaction,5572,7,Dry eye
XEOMIN,M45,S1,AdverseReaction,5681,17,Visual impairment
XEOMIN,M46,S1,AdverseReaction,5899,9,Dry mouth
XEOMIN,M47,S1,AdverseReaction,6008,9,Diarrhoea
XEOMIN,M48,S1,AdverseReaction,6226,15,Nasopharyngitis
XEOMIN,M49,S1,AdverseReaction,6333,27,Respiratory tract infection
XEOMIN,M50,S1,AdverseReaction,6553,8,Headache
XEOMIN,M51,S1,AdverseReaction,6882,8,Dyspnoea
XEOMIN,M52,S1,AdverseReaction,7341,8,headache
XEOMIN,M53,S1,AdverseReaction,7361,14,facial paresis
XEOMIN,M54,S1,AdverseReaction,7386,23,injection site hematoma
XEOMIN,M55,S1,AdverseReaction,7423,12,eyelid edema
XEOMIN,M56,S1,AdverseReaction,8493,8,Headache
XEOMIN,M57,S1,AdverseReaction,8595,14,Facial paresis
XEOMIN,M58,S1,AdverseReaction,8611,11,brow ptosis
XEOMIN,M59,S1,AdverseReaction,8833,23,Injection site hematoma
XEOMIN,M60,S1,AdverseReaction,8944,19,Injection site pain
XEOMIN,M61,S1,AdverseReaction,9057,11,Facial pain
XEOMIN,M62,S1,AdverseReaction,9160,23,Injection site swelling
XEOMIN,M63,S1,AdverseReaction,9270,21,Sensation of pressure
XEOMIN,M64,S1,AdverseReaction,9493,12,Eyelid edema
XEOMIN,M65,S1,AdverseReaction,9601,13,Blepharospasm
XEOMIN,M66,S1,AdverseReaction,9711,12,Eye disorder
XEOMIN,M67,S1,AdverseReaction,9819,13,Eyelid ptosis
XEOMIN,M68,S1,AdverseReaction,10030,8,Headache
XEOMIN,M69,S1,AdverseReaction,10122,23,injection site hematoma
XEOMIN,M70,S1,AdverseReaction,10229,14,facial paresis
XEOMIN,M71,S1,AdverseReaction,10245,11,brow ptosis
XEOMIN,M72,S1,AdverseReaction,10259,15,muscle disorder
XEOMIN,M73,S1,AdverseReaction,10276,20,elevation of eyebrow
XEOMIN,M74,S1,AdverseReaction,10299,19,injection site pain
XEOMIN,M75,S1,AdverseReaction,10324,12,eyelid edema
XEOMIN,M76,S1,AdverseReaction,11221,12,eye swelling
XEOMIN,M77,S1,AdverseReaction,11235,12,eyelid edema
XEOMIN,M78,S1,AdverseReaction,11249,9,dysphagia
XEOMIN,M79,S1,AdverseReaction,11260,6,nausea
XEOMIN,M80,S1,AdverseReaction,11268,17,flu-like symptoms
XEOMIN,M81,S1,AdverseReaction,11287,19,injection site pain
XEOMIN,M82,S1,AdverseReaction,11308,23,injection site reaction
XEOMIN,M83,S1,AdverseReaction,11333,19,allergic dermatitis
XEOMIN,M84,S1,AdverseReaction,11354,28,localized allergic reactions
XEOMIN,M85,S1,AdverseReaction,"11354,11388","9,8",localized swelling
XEOMIN,M86,S1,AdverseReaction,"11354,11398","9,5",localized edema
XEOMIN,M87,S1,AdverseReaction,"11354,11405","9,8",localized erythema
XEOMIN,M88,S1,AdverseReaction,"11354,11415","9,8",localized pruritus
XEOMIN,M89,S1,AdverseReaction,"11354,11427","9,4",localized rash
XEOMIN,M90,S1,AdverseReaction,11433,13,herpes zoster
XEOMIN,M91,S1,AdverseReaction,11448,17,muscular weakness
XEOMIN,M92,S1,AdverseReaction,11467,12,muscle spasm
XEOMIN,M93,S1,AdverseReaction,11481,10,dysarthria
XEOMIN,M94,S1,AdverseReaction,11493,7,myalgia
XEOMIN,M95,S1,AdverseReaction,11505,16,hypersensitivity
XEOMIN,M96,S2,AdverseReaction,30,30,DISTANT SPREAD OF TOXIN EFFECT
XEOMIN,M97,S2,AdverseReaction,75,30,DISTANT SPREAD OF TOXIN EFFECT
XEOMIN,M98,S2,Factor,204,3,may
XEOMIN,M99,S2,AdverseReaction,208,33,spread from the area of injection
XEOMIN,M100,S2,AdverseReaction,288,13,toxin effects
XEOMIN,M101,S2,Factor,309,3,may
XEOMIN,M102,S2,AdverseReaction,321,8,asthenia
XEOMIN,M103,S2,AdverseReaction,331,27,generalized muscle weakness
XEOMIN,M104,S2,AdverseReaction,360,8,diplopia
XEOMIN,M105,S2,AdverseReaction,370,14,blurred vision
XEOMIN,M106,S2,AdverseReaction,386,6,ptosis
XEOMIN,M107,S2,AdverseReaction,394,9,dysphagia
XEOMIN,M108,S2,AdverseReaction,405,9,dysphonia
XEOMIN,M109,S2,AdverseReaction,416,10,dysarthria
XEOMIN,M110,S2,AdverseReaction,428,20,urinary incontinence
XEOMIN,M111,S2,AdverseReaction,453,22,breathing difficulties
XEOMIN,M112,S2,AdverseReaction,"543,568","10,12",Swallowing difficulties
XEOMIN,M113,S2,AdverseReaction,"543,568","10,12",Swallowing difficulties
XEOMIN,M114,S2,AdverseReaction,558,22,breathing difficulties
XEOMIN,M115,S2,AdverseReaction,558,22,breathing difficulties
XEOMIN,M116,S2,Severity,588,16,life threatening
XEOMIN,M117,S2,AdverseReaction,636,5,death
XEOMIN,M118,S2,AdverseReaction,1014,16,spread of effect
XEOMIN,M119,S2,AdverseReaction,1210,30,DISTANT SPREAD OF TOXIN EFFECT
XEOMIN,M120,S2,Factor,1371,3,may
XEOMIN,M121,S2,AdverseReaction,1375,33,spread from the area of injection
XEOMIN,M122,S2,AdverseReaction,1455,13,toxin effects
XEOMIN,M123,S2,AdverseReaction,"1536,1561","10,12",Swallowing difficulties
XEOMIN,M124,S2,AdverseReaction,1551,22,breathing difficulties
XEOMIN,M125,S2,Factor,1574,3,can
XEOMIN,M126,S2,Severity,1581,16,life threatening
XEOMIN,M127,S2,AdverseReaction,1629,5,death
XEOMIN,M128,S3,Factor,829,4,risk
XEOMIN,M129,S3,AdverseReaction,837,9,dysphagia
XEOMIN,M130,S3,AdverseReaction,998,16,Corneal exposure
XEOMIN,M131,S3,AdverseReaction,"998,1019","7,10",Corneal ulceration
XEOMIN,M132,S3,Factor,1089,3,may
XEOMIN,M133,S3,AdverseReaction,1101,16,reduced blinking
XEOMIN,M134,S3,AdverseReaction,1122,16,corneal exposure
XEOMIN,M135,S3,AdverseReaction,"1122,1153","7,10",corneal ulceration
XEOMIN,M136,S3,AdverseReaction,"1122,1167","7,11",corneal perforation
XEOMIN,M137,S3,Factor,1144,8,possible
XEOMIN,M138,S3,Factor,1334,4,Risk
XEOMIN,M139,S3,AdverseReaction,1342,6,ptosis
XEOMIN,M140,S3,AdverseReaction,"1501,1547","13,34",toxin effects beyond the site of local injection
XEOMIN,M141,S3,Factor,1515,3,may
XEOMIN,M142,S3,AdverseReaction,1675,8,asthenia
XEOMIN,M143,S3,AdverseReaction,1685,27,generalized muscle weakness
XEOMIN,M144,S3,AdverseReaction,1714,8,diplopia
XEOMIN,M145,S3,AdverseReaction,1724,14,blurred vision
XEOMIN,M146,S3,AdverseReaction,1740,6,ptosis
XEOMIN,M147,S3,AdverseReaction,1748,9,dysphagia
XEOMIN,M148,S3,AdverseReaction,1759,9,dysphonia
XEOMIN,M149,S3,AdverseReaction,1770,10,dysarthria
XEOMIN,M150,S3,AdverseReaction,1782,20,urinary incontinence
XEOMIN,M151,S3,AdverseReaction,1808,22,breathing difficulties
XEOMIN,M152,S3,AdverseReaction,"1898,1923","10,12",Swallowing difficulties
XEOMIN,M153,S3,AdverseReaction,1913,22,breathing difficulties
XEOMIN,M154,S3,Factor,1936,3,can
XEOMIN,M155,S3,Severity,1943,16,life threatening
XEOMIN,M156,S3,AdverseReaction,1991,5,death
XEOMIN,M157,S3,AdverseReaction,2012,23,spread of toxin effects
XEOMIN,M158,S3,AdverseReaction,2423,22,spread of toxin effect
XEOMIN,M159,S3,AdverseReaction,3177,26,Hypersensitivity reactions
XEOMIN,M160,S3,DrugClass,3228,24,botulinum toxin products
XEOMIN,M161,S3,AdverseReaction,3254,11,anaphylaxis
XEOMIN,M162,S3,AdverseReaction,3267,14,serum sickness
XEOMIN,M163,S3,AdverseReaction,3283,9,urticaria
XEOMIN,M164,S3,AdverseReaction,3294,17,soft tissue edema
XEOMIN,M165,S3,AdverseReaction,3317,7,dyspnea
XEOMIN,M166,S3,Factor,3639,3,can
XEOMIN,M167,S3,AdverseReaction,"3653,3677","10,12",swallowing difficulties
XEOMIN,M168,S3,AdverseReaction,3667,22,breathing difficulties
XEOMIN,M169,S3,AdverseReaction,4057,6,Deaths
XEOMIN,M170,S3,Severity,4085,6,severe
XEOMIN,M171,S3,AdverseReaction,4092,9,dysphagia
XEOMIN,M172,S3,DrugClass,4142,15,botulinum toxin
XEOMIN,M173,S3,AdverseReaction,4159,9,Dysphagia
XEOMIN,M174,S3,AdverseReaction,4281,10,Aspiration
XEOMIN,M175,S3,Factor,4292,3,may
XEOMIN,M176,S3,Severity,4308,6,severe
XEOMIN,M177,S3,AdverseReaction,4315,9,dysphagia
XEOMIN,M178,S3,DrugClass,4480,16,botulinum toxins
XEOMIN,M179,S3,AdverseReaction,4501,19,weaken neck muscles
XEOMIN,M180,S3,Factor,4574,3,may
XEOMIN,M181,S3,Severity,4588,8,critical
XEOMIN,M182,S3,AdverseReaction,4597,26,loss of breathing capacity
XEOMIN,M183,S3,Severity,4765,7,serious
XEOMIN,M184,S3,AdverseReaction,4773,22,breathing difficulties
XEOMIN,M185,S3,AdverseReaction,4807,19,respiratory failure
XEOMIN,M186,S3,DrugClass,4876,24,botulinum toxin products
XEOMIN,M187,S3,Factor,5064,4,risk
XEOMIN,M188,S3,AdverseReaction,5072,9,dysphagia
XEOMIN,M189,S3,Factor,5906,4,risk
XEOMIN,M190,S3,Severity,5955,6,severe
XEOMIN,M191,S3,AdverseReaction,5962,9,dysphagia
XEOMIN,M192,S3,AdverseReaction,5976,22,respiratory compromise
XEOMIN,M193,S3,AdverseReaction,6182,16,Reduced blinking
XEOMIN,M194,S3,DrugClass,6217,24,botulinum toxin products
XEOMIN,M195,S3,AdverseReaction,6280,16,corneal exposure
XEOMIN,M196,S3,AdverseReaction,"6280,6298","7,28",corneal persistent epithelial defect
XEOMIN,M197,S3,AdverseReaction,6331,18,corneal ulceration
XEOMIN,M198,S3,Factor,7801,4,risk
XEOMIN,M199,S3,AdverseReaction,7810,30,transmission of viral diseases
XEOMIN,M200,S3,Factor,7856,4,risk
XEOMIN,M201,S3,AdverseReaction,7881,25,Creutzfeldt-Jakob disease
XEOMIN,M202,S3,AdverseReaction,7908,3,CJD
XEOMIN,M203,S3,AdverseReaction,7908,3,CJD
QUTENZA,M1,S1,AdverseReaction,112,27,Application-Associated Pain
QUTENZA,M2,S1,AdverseReaction,188,26,Increase in Blood Pressure
QUTENZA,M3,S1,AdverseReaction,347,25,application site erythema
QUTENZA,M4,S1,AdverseReaction,374,21,application site pain
QUTENZA,M5,S1,AdverseReaction,397,25,application site pruritus
QUTENZA,M6,S1,AdverseReaction,427,24,application site papules
QUTENZA,M7,S1,AdverseReaction,1552,25,application site erythema
QUTENZA,M8,S1,AdverseReaction,1579,21,application site pain
QUTENZA,M9,S1,AdverseReaction,1602,25,application site pruritus
QUTENZA,M10,S1,AdverseReaction,1632,24,application site papules
QUTENZA,M11,S1,AdverseReaction,1888,26,application site reactions
QUTENZA,M12,S1,AdverseReaction,1888,26,application site reactions
QUTENZA,M13,S1,Severity,1920,9,transient
QUTENZA,M14,S1,Severity,1948,9,Transient
QUTENZA,M15,S1,AdverseReaction,1958,17,increases in pain
QUTENZA,M16,S1,AdverseReaction,2057,14,Pain increases
QUTENZA,M17,S1,AdverseReaction,2868,25,Application Site Erythema
QUTENZA,M18,S1,AdverseReaction,2977,21,Application Site Pain
QUTENZA,M19,S1,AdverseReaction,3086,25,Application Site Pruritus
QUTENZA,M20,S1,AdverseReaction,3195,24,Application Site Papules
QUTENZA,M21,S1,AdverseReaction,3304,22,Application Site Edema
QUTENZA,M22,S1,AdverseReaction,3413,25,Application Site Swelling
QUTENZA,M23,S1,AdverseReaction,3522,24,Application Site Dryness
QUTENZA,M24,S1,AdverseReaction,3740,15,Nasopharyngitis
QUTENZA,M25,S1,AdverseReaction,3849,10,Bronchitis
QUTENZA,M26,S1,AdverseReaction,3958,9,Sinusitis
QUTENZA,M27,S1,AdverseReaction,4176,6,Nausea
QUTENZA,M28,S1,AdverseReaction,4285,8,Vomiting
QUTENZA,M29,S1,AdverseReaction,4503,8,Pruritus
QUTENZA,M30,S1,AdverseReaction,4721,12,Hypertension
QUTENZA,M31,S1,AdverseReaction,4974,26,Application site urticaria
QUTENZA,M32,S1,AdverseReaction,5002,28,Application site paresthesia
QUTENZA,M33,S1,AdverseReaction,5032,27,Application site dermatitis
QUTENZA,M34,S1,AdverseReaction,5061,30,Application site hyperesthesia
QUTENZA,M35,S1,AdverseReaction,5093,28,Application site excoriation
QUTENZA,M36,S1,AdverseReaction,5123,23,Application site warmth
QUTENZA,M37,S1,AdverseReaction,5148,27,Application site anesthesia
QUTENZA,M38,S1,AdverseReaction,5177,25,Application site bruising
QUTENZA,M39,S1,AdverseReaction,5204,29,Application site inflammation
QUTENZA,M40,S1,AdverseReaction,5235,28,Application site exfoliation
QUTENZA,M41,S1,AdverseReaction,5265,16,Peripheral edema
QUTENZA,M42,S1,AdverseReaction,5312,8,Headache
QUTENZA,M43,S1,AdverseReaction,5322,17,Burning sensation
QUTENZA,M44,S1,AdverseReaction,5341,29,Peripheral sensory neuropathy
QUTENZA,M45,S1,AdverseReaction,5372,9,Dizziness
QUTENZA,M46,S1,AdverseReaction,5383,9,Dysgeusia
QUTENZA,M47,S1,AdverseReaction,5394,13,Hyperesthesia
QUTENZA,M48,S1,AdverseReaction,5409,12,Hypoesthesia
QUTENZA,M49,S1,AdverseReaction,5475,5,Cough
QUTENZA,M50,S1,AdverseReaction,5482,17,Throat irritation
QUTENZA,M51,S1,AdverseReaction,5544,18,Abnormal skin odor
QUTENZA,M52,S2,Factor,142,3,can
QUTENZA,M53,S2,AdverseReaction,156,8,coughing
QUTENZA,M54,S2,AdverseReaction,168,8,sneezing
QUTENZA,M55,S2,Severity,489,9,Transient
QUTENZA,M56,S2,AdverseReaction,499,27,increases in blood pressure
QUTENZA,M57,S2,Factor,527,3,may
QUTENZA,M58,S2,Factor,1497,3,can
QUTENZA,M59,S2,AdverseReaction,1511,8,coughing
QUTENZA,M60,S2,AdverseReaction,1523,8,sneezing
QUTENZA,M61,S2,Factor,1978,3,may
QUTENZA,M62,S2,Severity,1993,11,substantial
QUTENZA,M63,S2,AdverseReaction,2005,15,procedural pain
QUTENZA,M64,S2,AdverseReaction,2374,27,increases in blood pressure
QUTENZA,M65,S2,AdverseReaction,2616,27,Increases in blood pressure
QUTENZA,M66,S2,AdverseReaction,2732,17,increases in pain
QUTENZA,M67,S2,Factor,3011,4,risk
QUTENZA,M68,S2,AdverseReaction,3019,30,adverse cardiovascular effects
ZYTIGA,M1,S1,AdverseReaction,112,12,Hypertension
ZYTIGA,M2,S1,AdverseReaction,126,11,Hypokalemia
ZYTIGA,M3,S1,AdverseReaction,143,15,Fluid Retention
ZYTIGA,M4,S1,AdverseReaction,166,24,Mineralocorticoid Excess
ZYTIGA,M5,S1,AdverseReaction,234,28,Adrenocortical Insufficiency
ZYTIGA,M6,S1,AdverseReaction,306,14,Hepatotoxicity
ZYTIGA,M7,S1,AdverseReaction,423,7,fatigue
ZYTIGA,M8,S1,AdverseReaction,432,14,joint swelling
ZYTIGA,M9,S1,AdverseReaction,"432,450","5,10",joint discomfort
ZYTIGA,M10,S1,AdverseReaction,462,5,edema
ZYTIGA,M11,S1,AdverseReaction,469,9,hot flush
ZYTIGA,M12,S1,AdverseReaction,480,8,diarrhea
ZYTIGA,M13,S1,AdverseReaction,490,8,vomiting
ZYTIGA,M14,S1,AdverseReaction,500,5,cough
