drug_name,id,type,arg1,arg2
XEOMIN,RL1,Effect,M42,M41
XEOMIN,RL2,Negated,M42,M40
XEOMIN,RL3,Hypothetical,M99,M98
XEOMIN,RL4,Hypothetical,M100,M98
XEOMIN,RL5,Hypothetical,M102,M101
XEOMIN,RL6,Hypothetical,M103,M101
XEOMIN,RL7,Hypothetical,M104,M101
XEOMIN,RL8,Hypothetical,M105,M101
XEOMIN,RL9,Hypothetical,M106,M101
XEOMIN,RL10,Hypothetical,M107,M101
XEOMIN,RL11,Hypothetical,M108,M101
XEOMIN,RL12,Hypothetical,M109,M101
XEOMIN,RL13,Hypothetical,M110,M101
XEOMIN,RL14,Hypothetical,M111,M101
XEOMIN,RL15,Effect,M113,M116
XEOMIN,RL16,Effect,M115,M116
XEOMIN,RL17,Hypothetical,M121,M120
XEOMIN,RL18,Effect,M123,M126
XEOMIN,RL19,Hypothetical,M123,M125
XEOMIN,RL20,Effect,M124,M126
XEOMIN,RL21,Hypothetical,M124,M125
XEOMIN,RL22,Hypothetical,M129,M128
XEOMIN,RL23,Hypothetical,M133,M132
XEOMIN,RL24,Hypothetical,M134,M132
XEOMIN,RL25,Hypothetical,M135,M137
XEOMIN,RL26,Hypothetical,M136,M137
XEOMIN,RL27,Hypothetical,M139,M138
XEOMIN,RL28,Hypothetical,M140,M141
XEOMIN,RL29,Effect,M152,M155
XEOMIN,RL30,Hypothetical,M152,M154
XEOMIN,RL31,Effect,M153,M155
XEOMIN,RL32,Hypothetical,M153,M154
XEOMIN,RL33,Hypothetical,M159,M160
XEOMIN,RL34,Hypothetical,M161,M160
XEOMIN,RL35,Hypothetical,M162,M160
XEOMIN,RL36,Hypothetical,M163,M160
XEOMIN,RL37,Hypothetical,M164,M160
XEOMIN,RL38,Hypothetical,M165,M160
XEOMIN,RL39,Hypothetical,M167,M166
XEOMIN,RL40,Hypothetical,M168,M166
XEOMIN,RL41,Hypothetical,M169,M172
XEOMIN,RL42,Hypothetical,M171,M172
XEOMIN,RL43,Effect,M171,M170
XEOMIN,RL44,Hypothetical,M174,M175
XEOMIN,RL45,Effect,M177,M176
XEOMIN,RL46,Hypothetical,M179,M178
XEOMIN,RL47,Effect,M182,M181
XEOMIN,RL48,Hypothetical,M182,M180
XEOMIN,RL49,Effect,M184,M183
XEOMIN,RL50,Hypothetical,M184,M186
XEOMIN,RL51,Hypothetical,M185,M186
XEOMIN,RL52,Hypothetical,M188,M187
XEOMIN,RL53,Effect,M191,M190
XEOMIN,RL54,Hypothetical,M191,M189
XEOMIN,RL55,Hypothetical,M192,M189
XEOMIN,RL56,Hypothetical,M193,M194
XEOMIN,RL57,Hypothetical,M195,M194
XEOMIN,RL58,Hypothetical,M196,M194
XEOMIN,RL59,Hypothetical,M197,M194
XEOMIN,RL60,Hypothetical,M199,M198
XEOMIN,RL61,Hypothetical,M201,M200
XEOMIN,RL62,Hypothetical,M202,M200
QUTENZA,RL1,Effect,M12,M13
QUTENZA,RL2,Effect,M15,M14
QUTENZA,RL3,Hypothetical,M53,M52
QUTENZA,RL4,Hypothetical,M54,M52
QUTENZA,RL5,Effect,M56,M55
QUTENZA,RL6,Hypothetical,M56,M57
QUTENZA,RL7,Hypothetical,M59,M58
QUTENZA,RL8,Hypothetical,M60,M58
QUTENZA,RL9,Effect,M63,M62
QUTENZA,RL10,Hypothetical,M63,M61
QUTENZA,RL11,Hypothetical,M68,M67
ZYTIGA,RL1,Effect,M72,M69
ZYTIGA,RL2,Effect,M72,M70
ZYTIGA,RL3,Effect,M72,M71
ZYTIGA,RL4,Effect,M103,M100
ZYTIGA,RL5,Effect,M103,M101
ZYTIGA,RL6,Effect,M103,M102
ZYTIGA,RL7,Effect,M116,M113
ZYTIGA,RL8,Effect,M116,M114
ZYTIGA,RL9,Effect,M116,M115
ZYTIGA,RL10,Effect,M121,M118
ZYTIGA,RL11,Effect,M121,M119
ZYTIGA,RL12,Negated,M121,M122
ZYTIGA,RL13,Effect,M121,M120
ZYTIGA,RL14,Negated,M123,M125
ZYTIGA,RL15,Negated,M124,M125
ZYTIGA,RL16,Effect,M127,M128
ZYTIGA,RL17,Effect,M127,M129
ZYTIGA,RL18,Negated,M134,M133
ZYTIGA,RL19,Negated,M134,M135
ZYTIGA,RL20,Negated,M138,M139
ZYTIGA,RL21,Negated,M142,M143
ZYTIGA,RL22,Hypothetical,M153,M152
ZYTIGA,RL23,Hypothetical,M154,M152
ZYTIGA,RL24,Hypothetical,M155,M152
ZYTIGA,RL25,Effect,M160,M157
ZYTIGA,RL26,Effect,M160,M158
ZYTIGA,RL27,Effect,M160,M159
ZYTIGA,RL28,Effect,M164,M161
ZYTIGA,RL29,Effect,M164,M162
ZYTIGA,RL30,Effect,M164,M163
ZYTIGA,RL31,Effect,M168,M165
ZYTIGA,RL32,Effect,M168,M166
ZYTIGA,RL33,Effect,M168,M167
ZYTIGA,RL34,Effect,M175,M174
ZYTIGA,RL35,Effect,M175,M173
ZYTIGA,RL36,Effect,M176,M174
ZYTIGA,RL37,Effect,M176,M173
ZYTIGA,RL38,Negated,M180,M179
TOVIAZ,RL1,Effect,M36,M38
TOVIAZ,RL2,Effect,M36,M39
TOVIAZ,RL3,Effect,M36,M40
TOVIAZ,RL4,Effect,M37,M38
TOVIAZ,RL5,Effect,M37,M39
TOVIAZ,RL6,Effect,M37,M40
TOVIAZ,RL7,Effect,M68,M71
TOVIAZ,RL8,Hypothetical,M68,M70
STRIBILD,RL1,Effect,M3,M2
STRIBILD,RL2,Effect,M6,M5
STRIBILD,RL3,Effect,M52,M54
STRIBILD,RL4,Effect,M53,M54
STRIBILD,RL5,Negated,M67,M66
STRIBILD,RL6,Effect,M75,M73
STRIBILD,RL7,Effect,M75,M74
STRIBILD,RL8,Effect,M75,M83
STRIBILD,RL9,Effect,M75,M84
STRIBILD,RL10,Effect,M76,M73
STRIBILD,RL11,Effect,M76,M74
STRIBILD,RL12,Effect,M76,M85
STRIBILD,RL13,Effect,M77,M73
STRIBILD,RL14,Effect,M77,M74
STRIBILD,RL15,Effect,M77,M86
STRIBILD,RL16,Effect,M78,M73
STRIBILD,RL17,Effect,M78,M74
STRIBILD,RL18,Effect,M78,M87
STRIBILD,RL19,Effect,M78,M88
STRIBILD,RL20,Effect,M79,M73
STRIBILD,RL21,Effect,M79,M74
STRIBILD,RL22,Effect,M79,M89
STRIBILD,RL23,Effect,M80,M73
STRIBILD,RL24,Effect,M80,M74
STRIBILD,RL25,Effect,M80,M90
STRIBILD,RL26,Effect,M81,M73
STRIBILD,RL27,Effect,M81,M74
STRIBILD,RL28,Effect,M81,M91
STRIBILD,RL29,Effect,M82,M73
STRIBILD,RL30,Effect,M82,M74
STRIBILD,RL31,Effect,M82,M92
STRIBILD,RL32,Effect,M137,M136
STRIBILD,RL33,Effect,M142,M141
STRIBILD,RL34,Effect,M147,M146
STRIBILD,RL35,Effect,M151,M150
STRIBILD,RL36,Effect,M154,M153
STRIBILD,RL37,Effect,M159,M158
STRIBILD,RL38,Effect,M163,M162
STRIBILD,RL39,Hypothetical,M167,M166
STRIBILD,RL40,Hypothetical,M168,M166
STRIBILD,RL41,Effect,M176,M175
STRIBILD,RL42,Effect,M187,M186
STRIBILD,RL43,Effect,M193,M192
STRIBILD,RL44,Hypothetical,M193,M191
STRIBILD,RL45,Effect,M195,M194
STRIBILD,RL46,Hypothetical,M205,M204
STRIBILD,RL47,Hypothetical,M221,M220
STRIBILD,RL48,Hypothetical,M222,M220
STRIBILD,RL49,Hypothetical,M223,M220
STRIBILD,RL50,Hypothetical,M224,M220
STRIBILD,RL51,Hypothetical,M225,M220
STRIBILD,RL52,Hypothetical,M226,M220
FARXIGA,RL1,Hypothetical,M57,M56
FARXIGA,RL2,Effect,M83,M82
FARXIGA,RL3,Effect,M85,M84
FARXIGA,RL4,Effect,M86,M84
FARXIGA,RL5,Effect,M90,M89
FARXIGA,RL6,Effect,M109,M108
FARXIGA,RL7,Effect,M111,M110
FARXIGA,RL8,Hypothetical,M129,M130
FARXIGA,RL9,Hypothetical,M133,M134
FARXIGA,RL10,Hypothetical,M136,M135
FARXIGA,RL11,Hypothetical,M138,M137
VICTRELIS,RL1,Hypothetical,M70,M69
VICTRELIS,RL2,Hypothetical,M71,M69
VICTRELIS,RL3,Hypothetical,M76,M75
VICTRELIS,RL4,Effect,M79,M78
VICTRELIS,RL5,Hypothetical,M83,M82
VICTRELIS,RL6,Hypothetical,M84,M82
VICTRELIS,RL7,Effect,M102,M100
VICTRELIS,RL8,Effect,M102,M101
VICTRELIS,RL9,Effect,M105,M104
VICTRELIS,RL10,Effect,M107,M106
VICTRELIS,RL11,Effect,M109,M108
VIMIZIM,RL1,Hypothetical,M18,M17
VIMIZIM,RL2,Hypothetical,M20,M19
VIMIZIM,RL3,Effect,M22,M21
VIMIZIM,RL4,Hypothetical,M41,M40
VIMIZIM,RL5,Effect,M43,M42
VIMIZIM,RL6,Effect,M60,M59
