drug_name,section_id,reaction_string,meddra_pt,meddra_pt_id,meddra_llt,meddra_llt_id,section_name,section,str,discontinuous_term,negated_term,meddra_exact_term
XEOMIN,S1,hypersensitivity,Hypersensitivity,10020751.0,,,adverse reactions,S1,hypersensitivity,0,0,1
XEOMIN,S1,dysphagia,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0,0,1
XEOMIN,S1,breathing difficulties,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,adverse reactions,S1,breathing difficulties,0,0,0
XEOMIN,S1,spread of effects from toxin,,,,,adverse reactions,S1,spread of effects from toxin,0,0,0
XEOMIN,S1,dysphagia,Dysphagia,10013950.0,,,adverse reactions,S1,dysphagia,0,0,1
XEOMIN,S1,neck pain,Neck pain,10028836.0,,,adverse reactions,S1,neck pain,0,0,1
XEOMIN,S1,muscle weakness,Muscular weakness,10028372.0,Muscle weakness,10028350.0,adverse reactions,S1,muscle weakness,0,0,1
XEOMIN,S1,injection site pain,Injection site pain,10022086.0,,,adverse reactions,S1,injection site pain,0,0,1
XEOMIN,S1,musculoskeletal pain,Musculoskeletal pain,10028391.0,,,adverse reactions,S1,musculoskeletal pain,0,0,1
XEOMIN,S1,eyelid ptosis,Eyelid ptosis,10015995.0,,,adverse reactions,S1,eyelid ptosis,0,0,1
XEOMIN,S1,dry eye,Dry eye,10013774.0,,,adverse reactions,S1,dry eye,0,0,1
XEOMIN,S1,dry mouth,Dry mouth,10013781.0,,,adverse reactions,S1,dry mouth,0,0,1
XEOMIN,S1,diarrhea,Diarrhoea,10012735.0,Diarrhea,10012727.0,adverse reactions,S1,diarrhea,0,0,1
XEOMIN,S1,headache,Headache,10019211.0,,,adverse reactions,S1,headache,0,0,1
XEOMIN,S1,visual impairment,Visual impairment,10047571.0,,,adverse reactions,S1,visual impairment,0,0,1
XEOMIN,S1,dyspnea,Dyspnoea,10013968.0,Dyspnea,10013963.0,adverse reactions,S1,dyspnea,0,1,1
XEOMIN,S1,nasopharyngitis,Nasopharyngitis,10028810.0,,,adverse reactions,S1,nasopharyngitis,0,0,1
