drug_name,section_name,term,meddra_code
KYPROLIS,adverse reactions,cardiac toxicities,
KYPROLIS,adverse reactions,acute renal failure,10001041.0
KYPROLIS,adverse reactions,tumor lysis syndrome,10045170.0
KYPROLIS,adverse reactions,pulmonary toxicity,10061924.0
KYPROLIS,adverse reactions,pulmonary hypertension,10037400.0
KYPROLIS,adverse reactions,dyspnea,10013968.0
KYPROLIS,adverse reactions,hypertension,10020772.0
KYPROLIS,adverse reactions,venous thrombosis,10047249.0
KYPROLIS,adverse reactions,infusion reactions,
KYPROLIS,adverse reactions,thrombocytopenia,10043551.0
KYPROLIS,adverse reactions,hepatic toxicity and hepatic failure,
KYPROLIS,adverse reactions,thrombotic thrombocytopenic purpura/hemolytic uremic syndrome,
KYPROLIS,adverse reactions,posterior reversible encephalopathy syndrome (pres),
KYPROLIS,adverse reactions,anemia,10002034.0
KYPROLIS,adverse reactions,fatigue,10016256.0
KYPROLIS,adverse reactions,thrombocytopenia,10043551.0
KYPROLIS,adverse reactions,nausea,10028813.0
KYPROLIS,adverse reactions,pyrexia,10037660.0
KYPROLIS,adverse reactions,decreased platelets,
KYPROLIS,adverse reactions,dyspnea,10013968.0
KYPROLIS,adverse reactions,diarrhea,10012735.0
KYPROLIS,adverse reactions,decreased lymphocyte,
KYPROLIS,adverse reactions,headache,10019211.0
KYPROLIS,adverse reactions,decreased hemoglobin,10011964.0
KYPROLIS,adverse reactions,cough,10011224.0
KYPROLIS,adverse reactions,edema peripheral,10030124.0
KYPROLIS,adverse reactions,decreased lymphocytes,
KYPROLIS,adverse reactions,decreased absolute neutrophil count,
KYPROLIS,adverse reactions,decreased phosphorus,
KYPROLIS,adverse reactions,neutropenia,10029354.0
KYPROLIS,adverse reactions,decreased total white blood cell count,
KYPROLIS,adverse reactions,muscle spasm,10028333.0
KYPROLIS,adverse reactions,upper respiratory tract infection,10046306.0
KYPROLIS,adverse reactions,hypokalemia,10021015.0
KYPROLIS,adverse reactions,febrile neutropenia,10016288.0
KYPROLIS,adverse reactions,lymphopenia,10025327.0
KYPROLIS,adverse reactions,cardiac arrest,10007515.0
KYPROLIS,adverse reactions,cardiac failure,10007554.0
KYPROLIS,adverse reactions,cardiac failure congestive,10007559.0
KYPROLIS,adverse reactions,myocardial infarction,10028596.0
KYPROLIS,adverse reactions,myocardial ischemia,10028600.0
KYPROLIS,adverse reactions,cataract,10007739.0
KYPROLIS,adverse reactions,vision blurred,10047513.0
KYPROLIS,adverse reactions,abdominal pain,10000081.0
KYPROLIS,adverse reactions,dyspepsia,10013946.0
KYPROLIS,adverse reactions,toothache,10044055.0
KYPROLIS,adverse reactions,chills,10008531.0
KYPROLIS,adverse reactions,infusion site reaction,10054996.0
KYPROLIS,adverse reactions,multi-organ failure,10028154.0
KYPROLIS,adverse reactions,pain,10033371.0
KYPROLIS,adverse reactions,influenza,10022000.0
KYPROLIS,adverse reactions,sepsis,10040047.0
KYPROLIS,adverse reactions,urinary tract infection,10046571.0
KYPROLIS,adverse reactions,viral infection,10047461.0
KYPROLIS,adverse reactions,dehydration,10012174.0
KYPROLIS,adverse reactions,hyperkalemia,10020646.0
KYPROLIS,adverse reactions,hyperuricemia,10020903.0
KYPROLIS,adverse reactions,hypoalbuminemia,10020942.0
KYPROLIS,adverse reactions,hyponatremia,10021036.0
KYPROLIS,adverse reactions,deep vein thrombosis,10051055.0
KYPROLIS,adverse reactions,hypotension.,
KYPROLIS,warnings and precautions,cardiac toxicities,
KYPROLIS,warnings and precautions,acute renal failure,10001041.0
KYPROLIS,warnings and precautions,tumor lysis syndrome,10045170.0
KYPROLIS,warnings and precautions,pulmonary toxicity,10061924.0
KYPROLIS,warnings and precautions,pulmonary hypertension,10037400.0
KYPROLIS,warnings and precautions,dyspnea,10013968.0
KYPROLIS,warnings and precautions,hypertension,10020772.0
KYPROLIS,warnings and precautions,venous thrombosis,10047249.0
KYPROLIS,warnings and precautions,infusion reactions,
KYPROLIS,warnings and precautions,thrombocytopenia,10043551.0
KYPROLIS,warnings and precautions,hepatic toxicity,
KYPROLIS,warnings and precautions,thrombotic thrombocytopenic purpura,10043648.0
KYPROLIS,warnings and precautions,posterior reversible encephalopathy syndrome,10071066.0
KYPROLIS,warnings and precautions,embryo-fetal toxicity,
MULTAQ,adverse reactions,heart failure,10019279.0
MULTAQ,adverse reactions,liver injury,10067125.0
MULTAQ,adverse reactions,pulmonary toxicity,10061924.0
MULTAQ,adverse reactions,hypokalemia,10021015.0
MULTAQ,adverse reactions,hypomagnesemia,10021027.0
MULTAQ,adverse reactions,qt prolongation,
MULTAQ,adverse reactions,diarrhea,10012735.0
MULTAQ,adverse reactions,nausea,10028813.0
MULTAQ,adverse reactions,abdominal pain,10000081.0
MULTAQ,adverse reactions,vomiting,10047700.0
MULTAQ,adverse reactions,asthenia,10003549.0
MULTAQ,adverse reactions,bradycardia,10006093.0
MULTAQ,adverse reactions,skin rash,10040913.0
MULTAQ,adverse reactions,pruritus,10037087.0
MULTAQ,adverse reactions,dermatitis,10012431.0
MULTAQ,adverse reactions,photosensitivity reaction,10034972.0
MULTAQ,adverse reactions,dysgeusia,10013911.0
MULTAQ,adverse reactions,early increases in creatinine,
MULTAQ,adverse reactions,prolonged qtc,
MULTAQ,adverse reactions,atrial flutter,10003662.0
MULTAQ,adverse reactions,pneumonitis,10035742.0
MULTAQ,adverse reactions,pulmonary fibrosis,10037383.0
MULTAQ,adverse reactions,anaphylactic reactions,
MULTAQ,adverse reactions,angioedema,10002424.0
MULTAQ,adverse reactions,vasculitis,10047115.0
MULTAQ,adverse reactions,leukocytoclastic vasculitis,10024377.0
MULTAQ,boxed warnings,risk of death,
MULTAQ,boxed warnings,stroke,10042244.0
MULTAQ,boxed warnings,heart failure,10019279.0
MULTAQ,boxed warnings,atrial fibrillation,10003658.0
MULTAQ,boxed warnings,decompensation,
MULTAQ,boxed warnings,hospitalization,10054112.0
MULTAQ,boxed warnings,nyha class iv,
MULTAQ,warnings and precautions,cardiovascular death,
MULTAQ,warnings and precautions,heart failure,10019279.0
MULTAQ,warnings and precautions,arrhythmic,
MULTAQ,warnings and precautions,stroke,10042244.0
MULTAQ,warnings and precautions,hepatic injury,
MULTAQ,warnings and precautions,liver injury,10067125.0
MULTAQ,warnings and precautions,pulmonary toxicity,10061924.0
MULTAQ,warnings and precautions,hypokalemia,10021015.0
MULTAQ,warnings and precautions,hypomagnesemia,10021027.0
MULTAQ,warnings and precautions,qt interval prolongation,
MULTAQ,warnings and precautions,renal impairment,10062237.0
MULTAQ,warnings and precautions,renal failure,10038435.0
MULTAQ,warnings and precautions,teratogen,
JUBLIA,adverse reactions,ingrown toenails,
JUBLIA,adverse reactions,application site dermatitis,10003036.0
JUBLIA,adverse reactions,application site vesicles,10048941.0
JUBLIA,adverse reactions,application site pain,10003051.0
TEFLARO,adverse reactions,hypersensitivity reactions,
TEFLARO,adverse reactions,clostridium difficile-associated diarrhea,
TEFLARO,adverse reactions,direct coombs' test seroconversion,
TEFLARO,adverse reactions,diarrhea,10012735.0
TEFLARO,adverse reactions,nausea,10028813.0
TEFLARO,adverse reactions,rash,10037844.0
TEFLARO,adverse reactions,hypersensitivity,10020751.0
TEFLARO,adverse reactions,anaphylaxis,10002218.0
TEFLARO,adverse reactions,clostridium difficile colitis,10009657.0
TEFLARO,adverse reactions,increased transaminases,
TEFLARO,adverse reactions,hypokalemia,10021015.0
TEFLARO,adverse reactions,rash,10037844.0
TEFLARO,adverse reactions,phlebitis,10034879.0
TEFLARO,adverse reactions,anemia,10002034.0
TEFLARO,adverse reactions,eosinophilia,10014950.0
TEFLARO,adverse reactions,neutropenia,10029354.0
TEFLARO,adverse reactions,thrombocytopenia,10043551.0
TEFLARO,adverse reactions,bradycardia,10006093.0
TEFLARO,adverse reactions,palpitations,10033557.0
TEFLARO,adverse reactions,abdominal pain,10000081.0
TEFLARO,adverse reactions,pyrexia,10037660.0
TEFLARO,adverse reactions,hepatitis,10019717.0
TEFLARO,adverse reactions,dizziness,10013573.0
TEFLARO,adverse reactions,convulsion,10010904.0
TEFLARO,adverse reactions,renal failure,10038435.0
TEFLARO,adverse reactions,urticaria,10046735.0
TEFLARO,adverse reactions,agranulocytosis,10001507.0
TEFLARO,warnings and precautions,hypersensitivity reactions,
TEFLARO,warnings and precautions,anaphylactic reactions,
TEFLARO,warnings and precautions,clostridium difficile-associated diarrhea,
TEFLARO,warnings and precautions,cdad,
TEFLARO,warnings and precautions,direct coombs' test,
TEFLARO,warnings and precautions,drug-induced hemolytic anemia,
DATSCAN,adverse reactions,hypersensitivity,10020751.0
DATSCAN,adverse reactions,injection site reactions,10022097.0
DATSCAN,adverse reactions,headache,10019211.0
DATSCAN,adverse reactions,nausea,10028813.0
DATSCAN,adverse reactions,vertigo,10047340.0
DATSCAN,adverse reactions,dry mouth,10013781.0
DATSCAN,adverse reactions,dizziness,10013573.0
DATSCAN,adverse reactions,rash,10037844.0
DATSCAN,adverse reactions,pruritis,10037086.0
DATSCAN,adverse reactions,injection site pain,10022086.0
DATSCAN,warnings and precautions,hypersensitivity reactions,
DATSCAN,warnings and precautions,anaphylactic,
DATSCAN,warnings and precautions,skin erythema,10040842.0
DATSCAN,warnings and precautions,pruritis,10037086.0
DATSCAN,warnings and precautions,corticosteroids,
DATSCAN,warnings and precautions,anti-histamines,
DATSCAN,warnings and precautions,thyroid-blocking agent,
DATSCAN,warnings and precautions,free iodide,
DATSCAN,warnings and precautions,thyroid accumulation,
DATSCAN,warnings and precautions,potassium iodide,
DATSCAN,warnings and precautions,lugol's solution,
DATSCAN,warnings and precautions,thyroid neoplasia,10043743.0
TIVICAY,adverse reactions,hypersensitivity reactions,
TIVICAY,adverse reactions,effects on serum liver biochemistries,
TIVICAY,adverse reactions,fat redistribution,10048474.0
TIVICAY,adverse reactions,immune reconstitution syndrome,10054014.0
TIVICAY,adverse reactions,insomnia,10022437.0
TIVICAY,adverse reactions,fatigue,10016256.0
TIVICAY,adverse reactions,headache,10019211.0
TIVICAY,adverse reactions,depression,10012378.0
TIVICAY,adverse reactions,abnormal dreams,10000125.0
TIVICAY,adverse reactions,dizziness,10013573.0
TIVICAY,adverse reactions,nausea,10028813.0
TIVICAY,adverse reactions,diarrhea,10012735.0
TIVICAY,adverse reactions,rash,10037844.0
TIVICAY,adverse reactions,vertigo,10047340.0
TIVICAY,adverse reactions,abdominal pain,10000081.0
TIVICAY,adverse reactions,flatulence,10016766.0
TIVICAY,adverse reactions,vomiting,10047700.0
TIVICAY,adverse reactions,hepatitis,10019717.0
TIVICAY,adverse reactions,myositis,10028653.0
TIVICAY,adverse reactions,suicidal ideation,10042458.0
TIVICAY,adverse reactions,renal impairment,10062237.0
TIVICAY,adverse reactions,pruritus,10037087.0
TIVICAY,adverse reactions,elevated alt,
TIVICAY,adverse reactions,elevated ast,
TIVICAY,adverse reactions,elevated creatine kinase,
TIVICAY,adverse reactions,hyperglycemia,10020635.0
TIVICAY,adverse reactions,elevated lipase,
TIVICAY,adverse reactions,elevated total neutrophils,
TIVICAY,adverse reactions,elevated cholesterol,10014476.0
TIVICAY,adverse reactions,elevated hdl cholesterol,
TIVICAY,adverse reactions,elevated ldl cholesterol,
TIVICAY,adverse reactions,elevated triglycerides,10014486.0
TIVICAY,warnings and precautions,hypersensitivity reactions,
TIVICAY,warnings and precautions,rash,10037844.0
TIVICAY,warnings and precautions,constitutional findings,
TIVICAY,warnings and precautions,organ dysfunction,
TIVICAY,warnings and precautions,liver injury,10067125.0
TIVICAY,warnings and precautions,transaminase elevations,
TIVICAY,warnings and precautions,hepatotoxicity,10019851.0
TIVICAY,warnings and precautions,fat redistribution,10048474.0
TIVICAY,warnings and precautions,immune reconstitution syndrome,10054014.0
TIVICAY,warnings and precautions,central obesity,10065941.0
TIVICAY,warnings and precautions,peripheral wasting,
TIVICAY,warnings and precautions,facial wasting,10056866.0
TIVICAY,warnings and precautions,breast enlargement,10006242.0
TIVICAY,warnings and precautions,cushingoid appearance,
TIVICAY,warnings and precautions,autoimmune disorders,10003816.0
TAFINLAR,adverse reactions,new primary malignancies,
TAFINLAR,adverse reactions,tumor promotion in braf wild-type melanoma,
TAFINLAR,adverse reactions,hemorrhage,10055798.0
TAFINLAR,adverse reactions,venous thromboembolism,10066899.0
TAFINLAR,adverse reactions,cardiomyopathy,10007636.0
TAFINLAR,adverse reactions,ocular toxicities,
TAFINLAR,adverse reactions,serious febrile reactions,
TAFINLAR,adverse reactions,serious skin toxicity,
TAFINLAR,adverse reactions,hyperglycemia,10020635.0
TAFINLAR,adverse reactions,glucose-6-phosphate dehydrogenase deficiency,10018444.0
TAFINLAR,adverse reactions,hyperkeratosis,10020649.0
TAFINLAR,adverse reactions,headache,10019211.0
TAFINLAR,adverse reactions,pyrexia,10037660.0
TAFINLAR,adverse reactions,arthralgia,10003239.0
TAFINLAR,adverse reactions,papilloma,10033713.0
TAFINLAR,adverse reactions,alopecia,10001760.0
TAFINLAR,adverse reactions,palmar-plantar erythrodysesthesia syndrome,10054524.0
TAFINLAR,adverse reactions,chills,10008531.0
TAFINLAR,adverse reactions,fatigue,10016256.0
TAFINLAR,adverse reactions,rash,10037844.0
TAFINLAR,adverse reactions,nausea,10028813.0
TAFINLAR,adverse reactions,vomiting,10047700.0
TAFINLAR,adverse reactions,diarrhea,10012735.0
TAFINLAR,adverse reactions,abdominal pain,10000081.0
TAFINLAR,adverse reactions,peripheral edema,10034570.0
TAFINLAR,adverse reactions,cough,10011224.0
TAFINLAR,adverse reactions,night sweats,10029410.0
TAFINLAR,adverse reactions,decreased appetite,10061428.0
TAFINLAR,adverse reactions,constipation,10010774.0
TAFINLAR,adverse reactions,myalgia,10028411.0
TAFINLAR,adverse reactions,hyperkeratosis,10020649.0
TAFINLAR,adverse reactions,headache,10019211.0
TAFINLAR,adverse reactions,pyrexia,10037660.0
TAFINLAR,adverse reactions,arthralgia,10003239.0
TAFINLAR,adverse reactions,papilloma,10033713.0
TAFINLAR,adverse reactions,alopecia,10001760.0
