 ,section_name,gpt_output,manual_output,similarity,discontinuous_term,negated_term,hypothetical_term,meddra_exact_term,sophia,uog,0/0,0/1,1/0,1/1
IMPAVIDO,adverse reactions,nausea,nausea,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,vomiting,vomiting,1.000000119,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,diarrhea,diarrhea,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,headache,headache,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,decreased appetite,decreased appetite,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,dizziness,dizziness,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,abdominal pain,abdominal pain,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,pruritus,pruritus,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,somnolence,somnolence,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,elevated transaminases,elevated transaminases,1,0,0,0,0,,,,,,
IMPAVIDO,adverse reactions,elevated creatinine,elevated creatinine,1,0,0,0,0,,,,,,
IMPAVIDO,adverse reactions,stevens-johnson syndrome,stevens-johnson syndrome,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,melena,melena,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,thrombocytopenia,thrombocytopenia,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,arthritis,arthritis,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,skin rash,skin rash,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,ctcae grade 4 diarrhea,diarrhea,0.6443705559,0,0,0,1,1,1,0,0,0,1
IMPAVIDO,adverse reactions,ctcae grade 4 hyperbilirubinemia,hyperbilirubinemia,0.7316358089,0,0,0,1,1,1,0,0,0,1
IMPAVIDO,adverse reactions,asthenia,asthenia,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,motion sickness,motion sickness,1.000000119,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,malaise,malaise,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,pyrexia,pyrexia,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,lymphangitis,lymphangitis,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,anemia,anemia,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,lymphadenopathy,lymphadenopathy,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,abdominal distension,abdominal distension,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,constipation,constipation,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,dysphagia,dysphagia,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,flatulence,flatulence,0.9999998212,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,fatigue,fatigue,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,abscess,abscess,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,cellulitis,cellulitis,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,ecthyma,ecthyma,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,paresthesia,paresthesia,1.000000119,0,0,0,1,,,,,,
