drug,adverse_event,comp_term,is_overlapping
XEOMIN,Hypersensitivity,Precautions Dysphagia and,0
XEOMIN,Hypersensitivity,reactions to XEOMIN are discussed in greater detail in other sections of,0
XEOMIN,Dysphagia,Dysphagia and Breathing Difficulties in Treatment,1
XEOMIN,Dysphagia,Dysphagia and,1
XEOMIN,Dysphagia,Dysphagia and,1
XEOMIN,Dysphagia,Dysphagia and Breathing,1
XEOMIN,Dysphagia,Dysphagia and,1
XEOMIN,Dysphagia,cervical dystonia,0
XEOMIN,Dysphagia,and Dysphagia,1
XEOMIN,Dysphagia,cervical dystonia,0
XEOMIN,Breathing Difficulties,and Warnings,0
XEOMIN,Breathing Difficulties,Dysphagia Breathing Difficulties in Treatment of,1
XEOMIN,Breathing Difficulties,and Warnings,0
XEOMIN,Breathing Difficulties,and Warnings and Precautions Dysphagia and,0
XEOMIN,Breathing Difficulties,Spread of,0
XEOMIN,Breathing Difficulties,and Precautions Spread of,0
XEOMIN,Breathing Difficulties,Breathing Difficulties in Treatment,1
XEOMIN,Breathing Difficulties,and Precautions Spread of,0
XEOMIN,Breathing Difficulties,Precautions Spread of Effects,0
XEOMIN,Breathing Difficulties,and Precautions,0
XEOMIN,Breathing Difficulties,Precautions Dysphagia Breathing Difficulties in Treatment of cervical dystonia,1
XEOMIN,Breathing Difficulties,and Precautions,0
XEOMIN,Spread of Effects from Toxin,dystonia see Warnings and Spread of Effects from Toxin see,1
XEOMIN,Spread of Effects from Toxin,and Precautions,0
XEOMIN,dysphagia,site pain and musculoskeletal,0
XEOMIN,dysphagia,dysphagia neck pain muscle,1
XEOMIN,dysphagia,site pain and musculoskeletal,0
XEOMIN,dysphagia,dysphagia,1
XEOMIN,dysphagia,pain muscle weakness injection site pain and,0
XEOMIN,neck pain,neck pain muscle weakness injection site pain,1
XEOMIN,neck pain,injection,0
XEOMIN,neck pain,most commonly,0
XEOMIN,neck pain,are neck pain muscle,1
XEOMIN,neck pain,most commonly,0
XEOMIN,neck pain,neck pain muscle weakness,1
XEOMIN,neck pain,most commonly,0
XEOMIN,neck pain,and placebo are neck pain,1
XEOMIN,neck pain,most commonly,0
XEOMIN,neck pain,and musculoskeletal pain Blepharospasm,0
XEOMIN,neck pain,musculoskeletal pain,0
XEOMIN,neck pain,neck pain,1
XEOMIN,neck pain,commonly observed adverse reactions,0
XEOMIN,injection site pain,injection site,1
XEOMIN,injection site pain,injection site pain and musculoskeletal pain Blepharospasm,1
XEOMIN,injection site pain,injection site,1
XEOMIN,injection site pain,muscle injection,1
XEOMIN,injection site pain,muscle injection site pain and musculoskeletal,1
XEOMIN,injection site pain,muscle injection,1
XEOMIN,injection site pain,injection site pain and musculoskeletal pain Blepharospasm,1
XEOMIN,injection site pain,muscle injection,1
XEOMIN,injection site pain,pain muscle injection site,1
XEOMIN,eyelid ptosis,eyelid ptosis dry eye dry mouth diarrhea,1
XEOMIN,eyelid ptosis,pain muscle injection site,1
XEOMIN,eyelid ptosis,most,0
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache,1
XEOMIN,dry eye,most,0
XEOMIN,dry eye,nasopharyngitis and,0
XEOMIN,dry eye,dry eye dry mouth diarrhea headache,1
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea headache visual,1
XEOMIN,dry eye,dry eye dry mouth diarrhea headache,1
XEOMIN,dry eye,dry eye dry mouth diarrhea headache,1
XEOMIN,dry eye,eyelid dry,1
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea,1
XEOMIN,dry eye,eyelid dry,1
XEOMIN,dry eye,The most commonly observed adverse reactions of patients,0
XEOMIN,dry eye,patients,0
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache visual,1
XEOMIN,dry eye,patients,0
XEOMIN,dry mouth,are eyelid ptosis dry dry mouth diarrhea headache visual impairment,1
XEOMIN,dry mouth,patients,0
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment,1
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment dyspnea,1
XEOMIN,dry mouth,eyelid ptosis dry dry mouth diarrhea headache,1
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment dyspnea,1
XEOMIN,dry mouth,eyelid ptosis dry dry mouth diarrhea headache,1
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment dyspnea,1
XEOMIN,dry mouth,dry mouth diarrhea,1
XEOMIN,dry mouth,dry dry mouth diarrhea headache visual impairment,1
XEOMIN,dry mouth,dry mouth diarrhea,1
XEOMIN,dry mouth,are eyelid ptosis dry dry mouth,1
XEOMIN,dry mouth,dry mouth diarrhea,1
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment dyspnea,1
XEOMIN,dry mouth,impairment dyspnea nasopharyngitis and,0
XEOMIN,headache,dry eye dry mouth diarrhea,0
XEOMIN,headache,adverse reactions of patients and placebo are eyelid ptosis dry,0
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis and,1
XEOMIN,headache,headache visual,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis and,1
XEOMIN,headache,headache,1
XEOMIN,headache,headache visual impairment,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,headache,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,visual impairment,0
XEOMIN,visual impairment,and respiratory,0
XEOMIN,visual impairment,ptosis dry eye dry mouth diarrhea,0
XEOMIN,visual impairment,infection,0
XEOMIN,visual impairment,dry mouth diarrhea visual impairment,1
XEOMIN,visual impairment,infection,0
XEOMIN,visual impairment,eyelid ptosis dry,0
