drug,adverse_event,comp_term,is_overlapping,similarity
XEOMIN,Hypersensitivity,Precautions Dysphagia and,0,0.5108517408370972
XEOMIN,Hypersensitivity,reactions to XEOMIN are discussed in greater detail in other sections of,0,0.5541527271270752
XEOMIN,Dysphagia,Dysphagia and Breathing Difficulties in Treatment,1,0.7662919163703918
XEOMIN,Dysphagia,Dysphagia and,1,0.8648718595504761
XEOMIN,Dysphagia,Dysphagia and Breathing,1,0.8217616081237793
XEOMIN,Dysphagia,cervical dystonia,0,0.5698997974395752
XEOMIN,Dysphagia,and Dysphagia,1,0.8281235694885254
XEOMIN,Breathing Difficulties,and Warnings,0,0.5314047932624817
XEOMIN,Breathing Difficulties,Dysphagia Breathing Difficulties in Treatment of,1,0.8040156364440918
XEOMIN,Breathing Difficulties,and Warnings and Precautions Dysphagia and,0,0.5838045477867126
XEOMIN,Breathing Difficulties,Spread of,0,0.4999118149280548
XEOMIN,Breathing Difficulties,and Precautions Spread of,0,0.48922693729400635
XEOMIN,Breathing Difficulties,Breathing Difficulties in Treatment,1,0.9020907878875732
XEOMIN,Breathing Difficulties,Precautions Spread of Effects,0,0.5300055742263794
XEOMIN,Breathing Difficulties,and Precautions,0,0.5478771328926086
XEOMIN,Breathing Difficulties,Precautions Dysphagia Breathing Difficulties in Treatment of cervical dystonia,1,0.7056832313537598
XEOMIN,Spread of Effects from Toxin,dystonia see Warnings and Spread of Effects from Toxin see,1,0.7693529725074768
XEOMIN,Spread of Effects from Toxin,and Precautions,0,0.5448421239852905
XEOMIN,dysphagia,site pain and musculoskeletal,0,0.5294997096061707
XEOMIN,dysphagia,dysphagia neck pain muscle,1,0.7071641683578491
XEOMIN,dysphagia,dysphagia,1,1.0
XEOMIN,dysphagia,pain muscle weakness injection site pain and,0,0.497218519449234
XEOMIN,neck pain,neck pain muscle weakness injection site pain,1,0.7485462427139282
XEOMIN,neck pain,injection,0,0.5023574829101562
XEOMIN,neck pain,most commonly,0,0.4542856812477112
XEOMIN,neck pain,are neck pain muscle,1,0.8077836632728577
XEOMIN,neck pain,neck pain muscle weakness,1,0.8082943558692932
XEOMIN,neck pain,and placebo are neck pain,1,0.7351228594779968
XEOMIN,neck pain,and musculoskeletal pain Blepharospasm,0,0.6232843995094299
XEOMIN,neck pain,musculoskeletal pain,0,0.7814058065414429
XEOMIN,neck pain,neck pain,1,1.0
XEOMIN,neck pain,commonly observed adverse reactions,0,0.5177659392356873
XEOMIN,injection site pain,injection site,1,0.8447697758674622
XEOMIN,injection site pain,injection site pain and musculoskeletal pain Blepharospasm,1,0.8054114580154419
XEOMIN,injection site pain,muscle injection,1,0.6743203401565552
XEOMIN,injection site pain,muscle injection site pain and musculoskeletal,1,0.8598981499671936
