drug,adverse_event,comp_term,is_overlapping,similarity
XEOMIN,Hypersensitivity,Precautions Dysphagia and,0,0.5257009267807007
XEOMIN,Hypersensitivity,reactions to XEOMIN are discussed in greater detail in other sections of,0,0.6445651650428772
XEOMIN,Dysphagia,Dysphagia and Breathing Difficulties in Treatment,1,0.8230819702148438
XEOMIN,Dysphagia,Dysphagia and,1,0.9282095432281494
XEOMIN,Dysphagia,Dysphagia and Breathing,1,0.8738216161727905
XEOMIN,Dysphagia,cervical dystonia,0,0.5939018130302429
XEOMIN,Dysphagia,and Dysphagia,1,0.9268420934677124
XEOMIN,Breathing Difficulties,and Warnings,0,0.5421971678733826
XEOMIN,Breathing Difficulties,Dysphagia Breathing Difficulties in Treatment of,1,0.8246653079986572
XEOMIN,Breathing Difficulties,and Warnings and Precautions Dysphagia and,0,0.6262839436531067
XEOMIN,Breathing Difficulties,Spread of,0,0.500250518321991
XEOMIN,Breathing Difficulties,and Precautions Spread of,0,0.5196155309677124
XEOMIN,Breathing Difficulties,Breathing Difficulties in Treatment,1,0.912757396697998
XEOMIN,Breathing Difficulties,Precautions Spread of Effects,0,0.5556197166442871
XEOMIN,Breathing Difficulties,and Precautions,0,0.5501430034637451
XEOMIN,Breathing Difficulties,Precautions Dysphagia Breathing Difficulties in Treatment of cervical dystonia,1,0.7401078343391418
XEOMIN,Spread of Effects from Toxin,dystonia see Warnings and Spread of Effects from Toxin see,1,0.7964558601379395
XEOMIN,Spread of Effects from Toxin,and Precautions,0,0.5696677565574646
XEOMIN,dysphagia,site pain and musculoskeletal,0,0.5223532915115356
XEOMIN,dysphagia,dysphagia neck pain muscle,1,0.7829279899597168
XEOMIN,dysphagia,dysphagia,1,1.0
XEOMIN,dysphagia,pain muscle weakness injection site pain and,0,0.5388007164001465
XEOMIN,neck pain,neck pain muscle weakness injection site pain,1,0.7965306043624878
XEOMIN,neck pain,injection,0,0.5006465911865234
XEOMIN,neck pain,most commonly,0,0.4687093496322632
XEOMIN,neck pain,are neck pain muscle,1,0.87636399269104
XEOMIN,neck pain,neck pain muscle weakness,1,0.8497850298881531
XEOMIN,neck pain,and placebo are neck pain,1,0.8160827159881592
XEOMIN,neck pain,and musculoskeletal pain Blepharospasm,0,0.6534010171890259
XEOMIN,neck pain,musculoskeletal pain,0,0.7486284971237183
XEOMIN,neck pain,neck pain,1,0.9999998807907104
XEOMIN,neck pain,commonly observed adverse reactions,0,0.5204709768295288
XEOMIN,injection site pain,injection site,1,0.8863976001739502
XEOMIN,injection site pain,injection site pain and musculoskeletal pain Blepharospasm,1,0.8234094977378845
XEOMIN,injection site pain,muscle injection,1,0.7159873247146606
XEOMIN,injection site pain,muscle injection site pain and musculoskeletal,1,0.8716647028923035
XEOMIN,injection site pain,pain muscle injection site,1,0.8781063556671143
XEOMIN,eyelid ptosis,eyelid ptosis dry eye dry mouth diarrhea,1,0.8246747255325317
XEOMIN,eyelid ptosis,pain muscle injection site,1,0.48556986451148987
XEOMIN,eyelid ptosis,most,0,0.48525410890579224
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache,1,0.7876243591308594
XEOMIN,dry eye,most,0,0.484833687543869
XEOMIN,dry eye,nasopharyngitis and,0,0.5644375681877136
XEOMIN,dry eye,dry eye dry mouth diarrhea headache,1,0.7822693586349487
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea headache visual,1,0.7456997632980347
XEOMIN,dry eye,eyelid dry,1,0.904924213886261
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea,1,0.7886158227920532
XEOMIN,dry eye,The most commonly observed adverse reactions of patients,0,0.5148249268531799
XEOMIN,dry eye,patients,0,0.5436002016067505
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache visual,1,0.7755800485610962
XEOMIN,dry mouth,are eyelid ptosis dry dry mouth diarrhea headache visual impairment,1,0.6847014427185059
XEOMIN,dry mouth,patients,0,0.5740906000137329
