drug_name,section_name,gpt35_output
KYPROLIS,adverse reactions,"Cardiac Toxicities, Acute Renal Failure, Tumor Lysis Syndrome, Pulmonary Toxicity, Pulmonary Hypertension, Dyspnea, Hypertension, Venous Thrombosis, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity and Hepatic Failure, Thrombotic Thrombocytopenic Purpura/Hemolytic Uremic Syndrome, Posterior Reversible Encephalopathy Syndrome (PRES), anemia, fatigue, thrombocytopenia, nausea, pyrexia, decreased platelets, dyspnea, diarrhea, decreased lymphocyte, headache, decreased hemoglobin, cough, edema peripheral, decreased lymphocytes, decreased absolute neutrophil count, decreased phosphorus, neutropenia, decreased total white blood cell count, muscle spasm, upper respiratory tract infection, hypokalemia, febrile neutropenia, lymphopenia, cardiac arrest, cardiac failure, cardiac failure congestive, myocardial infarction, myocardial ischemia, cataract, vision blurred, abdominal pain, dyspepsia, toothache, chills, infusion site reaction, multi-organ failure, pain, influenza, sepsis, urinary tract infection, viral infection, dehydration, hyperkalemia, hyperuricemia, hypoalbuminemia, hyponatremia, deep vein thrombosis, hypotension."
KYPROLIS,warnings and precautions,"cardiac toxicities, acute renal failure, tumor lysis syndrome, pulmonary toxicity, pulmonary hypertension, dyspnea, hypertension, venous thrombosis, infusion reactions, thrombocytopenia, hepatic toxicity, thrombotic thrombocytopenic purpura, posterior reversible encephalopathy syndrome, embryo-fetal toxicity"
MULTAQ,adverse reactions,"heart failure, liver injury, pulmonary toxicity, hypokalemia, hypomagnesemia, QT prolongation, diarrhea, nausea, abdominal pain, vomiting, asthenia, bradycardia, skin rash, pruritus,  dermatitis, photosensitivity reaction, dysgeusia, early increases in creatinine, prolonged QTc, atrial flutter, pneumonitis, pulmonary fibrosis, anaphylactic reactions, angioedema, vasculitis, leukocytoclastic vasculitis"
MULTAQ,boxed warnings,"risk of death, stroke, heart failure, atrial fibrillation, decompensation, hospitalization, NYHA Class IV"
MULTAQ,warnings and precautions,"cardiovascular death, heart failure, arrhythmic, stroke, hepatic injury, liver injury, pulmonary toxicity, hypokalemia, hypomagnesemia, QT interval prolongation, renal impairment, renal failure, teratogen"
JUBLIA,adverse reactions,"ingrown toenails, application site dermatitis, application site vesicles, application site pain"
TEFLARO,adverse reactions,"Hypersensitivity Reactions, Clostridium difficile-Associated diarrhea, Direct Coombs' Test Seroconversion, diarrhea, nausea, rash, hypersensitivity, anaphylaxis, Clostridium difficile colitis, increased transaminases, hypokalemia, rash, phlebitis, anemia, eosinophilia, neutropenia, thrombocytopenia, bradycardia, palpitations, abdominal pain, pyrexia, hepatitis, dizziness, convulsion, renal failure, urticaria, agranulocytosis"
TEFLARO,warnings and precautions,"hypersensitivity reactions, anaphylactic reactions, clostridium difficile-associated diarrhea, CDAD, direct Coombs' test, drug-induced hemolytic anemia"
DATSCAN,adverse reactions,"hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness, rash, pruritis, injection site pain"
DATSCAN,warnings and precautions,"Hypersensitivity reactions, anaphylactic, skin erythema, pruritis, corticosteroids, anti-histamines, thyroid-blocking agent, free iodide, thyroid accumulation, potassium iodide, Lugol's Solution, thyroid neoplasia"
TIVICAY,adverse reactions,"hypersensitivity reactions, effects on serum liver biochemistries, fat redistribution, immune reconstitution syndrome, insomnia, fatigue, headache, depression, abnormal dreams, dizziness, nausea, diarrhea, rash, vertigo, abdominal pain, flatulence, vomiting, hepatitis, myositis, suicidal ideation, renal impairment, pruritus, elevated ALT, elevated AST, elevated creatine kinase, hyperglycemia, elevated lipase, elevated total neutrophils, elevated cholesterol, elevated HDL cholesterol, elevated LDL cholesterol, elevated triglycerides"
TIVICAY,warnings and precautions,"hypersensitivity reactions, rash, constitutional findings, organ dysfunction, liver injury, transaminase elevations, hepatotoxicity, fat redistribution, immune reconstitution syndrome, central obesity, peripheral wasting, facial wasting, breast enlargement, cushingoid appearance, autoimmune disorders"
TAFINLAR,adverse reactions,"New Primary Malignancies, Tumor Promotion in BRAF Wild-Type Melanoma, Hemorrhage, Venous Thromboembolism, Cardiomyopathy, Ocular Toxicities, Serious Febrile Reactions, Serious Skin Toxicity, Hyperglycemia, Glucose-6-Phosphate Dehydrogenase Deficiency, hyperkeratosis, headache, pyrexia, arthralgia, papilloma, alopecia, palmar-plantar erythrodysesthesia syndrome, chills, fatigue, rash, nausea, vomiting, diarrhea, abdominal pain, peripheral edema, cough, night sweats, decreased appetite, constipation, myalgia, hyperkeratosis, headache, pyrexia, arthralgia, papilloma, alopecia, palmar-plantar erythrodysesthesia syndrome, rash, cough, constipation, myalgia, vision blurred, transient blindness, stomatitis, pancreatitis, asthenia, cellulitis, folliculitis, paronychia, hypertension, palpitation, dry mucous membranes, decreased caloric intake, sunken eyes, hypovolemia, and abnormal electrocardiogram QT correction."
TAFINLAR,warnings and precautions,"Retinal vein occlusion, interstitial lung disease, new primary malignancies, cutaneous and non-cutaneous, tumor promotion, hemorrhage, venous thromboembolism, cardiomyopathy, ocular toxicities, serious febrile reactions, serious skin toxicity, hyperglycemia, glucose-6-phosphate dehydrogenase deficiency, embryofetal toxicity"
HORIZANT,adverse reactions,"somnolence, sedation, dizziness, headache, nausea, dry mouth, flatulence, fatigue, irritability, feeling drunk, feeling abnormal, peripheral edema, weight increased, increased appetite, vertigo, depression, libido decreased, balance disorder, blurred vision, disorientation, lethargy, breast enlargement, gynecomastia, elevated creatine kinase"
HORIZANT,warnings and precautions,"driving impairment, somnolence, sedation, dizziness, suicidal thoughts, suicidal behavior, drug reaction with eosinophilia and systemic symptoms, DRESS, discontinuation syndrome"
IMBRUVICA,adverse reactions,"Hemorrhage, Infections, Cytopenias, Atrial Fibrillation, Second Primary Malignancies, Tumor Lysis Syndrome, Thrombocytopenia, Neutropenia, Diarrhea, Anemia, Fatigue, Musculoskeletal pain, Bruising, Nausea, Upper respiratory tract infection, Rash, Pneumonia, Abdominal pain, Dyspnea, Constipation, Vomiting, Peripheral edema, Decreased appetite, Subdural hematoma, Renal failure, Lymphocytosis, Intracranial hemorrhage, Lethargy, Gait instability, Elevated uric acid levels, Hyperuricemia, Hypersensitivity reactions, Anaphylactic shock, Urticaria, Angioedema."
IMBRUVICA,warnings and precautions,"Hemorrhage, bleeding events, subdural hematoma, gastrointestinal bleeding, hematuria, post procedural hemorrhage, bruising, petechiae, antiplatelet therapy, anticoagulant therapy, infections, progressive multifocal leukoencephalopathy, fever, cytopenias, neutropenia, thrombocytopenia, anemia, complete blood counts, atrial fibrillation, atrial flutter, second primary malignancies, non-skin carcinomas, non-melanoma skin cancer, tumor lysis syndrome, embryo-fetal toxicity, fetal harm, malformations, reduced fetal weights, pregnancy."
ULORIC,adverse reactions,"liver function abnormalities, nausea, arthralgia, rash, dizziness, anemia, thrombocytopenic purpura, leukocytosis, leukopenia, neutropenia, pancytopenia,  splenomegaly, thrombocytopenia, angina pectoris, atrial fibrillation, ECG abnormal, palpitations, vision blurred, hepatitis, hepatomegaly, hypersensitivity, herpes zoster, contusion, anorexia, diarrhea, dry mouth, dyspepsia, vomiting, fatigue, gait disturbance, insomnia, renal failure, nephrolithiasis, urinary urgency, erectile dysfunction, cough, dyspnea, rash, urticaria, photosensitivity, flushing, increased sodium, increased cholesterol, increased triglycerides, increased potassium, and increased creatinine."
ULORIC,warnings and precautions,"Gout Flare, Cardiovascular Events, Hepatic Effects, gout flares, cardiovascular thromboembolic events, MI, stroke, hepatic failure, liver injury, transaminase elevations, serum alanine aminotransferase, ALT, aspartate aminotransferase, AST, alkaline phosphatase, total bilirubin."
