drug_name,section_name,subsection_name,term,meddra_code
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,hypersensitivity,10020751.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,dysphagia,10013950.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,breathing difficulties,
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,spread of effects from toxin,
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,neck pain,10028836.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,muscle weakness,10028350.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,injection site pain,10022086.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,musculoskeletal pain,10028391.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,eyelid ptosis,10015995.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,dry eye,10013774.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,dry mouth,10013781.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,diarrhea,10012735.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,headache,10019211.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,visual impairment,10047571.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,dyspnea,10013968.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,nasopharyngitis,10028810.0
XEOMIN,adverse reactions,6 ADVERSE REACTIONS,respiratory tract infection,10062352.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,adverse reaction,10067484.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,common adverse events,
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,dysphagia,10013950.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,neck pain,10028836.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,muscle weakness,10028350.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,injection site pain,10022086.0
XEOMIN,adverse reactions,6.1 Clinical Trials Experience,musculoskeletal pain,10028391.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",eyelid ptosis,10015995.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",dry eye,10013774.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",dry mouth,10013781.0
