,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2443.0,313.0,2894.0,0.8864296081277213,0.45774779838860785,0.603731619918448,0.8591260899684567,0.5545135737752123,0.6387578746689427
1,adverse reactions,discontinuous,25.0,,363.0,,0.06443298969072164,,,0.07466566113624937,
2,adverse reactions,exact-meddra,2147.0,,2016.0,,0.5157338457842902,,,0.6257973219448344,
3,adverse reactions,negated,12.0,,20.0,,0.375,,,0.38095238095238093,
4,adverse reactions,non-meddra,296.0,,879.0,,0.2519148936170213,,,0.35450480817883234,
5,boxed warnings,all,138.0,87.0,124.0,0.6133333333333333,0.5267175572519084,0.566735112936345,0.5790721232671697,0.6530533929721236,0.5919794445925337
6,boxed warnings,discontinuous,2.0,,31.0,,0.06060606060606061,,,0.13636363636363635,
7,boxed warnings,exact-meddra,91.0,,45.0,,0.6691176470588235,,,0.7007901266814679,
8,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
9,boxed warnings,non-meddra,47.0,,79.0,,0.373015873015873,,,0.48412698412698413,
10,warnings and precautions,all,780.0,462.0,1672.0,0.6280193236714976,0.3181076672104405,0.4223064428803465,0.6056743712552349,0.3930049738475156,0.44644285059711586
11,warnings and precautions,discontinuous,38.0,,312.0,,0.10857142857142857,,,0.1326948051948052,
12,warnings and precautions,exact-meddra,526.0,,687.0,,0.4336356141797197,,,0.5627495562020216,
13,warnings and precautions,negated,11.0,,16.0,,0.4074074074074074,,,0.4656862745098039,
14,warnings and precautions,non-meddra,254.0,,986.0,,0.20483870967741935,,,0.25160559825123324,
0,all,all,3361.0,862.0,4690.0,0.7958797063698793,0.4174636691094274,0.5300631345910236,0.7085519368053979,0.5039973828281616,0.5523771354067164
