,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,94,102,0.0,26,1.0,0.796875,0.8869565217391304
1,KYPROLIS,exact-meddra,104,94,90,,14,,0.8653846153846154,
2,KYPROLIS,non-meddra,25,94,12,,13,,0.48,
3,KYPROLIS,negated,0,94,0,,0,,,
4,KYPROLIS,discontinuous,3,94,0,,3,,0.0,
5,MULTAQ,all,39,27,35,0.0,4,1.0,0.8974358974358975,0.945945945945946
6,MULTAQ,exact-meddra,26,27,26,,0,,1.0,
7,MULTAQ,non-meddra,13,27,9,,4,,0.6923076923076923,
8,MULTAQ,negated,0,27,0,,0,,,
9,MULTAQ,discontinuous,5,27,5,,0,,1.0,
10,JUBLIA,all,5,4,5,0.0,0,1.0,1.0,1.0
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,2,,0,,1.0,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,31,30,1.0,0,0.967741935483871,1.0,0.9836065573770492
16,TEFLARO,exact-meddra,26,31,26,,0,,1.0,
17,TEFLARO,non-meddra,4,31,4,,0,,1.0,
18,TEFLARO,negated,0,31,0,,0,,,
19,TEFLARO,discontinuous,0,31,0,,0,,,
20,DATSCAN,all,11,10,11,0.0,0,1.0,1.0,1.0
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,3,,0,,1.0,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,31,32,2.0,13,0.9411764705882353,0.7111111111111111,0.8101265822784811
26,TIVICAY,exact-meddra,30,31,25,,5,,0.8333333333333334,
27,TIVICAY,non-meddra,15,31,7,,8,,0.4666666666666667,
28,TIVICAY,negated,0,31,0,,0,,,
29,TIVICAY,discontinuous,8,31,6,,2,,0.75,
30,TAFINLAR,all,112,11,18,1.0,94,0.9473684210526315,0.16071428571428573,0.2748091603053435
31,TAFINLAR,exact-meddra,94,11,14,,80,,0.14893617021276595,
32,TAFINLAR,non-meddra,18,11,4,,14,,0.2222222222222222,
33,TAFINLAR,negated,0,11,0,,0,,,
34,TAFINLAR,discontinuous,0,11,0,,0,,,
35,HORIZANT,all,27,27,26,1.0,1,0.9629629629629629,0.9629629629629629,0.9629629629629629
36,HORIZANT,exact-meddra,26,27,25,,1,,0.9615384615384616,
37,HORIZANT,non-meddra,1,27,1,,0,,1.0,
38,HORIZANT,negated,0,27,0,,0,,,
39,HORIZANT,discontinuous,0,27,0,,0,,,
40,IMBRUVICA,all,70,52,49,4.0,21,0.9245283018867925,0.7,0.7967479674796748
41,IMBRUVICA,exact-meddra,55,52,43,,12,,0.7818181818181819,
