,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3027.0,139.0,2310.0,0.956096020214782,0.5671725688589095,0.7119840056450665,0.9339706555678557,0.6543692030126499,0.7292795473692909
1,adverse reactions,discontinuous,129.0,,259.0,,0.3324742268041237,,,0.3720904585610468,
2,adverse reactions,exact-meddra,2502.0,,1661.0,,0.6010088878212827,,,0.6996481663571416,
3,adverse reactions,negated,19.0,,13.0,,0.59375,,,0.623015873015873,
4,adverse reactions,non-meddra,525.0,,650.0,,0.44680851063829785,,,0.5182886712597303,
5,all-concat,all,2509.0,151.0,4529.0,0.9432330827067669,0.35649332196646777,0.517426273458445,0.9265223758884277,0.4531506748509429,0.5534682550052156
6,all-concat,discontinuous,184.0,,558.0,,0.24797843665768193,,,0.2611244002883175,
7,all-concat,exact-meddra,1859.0,,2968.0,,0.38512533664802157,,,0.5015492239071707,
8,all-concat,negated,28.0,,31.0,,0.4745762711864407,,,0.5353535353535354,
9,all-concat,non-meddra,650.0,,1562.0,,0.2938517179023508,,,0.3515294522057954,
10,boxed warnings,all,182.0,70.0,80.0,0.7222222222222222,0.6946564885496184,0.708171206225681,0.7131972087080447,0.8132538406725713,0.7074718458563396
11,boxed warnings,discontinuous,16.0,,17.0,,0.48484848484848486,,,0.5200216450216449,
12,boxed warnings,exact-meddra,101.0,,35.0,,0.7426470588235294,,,0.8501284227939576,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,81.0,,45.0,,0.6428571428571429,,,0.6946248196248196,
15,warnings and precautions,all,1120.0,349.0,1332.0,0.762423417290674,0.4567699836867863,0.5712828360112217,0.7152362567472049,0.5471064324044064,0.5860050887759463
16,warnings and precautions,discontinuous,136.0,,214.0,,0.38857142857142857,,,0.40814054992626425,
17,warnings and precautions,exact-meddra,620.0,,593.0,,0.5111294311624073,,,0.6444982410960047,
18,warnings and precautions,negated,16.0,,11.0,,0.5925925925925926,,,0.6568627450980392,
19,warnings and precautions,non-meddra,500.0,,740.0,,0.4032258064516129,,,0.4755369389137038,
0,all,all,4329.0,558.0,3722.0,0.8858195211786372,0.5376971804744752,0.6556163136919689,0.8073479322928018,0.6358655059028083,0.667571144703223
