,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3551.0,175.0,1786.0,0.9530327428878154,0.6653550683904815,0.783625730994152,0.9335362590843684,0.725812443062165,0.7870017142656692
1,adverse reactions,discontinuous,147.0,,241.0,,0.3788659793814433,,,0.39442077530312825,
2,adverse reactions,exact-meddra,2969.0,,1194.0,,0.7131876050924814,,,0.7772723416694962,
3,adverse reactions,negated,21.0,,11.0,,0.65625,,,0.7182539682539683,
4,adverse reactions,non-meddra,582.0,,593.0,,0.49531914893617024,,,0.5747002516511948,
5,all-concat,all,2932.0,200.0,4106.0,0.9361430395913155,0.4165956237567491,0.576597836774828,0.9236344435399536,0.5356922188324849,0.6212825155368444
6,all-concat,discontinuous,175.0,,567.0,,0.2358490566037736,,,0.2590207237394109,
7,all-concat,exact-meddra,2280.0,,2547.0,,0.4723430702299565,,,0.6096811218284143,
8,all-concat,negated,33.0,,26.0,,0.559322033898305,,,0.6111111111111112,
9,all-concat,non-meddra,652.0,,1560.0,,0.29475587703435807,,,0.37647401660376906,
10,boxed warnings,all,198.0,93.0,64.0,0.6804123711340206,0.7557251908396947,0.7160940325497288,0.6996357432421471,0.84723007399091,0.719553693499619
11,boxed warnings,discontinuous,20.0,,13.0,,0.6060606060606061,,,0.4756493506493506,
12,boxed warnings,exact-meddra,114.0,,22.0,,0.8382352941176471,,,0.9191937660528493,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,84.0,,42.0,,0.6666666666666666,,,0.6986652236652237,
15,warnings and precautions,all,1260.0,456.0,1192.0,0.7342657342657343,0.5138662316476346,0.6046065259117083,0.678775404601347,0.5906529166396212,0.5889404214727944
16,warnings and precautions,discontinuous,171.0,,179.0,,0.48857142857142855,,,0.420508401373063,
17,warnings and precautions,exact-meddra,698.0,,515.0,,0.5754328112118714,,,0.712051969514745,
18,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.6764705882352942,
19,warnings and precautions,non-meddra,562.0,,678.0,,0.4532258064516129,,,0.49275498079283087,
0,all,all,5009.0,724.0,3042.0,0.8737135879993023,0.6221587380449634,0.7063863474388292,0.7897525559450105,0.6898098833685444,0.6951850806604526
