,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,83,80.0,3.0,48.0,0.963855421686747,0.625,0.7582938388625592
1,KYPROLIS,adverse reactions,exact-meddra,104,83,71.0,,33.0,,0.6826923076923077,
2,KYPROLIS,adverse reactions,non-meddra,25,83,9.0,,16.0,,0.36,
3,KYPROLIS,adverse reactions,negated,0,83,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,83,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,24,23.0,1.0,42.0,0.9583333333333334,0.35384615384615387,0.5168539325842697
6,KYPROLIS,warnings and precautions,exact-meddra,44,24,19.0,,25.0,,0.4318181818181818,
7,KYPROLIS,warnings and precautions,non-meddra,22,24,4.0,,18.0,,0.18181818181818182,
8,KYPROLIS,warnings and precautions,negated,0,24,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,24,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,16,16.0,0.0,142.0,1.0,0.10126582278481013,0.18390804597701146
16,KYPROLIS,all-concat,exact-meddra,119,16,13.0,,106.0,,0.1092436974789916,
17,KYPROLIS,all-concat,non-meddra,40,16,3.0,,37.0,,0.075,
18,KYPROLIS,all-concat,negated,0,16,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,16,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,27,26.0,1.0,13.0,0.9629629629629629,0.6666666666666666,0.7878787878787878
21,MULTAQ,adverse reactions,exact-meddra,26,27,24.0,,2.0,,0.9230769230769231,
22,MULTAQ,adverse reactions,non-meddra,13,27,2.0,,11.0,,0.15384615384615385,
23,MULTAQ,adverse reactions,negated,0,27,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,27,0.0,,5.0,,0.0,
25,MULTAQ,warnings and precautions,all,24,21,14.0,7.0,10.0,0.6666666666666666,0.5833333333333334,0.6222222222222222
26,MULTAQ,warnings and precautions,exact-meddra,13,21,11.0,,2.0,,0.8461538461538461,
27,MULTAQ,warnings and precautions,non-meddra,11,21,3.0,,8.0,,0.2727272727272727,
28,MULTAQ,warnings and precautions,negated,0,21,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,21,1.0,,2.0,,0.3333333333333333,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
