,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2958.0,395.0,2379.0,0.882195049209663,0.5542439572793705,0.68078250863061,0.8585992652390159,0.6231473067071857,0.6935175185440091
1,adverse reactions,discontinuous,31.0,,357.0,,0.07989690721649484,,,0.08830101271277742,
2,adverse reactions,exact-meddra,2607.0,,1556.0,,0.626231083353351,,,0.6966593349053095,
3,adverse reactions,negated,12.0,,20.0,,0.375,,,0.39285714285714285,
4,adverse reactions,non-meddra,351.0,,824.0,,0.2987234042553191,,,0.39320957604883,
5,all-concat,all,2173.0,384.0,4865.0,0.8498240125146657,0.3087524865018471,0.45294424179260034,0.8034756695175949,0.4010240116206018,0.49248483609706434
6,all-concat,discontinuous,24.0,,718.0,,0.03234501347708895,,,0.052243814192343606,
7,all-concat,exact-meddra,1870.0,,2957.0,,0.38740418479386785,,,0.49033553813180636,
8,all-concat,negated,20.0,,39.0,,0.3389830508474576,,,0.3686868686868687,
9,all-concat,non-meddra,303.0,,1909.0,,0.13698010849909584,,,0.20981736025605585,
10,boxed warnings,all,149.0,122.0,113.0,0.5498154981549815,0.5687022900763359,0.5590994371482177,0.5745661759980646,0.6954604255107352,0.5852180099238923
11,boxed warnings,discontinuous,3.0,,30.0,,0.09090909090909091,,,0.14935064935064934,
12,boxed warnings,exact-meddra,103.0,,33.0,,0.7573529411764706,,,0.7894998041008229,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,46.0,,80.0,,0.36507936507936506,,,0.4823232323232323,
15,warnings and precautions,all,895.0,562.0,1557.0,0.6142759094028827,0.36500815660685154,0.45791762599130215,0.5751141748730287,0.4170151663953419,0.4529169450366366
16,warnings and precautions,discontinuous,48.0,,302.0,,0.13714285714285715,,,0.18785353535353536,
17,warnings and precautions,exact-meddra,614.0,,599.0,,0.5061830173124485,,,0.5748664013367955,
18,warnings and precautions,negated,11.0,,16.0,,0.4074074074074074,,,0.4656862745098039,
19,warnings and precautions,non-meddra,281.0,,959.0,,0.22661290322580646,,,0.2867968527412176,
0,all,all,4002.0,1079.0,4049.0,0.7876402283015155,0.49708110793690224,0.5835392972759524,0.6948261839513385,0.5500671410473807,0.5787608990240206
