,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2943.0,393.0,2394.0,0.8821942446043165,0.551433389544688,0.6786579038395019,0.8564719736026102,0.6209615142341985,0.6950690039516416
1,adverse reactions,discontinuous,31.0,,357.0,,0.07989690721649484,,,0.10047295841413488,
2,adverse reactions,exact-meddra,2601.0,,1562.0,,0.6247898150372327,,,0.7004643079271884,
3,adverse reactions,negated,10.0,,22.0,,0.3125,,,0.32936507936507936,
4,adverse reactions,non-meddra,342.0,,833.0,,0.29106382978723405,,,0.3893232645603585,
5,boxed warnings,all,139.0,141.0,123.0,0.49642857142857144,0.5305343511450382,0.5129151291512914,0.5495380608383704,0.6889939387810905,0.5581783200935048
6,boxed warnings,discontinuous,2.0,,31.0,,0.06060606060606061,,,0.13636363636363635,
7,boxed warnings,exact-meddra,94.0,,42.0,,0.6911764705882353,,,0.7574485220495407,
8,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
9,boxed warnings,non-meddra,45.0,,81.0,,0.35714285714285715,,,0.4931457431457431,
10,warnings and precautions,all,888.0,605.0,1564.0,0.594775619557937,0.3621533442088091,0.450190114068441,0.5526578299709349,0.4141500759122344,0.4404653343144171
11,warnings and precautions,discontinuous,42.0,,308.0,,0.12,,,0.16114718614718612,
12,warnings and precautions,exact-meddra,619.0,,594.0,,0.5103050288540808,,,0.5889767740162801,
13,warnings and precautions,negated,9.0,,18.0,,0.3333333333333333,,,0.37745098039215685,
14,warnings and precautions,non-meddra,269.0,,971.0,,0.21693548387096775,,,0.27355674940807384,
0,all,all,3970.0,1139.0,4081.0,0.7770600900371892,0.4931064464041734,0.5768539259392426,0.6805518771665908,0.5469128812492468,0.5689814870624718
