,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"Cardiac Toxicities, Acute Renal Failure, Tumor Lysis Syndrome, Pulmonary Toxicity, Pulmonary Hypertension, Dyspnea, Hypertension, Venous Thrombosis, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity, Hepatic Failure, Thrombotic Thrombocytopenic Purpura, Hemolytic Uremic Syndrome, Posterior Reversible Encephalopathy Syndrome, Anemia, Fatigue, Thrombocytopenia, Nausea, Pyrexia, Decreased Platelets, Dyspnea, Diarrhea, Decreased Lymphocyte, Headache, Decreased Hemoglobin, Cough, Edema Peripheral, Neutropenia, Decreased Total White Blood Cell Count, Muscle Spasm, Upper Respiratory Tract Infection, Hypokalemia, Pneumonia, Constipation, Nasopharyngitis, Bronchitis, Hyperglycemia, Rash, Embolic and Thrombotic Events, Venous, Febrile Neutropenia, Lymphopenia, Cardiac Arrest, Cardiac Failure, Cardiac Failure Congestive, Myocardial Infarction, Myocardial Ischemia, Cataract, Vision Blurred, Abdominal Pain, Abdominal Pain Upper, Dyspepsia, Toothache, Chills, Multi-Organ Failure, Pain, Influenza, Sepsis, Urinary Tract Infection, Viral Infection, Dehydration, Hyperkalemia, Hyperuricemia, Hypoalbuminemia, Hyponatremia, Muscular Weakness, Myalgia, Hypoesthesia, Paresthesia, Deafness, Anxiety, Delirium, Renal Failure, Renal Failure Acute, Renal Impairment, Dysphonia, Epistaxis, Oropharyngeal Pain, Pulmonary Embolism, Pulmonary Edema, Erythema, Hyperhidrosis, Pruritus, Deep Vein Thrombosis, Hypotension, Myocardial Infarction, Pneumonia, Bronchopneumonia, Acute Renal Failure, Disease Progression, Hypercalcemia, Congestive Heart Failure, Multiple Myeloma, Anemia, Back Pain, Arthralgia, Pain in Extremity."
1,MULTAQ,adverse reactions,"heart failure, New or worsening heart failure, Liver Injury, Pulmonary toxicity, Hypokalemia, hypomagnesemia, potassium-depleting diuretics, QT prolongation, diarrhea, nausea, abdominal pain, vomiting, asthenia, gastrointestinal disorders, QT prolongation, dyspeptic signs and symptoms, Bradycardia, rashes, pruritus, eczema, dermatitis, dermatitis allergic, photosensitivity reaction, dysgeusia, early increases in creatinine >=10%, QTc prolonged, Atrial flutter with 1:1 atrioventricular conduction, Interstitial lung disease, pneumonitis, pulmonary fibrosis, Anaphylactic reactions, angioedema, Vasculitis, leukocytoclastic vasculitis."
2,JUBLIA,adverse reactions,"ingrown toenails, application site dermatitis, application site vesicles, application site pain."
3,TEFLARO,adverse reactions,"hypersensitivity reactions, death, clostridium difficile-associated diarrhea, direct coombs' test seroconversion, diarrhea, nausea, rash, increased transaminases, hypokalemia, rash, phlebitis, anemia, eosinophilia, neutropenia, thrombocytopenia, bradycardia, palpitations, abdominal pain, pyrexia, hepatitis, anaphylaxis, clostridium difficile colitis, hyperglycemia, hyperkalemia, dizziness, convulsion, renal failure, urticaria, agranulocytosis"
4,DATSCAN,adverse reactions,"hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness"
5,TIVICAY,adverse reactions,"Hypersensitivity reactions, Effects on serum liver biochemistries, Fat Redistribution, Immune Reconstitution Syndrome, death, Insomnia, Fatigue, Headache, Depression, Abnormal dreams, Dizziness, Nausea, Diarrhea, Rash, Vertigo, Abdominal pain, Abdominal discomfort, Flatulence, Upper abdominal pain, Vomiting, Myositis, Suicidal ideation, Suicidal attempt, Suicidal behavior, Suicidal completion, Renal impairment, Pruritus, Hepatitis."
6,TAFINLAR,adverse reactions,"New Primary Malignancies, Tumor Promotion in BRAF Wild-Type Melanoma, Hemorrhage, Venous Thromboembolism, Cardiomyopathy, Ocular Toxicities, Serious Febrile Reactions, Serious Skin Toxicity, Hyperglycemia, Glucose-6-Phosphate Dehydrogenase Deficiency, death, hyperkeratosis, headache, pyrexia, arthralgia, papilloma, alopecia, palmar-plantar erythrodysesthesia syndrome, chills, fatigue, rash, nausea, vomiting, diarrhea, abdominal pain, peripheral edema, cough, night sweats, decreased appetite, constipation, myalgia, back pain, cuSCC, cough, constipation, nasopharyngitis, hyperglycemia, hypophosphatemia, increased alkaline phosphatase, hyponatremia, pancreatitis, hypersensitivity manifesting as bullous rash, interstitial nephritis, vision blurred, transient blindness, stomatitis, asthenia, cellulitis, folliculitis, paronychia, rash pustular, hyperhidrosis, hypertension, decreased appetite, dehydration, insomnia, urinary tract infection, renal failure, leukopenia, lymphopenia, neutropenia, anemia, thrombocytopenia, increased AST, increased ALT, hyperbilirubinemia, hyperglycemia, increased GGT, hypophosphatemia, hypokalemia, increased creatinine, hypomagnesemia, hyperkalemia, hypercalcemia, hypocalcemia, QT prolongation."
7,HORIZANT,adverse reactions,"Somnolence, sedation, dizziness, headache, nausea, dry mouth, flatulence, fatigue, irritability, feeling drunk, feeling abnormal, peripheral edema, weight increased, increased appetite, vertigo, depression, libido decreased, balance disorder, blurred vision, disorientation, lethargy, breast enlargement, gynecomastia, elevated creatine kinase."
8,IMBRUVICA,adverse reactions,"Hemorrhage, Infections, Cytopenias, Atrial Fibrillation, Second Primary Malignancies, Tumor Lysis Syndrome, death, Renal failure, Subdural hematoma, Lymphocytosis, Hyperuricemia, Hypersensitivity reactions, Anaphylactic shock, Urticaria, Angioedema."
9,ULORIC,adverse reactions,"liver function abnormalities, nausea, arthralgia, rash, death"
10,CIMZIA,adverse reactions,"upper respiratory tract infection, rash, urinary tract infection, serious infections, malignancies, heart failure, Crohn's disease, rheumatoid arthritis, abdominal pain, diarrhea, intestinal obstruction, tuberculosis infections, pyrexia, urticaria, pneumonia, arthralgia, anemia, leukopenia, lymphadenopathy, pancytopenia, thrombophilia, angina pectoris, arrhythmias, atrial fibrillation, cardiac failure, hypertensive heart disease, myocardial infarction, myocardial ischemia, pericardial effusion, pericarditis, stroke, transient ischemic attack, optic neuritis, retinal hemorrhage, uveitis, bleeding, injection site reactions, elevated liver enzymes, hepatitis, alopecia totalis, anxiety, bipolar disorder, suicide attempt, nephrotic syndrome, renal failure, menstrual disorders, dermatitis, erythema nodosum, urticaria, thrombophlebitis, vasculitis, Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, sarcoidosis, death"
11,KALYDECO,adverse reactions,"Transaminase Elevations, headache, oropharyngeal pain, upper respiratory tract infection, nasal congestion, abdominal pain, nasopharyngitis, diarrhea, rash, nausea, dizziness, increased hepatic enzymes, hypoglycemia, rhinitis, arthralgia, bacteria in sputum, aspartate aminotransferase increased, blood glucose increased, musculoskeletal chest pain, myalgia, sinus headache, pharyngeal erythema, pleuritic pain, sinus congestion, wheezing, acne."
12,FULYZAQ,adverse reactions,"upper respiratory tract infection, bronchitis, cough, flatulence, increased bilirubin, nausea, back pain, arthralgia, urinary tract infection, nasopharyngitis, musculoskeletal pain, hemorrhoids, giardiasis, anxiety, increased alanine aminotransferase, abdominal distension, abdominal pain, acne, increased aspartate aminotransferase, increased conjugated bilirubin, increased unconjugated blood bilirubin, constipation, depression, dermatitis, dizziness, dry mouth, dyspepsia, gastroenteritis, herpes zoster, nephrolithiasis, pain in extremity, pollakiuria, procedural pain, seasonal allergy, sinusitis, decreased white blood cell count"
13,QUTENZA,adverse reactions,"pain, Increase in Blood Pressure, erythema, pain, pruritus, papules, death"
14,GRANIX,adverse reactions,"Splenic Rupture, Acute Respiratory Distress Syndrome, Serious Allergic Reactions, Use in Patients with Sickle Cell Disease, Capillary Leak Syndrome, Potential for Tumor Growth Stimulatory Effects on Malignant Cells, bone pain, Leukocytosis, myalgia, headache, vomiting, Sweet's syndrome, cutaneous vasculitis, thrombocytopenia"
15,COARTEM,adverse reactions,"headache, anorexia, dizziness, asthenia, arthralgia, myalgia, pyrexia, cough, vomiting, chills, fatigue, malaise, nausea, abdominal pain, diarrhea, sleep disorder, insomnia, palpitations, hepatomegaly, splenomegaly, anemia, pruritus, rash, vertigo, malaria, nasopharyngitis, rhinitis, Plasmodium falciparum infection, aspartate aminotransferase increased, eosinophilia, tinnitus, conjunctivitis, constipation, dyspepsia, dysphagia, peptic ulcer, gait disturbance, abscess, acrodermatitis, bronchitis, ear infection, gastroenteritis, helminthic infection, hookworm infection, impetigo, influenza, lower respiratory tract infection, oral herpes, pneumonia, respiratory tract infection, subcutaneous abscess, upper respiratory tract infection, urinary tract infection, alanine aminotransferase increased, hematocrit decreased, lymphocyte morphology abnormal, platelet count decreased, platelet count increased, white blood cell count decreased, white blood cell count increased, hypokalemia, back pain, ataxia, clonus, fine motor delay, hyperreflexia, hypoesthesia, nystagmus, tremor, agitation, mood swings, hematuria, proteinuria, asthma, pharyngo-laryngeal pain, urticaria, anaphylaxis, urticaria, angioedema, serious skin reactions, bullous eruption, death"
16,APTIOM,adverse reactions,"suicidal behavior, ideation, serious dermatologic reactions, drug reaction with eosinophilia and systemic symptoms, DRESS, multiorgan hypersensitivity, anaphylactic reactions, angioedema, hyponatremia, neurological adverse reactions, drug-induced liver injury, abnormal thyroid function tests, dizziness, somnolence, nausea, headache, diplopia, vomiting, fatigue, vertigo, ataxia, blurred vision, tremor, rash, dysarthria, asthenia, gait disturbance, peripheral edema, memory impairment, nystagmus, depression, insomnia, cough, hypertension, urinary tract infections, fall, vertigo, blurred vision, visual impairment, constipation, abdominal pain, gastritis, decreases in hemoglobin, hematocrit, increases in total cholesterol, triglycerides, LDL, creatine phosphokinase, death"
17,PROLIA,adverse reactions,"Hypocalcemia, Serious Infections, Dermatologic Adverse Reactions, Osteonecrosis of the Jaw, Atypical Subtrochanteric and Diaphyseal Femoral Fractures, back pain, pain in extremity, musculoskeletal pain, hypercholesterolemia, cystitis, constipation, Pancreatitis, Anemia, Angina pectoris, Atrial fibrillation, Vertigo, Abdominal pain upper, Flatulence, Gastroesophageal reflux disease, Edema peripheral, Asthenia, Upper respiratory tract infection, Pneumonia, Pharyngitis, Herpes zoster, Bone pain, Myalgia, Spinal osteoarthritis, Sciatica, Insomnia, Rash, Pruritus, death."
18,BLINCYTO,adverse reactions,"Cytokine Release Syndrome, Neurological Toxicities, Infections, Tumor Lysis Syndrome, Neutropenia, Febrile Neutropenia, Effects on Ability to Drive and Use Machines, Elevated Liver Enzymes, Leukoencephalopathy, Preparation and Administration Errors, pyrexia, headache, peripheral edema, febrile neutropenia, nausea, hypokalemia, tremor, rash, constipation, death, pneumonia, sepsis, Staphylococcal bacteremia, encephalopathy, overdose, confusion, increased alanine aminotransferase, increased aspartate aminotransferase, hypokalemia, bone pain, arthralgia, tachycardia, edema, cytokine storm, decreased immunoglobulins, increased blood bilirubin, increased gamma-glutamyl-transferase, decreased immunoglobulins, increased blood bilirubin, increased gamma-glutamyl-transferase, increased liver enzymes, tumor lysis syndrome, encephalopathy, paresthesia, aphasia, convulsion, memory impairment, cognitive disorder, speech disorder, confusion, disorientation, capillary leak syndrome, hypersensitivity, bronchospasm."
19,STENDRA,adverse reactions,"headache, flushing, nasal congestion, nasopharyngitis, back pain, death in rare cases: Non-arteritic anterior ischemic optic neuropathy"
20,XIAFLEX,adverse reactions,"Tendon ruptures, serious injury, corporal rupture, penile fracture, severe penile hematoma, penile ecchymoses, sudden penile detumescence, penile ""popping"" sound or sensation, penile hematoma, penile swelling, penile pain, lymphadenopathy, skin laceration, lymph node pain, erythema, axillary pain, pruritus, death."
21,XEOMIN,adverse reactions,"hypersensitivity, death, dysphagia, breathing difficulties, spread of effects, cervical dystonia, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, eye disorders, eye swelling, nausea, flu-like symptoms, injection site reaction, allergic dermatitis, localized allergic reactions, eye swelling, edema, erythema, pruritus, rash, herpes zoster, facial paresis, injection site hematoma, facial pain, facial paresis, brow ptosis, facial paresis, elevation of eyebrow, eyelid edema, myalgia, dysarthria"
22,GILOTRIF,adverse reactions,"Diarrhea, Bullous and Exfoliative Skin Disorders, Interstitial Lung Disease, Hepatic Toxicity, Keratitis, death, rash/dermatitis acneiform, stomatitis, paronychia, dry skin, decreased appetite, nausea, vomiting, pruritus, dyspnea, fatigue, hypokalemia, pulmonary toxicity/ILD-like adverse reactions, sepsis, pneumonia, ILD, ventricular dysfunction, nausea, cheilitis, cystitis, epistaxis, rhinorrhea, weight decreased, pyrexia, conjunctivitis, alanine aminotransferase increased, blood potassium decreased, aspartate aminotransferase increased, and pancreatitis."
23,TREANDA,adverse reactions,"myelosuppression, infections, anaphylaxis, infusion reactions, tumor lysis syndrome, skin reactions, other malignancies, extravasation injury, pyrexia, nausea, vomiting, asthenia, fatigue, malaise, weakness, dry mouth, somnolence, cough, constipation, headache, mucosal inflammation, stomatitis, worsening hypertension, hypertensive crisis, hypersensitivity, bilirubin elevations, changes in creatinine levels, tachycardia, diarrhea, constipation, chills, nasal pharyngitis, infection, herpes simplex, weight decreased, hyperuricemia, cough, rash, pruritus, myelosuppressive effects, red blood cell transfusions, pneumonia, hypokalemia, dehydration, febrile neutropenia, emotional lability, punctate keratitis, and injection or infusion site reactions."
24,CHOLINE,adverse reactions,"injection site reaction, death"
