,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,95,103.0,0.0,25.0,1.0,0.8046875,0.8917748917748918
1,KYPROLIS,adverse reactions,exact-meddra,104,95,91.0,,13.0,,0.875,
2,KYPROLIS,adverse reactions,non-meddra,25,95,12.0,,13.0,,0.48,
3,KYPROLIS,adverse reactions,negated,0,95,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,95,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,39,44.0,3.0,21.0,0.9361702127659575,0.676923076923077,0.7857142857142858
6,KYPROLIS,warnings and precautions,exact-meddra,44,39,29.0,,15.0,,0.6590909090909091,
7,KYPROLIS,warnings and precautions,non-meddra,22,39,16.0,,6.0,,0.7272727272727273,
8,KYPROLIS,warnings and precautions,negated,0,39,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,39,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,MULTAQ,adverse reactions,all,39,32,39.0,1.0,0.0,0.975,1.0,0.9873417721518987
16,MULTAQ,adverse reactions,exact-meddra,26,32,26.0,,0.0,,1.0,
17,MULTAQ,adverse reactions,non-meddra,13,32,13.0,,0.0,,1.0,
18,MULTAQ,adverse reactions,negated,0,32,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,32,5.0,,0.0,,1.0,
20,MULTAQ,warnings and precautions,all,24,20,19.0,2.0,5.0,0.9047619047619048,0.7916666666666666,0.8444444444444444
21,MULTAQ,warnings and precautions,exact-meddra,13,20,12.0,,1.0,,0.9230769230769231,
22,MULTAQ,warnings and precautions,non-meddra,11,20,7.0,,4.0,,0.6363636363636364,
23,MULTAQ,warnings and precautions,negated,0,20,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,20,3.0,,0.0,,1.0,
25,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
26,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
27,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
28,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
29,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
30,JUBLIA,adverse reactions,all,5,5,5.0,1.0,0.0,0.8333333333333334,1.0,0.9090909090909091
31,JUBLIA,adverse reactions,exact-meddra,3,5,3.0,,0.0,,1.0,
32,JUBLIA,adverse reactions,non-meddra,2,5,2.0,,0.0,,1.0,
33,JUBLIA,adverse reactions,negated,0,5,0.0,,0.0,,,
34,JUBLIA,adverse reactions,discontinuous,0,5,0.0,,0.0,,,
35,JUBLIA,warnings and precautions,all,0,0,,,,,,
36,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
37,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
38,JUBLIA,warnings and precautions,negated,0,0,,,,,,
39,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
40,JUBLIA,boxed warnings,all,0,0,,,,,,
41,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
42,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
43,JUBLIA,boxed warnings,negated,0,0,,,,,,
44,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
45,TEFLARO,adverse reactions,all,30,31,30.0,1.0,0.0,0.967741935483871,1.0,0.9836065573770492
46,TEFLARO,adverse reactions,exact-meddra,26,31,26.0,,0.0,,1.0,
47,TEFLARO,adverse reactions,non-meddra,4,31,4.0,,0.0,,1.0,
48,TEFLARO,adverse reactions,negated,0,31,0.0,,0.0,,,
49,TEFLARO,adverse reactions,discontinuous,0,31,0.0,,0.0,,,
50,TEFLARO,warnings and precautions,all,10,11,9.0,4.0,1.0,0.6923076923076923,0.9,0.7826086956521738
51,TEFLARO,warnings and precautions,exact-meddra,2,11,2.0,,0.0,,1.0,
52,TEFLARO,warnings and precautions,non-meddra,8,11,7.0,,1.0,,0.875,
53,TEFLARO,warnings and precautions,negated,0,11,0.0,,0.0,,,
54,TEFLARO,warnings and precautions,discontinuous,2,11,2.0,,0.0,,1.0,
55,TEFLARO,boxed warnings,all,0,0,,,,,,
56,TEFLARO,boxed warnings,exact-meddra,0,0,,,,,,
57,TEFLARO,boxed warnings,non-meddra,0,0,,,,,,
58,TEFLARO,boxed warnings,negated,0,0,,,,,,
59,TEFLARO,boxed warnings,discontinuous,0,0,,,,,,
60,DATSCAN,adverse reactions,all,11,10,11.0,0.0,0.0,1.0,1.0,1.0
61,DATSCAN,adverse reactions,exact-meddra,8,10,8.0,,0.0,,1.0,
62,DATSCAN,adverse reactions,non-meddra,3,10,3.0,,0.0,,1.0,
63,DATSCAN,adverse reactions,negated,0,10,0.0,,0.0,,,
64,DATSCAN,adverse reactions,discontinuous,0,10,0.0,,0.0,,,
65,DATSCAN,warnings and precautions,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
66,DATSCAN,warnings and precautions,exact-meddra,1,3,1.0,,0.0,,1.0,
67,DATSCAN,warnings and precautions,non-meddra,2,3,2.0,,0.0,,1.0,
68,DATSCAN,warnings and precautions,negated,0,3,0.0,,0.0,,,
69,DATSCAN,warnings and precautions,discontinuous,0,3,0.0,,0.0,,,
70,DATSCAN,boxed warnings,all,0,0,,,,,,
71,DATSCAN,boxed warnings,exact-meddra,0,0,,,,,,
72,DATSCAN,boxed warnings,non-meddra,0,0,,,,,,
73,DATSCAN,boxed warnings,negated,0,0,,,,,,
74,DATSCAN,boxed warnings,discontinuous,0,0,,,,,,
75,TIVICAY,adverse reactions,all,45,40,37.0,7.0,8.0,0.8409090909090909,0.8222222222222222,0.8314606741573033
76,TIVICAY,adverse reactions,exact-meddra,30,40,29.0,,1.0,,0.9666666666666667,
77,TIVICAY,adverse reactions,non-meddra,15,40,8.0,,7.0,,0.5333333333333333,
78,TIVICAY,adverse reactions,negated,0,40,0.0,,0.0,,,
79,TIVICAY,adverse reactions,discontinuous,8,40,6.0,,2.0,,0.75,
80,TIVICAY,warnings and precautions,all,20,41,14.0,26.0,6.0,0.35,0.7,0.4666666666666667
81,TIVICAY,warnings and precautions,exact-meddra,10,41,8.0,,2.0,,0.8,
82,TIVICAY,warnings and precautions,non-meddra,10,41,6.0,,4.0,,0.6,
83,TIVICAY,warnings and precautions,negated,0,41,0.0,,0.0,,,
84,TIVICAY,warnings and precautions,discontinuous,0,41,0.0,,0.0,,,
85,TIVICAY,boxed warnings,all,0,0,,,,,,
86,TIVICAY,boxed warnings,exact-meddra,0,0,,,,,,
87,TIVICAY,boxed warnings,non-meddra,0,0,,,,,,
88,TIVICAY,boxed warnings,negated,0,0,,,,,,
89,TIVICAY,boxed warnings,discontinuous,0,0,,,,,,
90,TAFINLAR,adverse reactions,all,112,58,78.0,1.0,34.0,0.9873417721518988,0.6964285714285714,0.8167539267015707
91,TAFINLAR,adverse reactions,exact-meddra,94,58,72.0,,22.0,,0.7659574468085106,
92,TAFINLAR,adverse reactions,non-meddra,18,58,6.0,,12.0,,0.3333333333333333,
93,TAFINLAR,adverse reactions,negated,0,58,0.0,,0.0,,,
94,TAFINLAR,adverse reactions,discontinuous,0,58,0.0,,0.0,,,
95,TAFINLAR,warnings and precautions,all,60,16,23.0,1.0,37.0,0.9583333333333334,0.38333333333333336,0.5476190476190476
