,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,81,78,3.0,50,0.9629629629629629,0.609375,0.7464114832535885
1,KYPROLIS,exact-meddra,104,81,72,,32,,0.6923076923076923,
2,KYPROLIS,non-meddra,25,81,6,,19,,0.24,
3,KYPROLIS,negated,0,81,0,,0,,,
4,KYPROLIS,discontinuous,3,81,0,,3,,0.0,
5,MULTAQ,all,39,32,28,4.0,11,0.875,0.717948717948718,0.7887323943661971
6,MULTAQ,exact-meddra,26,32,22,,4,,0.8461538461538461,
7,MULTAQ,non-meddra,13,32,6,,7,,0.46153846153846156,
8,MULTAQ,negated,0,32,0,,0,,,
9,MULTAQ,discontinuous,5,32,0,,5,,0.0,
10,JUBLIA,all,5,6,5,1.0,0,0.8333333333333334,1.0,0.9090909090909091
11,JUBLIA,exact-meddra,3,6,3,,0,,1.0,
12,JUBLIA,non-meddra,2,6,2,,0,,1.0,
13,JUBLIA,negated,0,6,0,,0,,,
14,JUBLIA,discontinuous,0,6,0,,0,,,
15,TEFLARO,all,30,31,28,3.0,2,0.9032258064516129,0.9333333333333333,0.9180327868852459
16,TEFLARO,exact-meddra,26,31,25,,1,,0.9615384615384616,
17,TEFLARO,non-meddra,4,31,3,,1,,0.75,
18,TEFLARO,negated,0,31,0,,0,,,
19,TEFLARO,discontinuous,0,31,0,,0,,,
20,DATSCAN,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,2,,1,,0.6666666666666666,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,42,30,12.0,15,0.7142857142857143,0.6666666666666666,0.689655172413793
26,TIVICAY,exact-meddra,30,42,25,,5,,0.8333333333333334,
27,TIVICAY,non-meddra,15,42,5,,10,,0.3333333333333333,
28,TIVICAY,negated,0,42,0,,0,,,
29,TIVICAY,discontinuous,8,42,5,,3,,0.625,
30,TAFINLAR,all,112,44,39,5.0,73,0.8863636363636364,0.3482142857142857,0.5
31,TAFINLAR,exact-meddra,94,44,36,,58,,0.3829787234042553,
