,drug_name,section_name,gpt_output
0,KYPROLIS,adverse reactions,"Cardiac Toxicities, Acute Renal Failure, Tumor Lysis Syndrome, Pulmonary Toxicity, Pulmonary Hypertension, Dyspnea, Hypertension, Venous Thrombosis, Infusion Reactions, Thrombocytopenia, Hepatic Toxicity, Hepatic Failure, Thrombotic Thrombocytopenic Purpura/Hemolytic Uremic Syndrome, Posterior Reversible Encephalopathy Syndrome (PRES), Anemia, Fatigue, Nausea, Pyrexia, Decreased Platelets, Diarrhea, Decreased Lymphocyte, Headache, Decreased Hemoglobin, Cough, Edema Peripheral, Decreased Lymphocytes, Decreased Absolute Neutrophil Count, Decreased Phosphorus, Neutropenia, Decreased Total White Blood Cell Count, Decreased Hemoglobin, Hypokalemia, Pneumonia, Respiratory Tract Infection, Pulmonary Embolism,  Myocardial Infarction, Upper Respiratory Tract Infection, Febrile Neutropenia, Lymphopenia, Cardiac Arrest, Cardiac Failure, Cardiac Failure Congestive, Myocardial Ischemia, Cataract, Vision Blurred, Abdominal Pain, Abdominal Pain Upper, Dyspepsia, Toothache, Chills, Infusion Site Reaction, Multi-organ Failure, Pain, Influenza, Sepsis, Urinary Tract Infection, Viral Infection, Dehydration, Hyperkalemia, Hyperuricemia, Hypoalbuminemia, Hyponatremia, Tumor Lysis Syndrome, Muscular Weakness, Myalgia, Hypoesthesia, Paresthesia, Deafness, Anxiety, Delirium, Renal Failure, Renal Failure Acute, Renal Impairment, Dysphonia, Epistaxis, Oropharyngeal Pain, Pulmonary Embolism, Pulmonary Edema, Erythema, Hyperhidrosis, Pruritus, Deep Vein Thrombosis, Hypotension, Decreased Sodium, Decreased Total White Blood Cell Count, Decreased Absolute Neutrophil Count, death."
1,MULTAQ,adverse reactions,"New or worsening heart failure, Liver Injury, Pulmonary toxicity, Hypokalemia, Hypomagnesemia, QT prolongation, Diarrhea, Nausea, Abdominal pain, Vomiting, Asthenia, Gastrointestinal disorders, Dyspeptic signs and symptoms, Bradycardia, Including rashes (generalized, macular, maculo-papular, erythematous), Pruritus, Eczema, Dermatitis, Dermatitis allergic, Photosensitivity reaction, Dysgeusia, Early increases in creatinine >=10%, QTc prolonged, Atrial flutter with 1:1 atrioventricular conduction, Interstitial lung disease, Pneumonitis, Pulmonary fibrosis, Anaphylactic reactions, Angioedema, Vasculitis, Leukocytoclastic vasculitis."
2,JUBLIA,adverse reactions,"ingrown toenails, application site dermatitis, application site vesicles, application site pain"
3,TEFLARO,adverse reactions,"Hypersensitivity Reactions, Clostridium difficile -Associated diarrhea, Direct Coombs' Test Seroconversion, diarrhea, nausea, rash, constipation, vomiting, Increased transaminases, Hypokalemia, Phlebitis, Anemia, Eosinophilia, Neutropenia, Thrombocytopenia, Bradycardia, Palpitations, Abdominal pain, Pyrexia, Hepatitis, Anaphylaxis, Clostridium difficile colitis, Hyperglycemia, Hyperkalemia, Dizziness, Convulsion, Renal failure, Urticaria, Agranulocytosis"
4,DATSCAN,adverse reactions,"Hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness, rash, pruritis, injection site pain"
5,TIVICAY,adverse reactions,"Hypersensitivity reactions, Effects on serum liver biochemistries in patients with hepatitis B or C co-infection, Fat Redistribution, Immune Reconstitution Syndrome, insomnia, fatigue, headache, Treatment-emergent Adverse Drug Reactions (ADRs), adverse events leading to discontinuation, depression, abnormal dreams, dizziness, nausea, diarrhea, rash, vertigo, Abdominal pain, abdominal discomfort, flatulence, upper abdominal pain, vomiting, Hepatitis, Myositis, Suicidal ideation, attempt, behavior, or completion, Renal impairment, Pruritus, laboratory abnormalities, elevated ALT (9%), AST (8%), cholesterol (10%), creatine kinase (6%), hyperglycemia (14%), and lipase (10%), neutropenia
"
6,TAFINLAR,adverse reactions,"New Primary Malignancies, Tumor Promotion in BRAF Wild-Type Melanoma, Hemorrhage, Venous Thromboembolism, Cardiomyopathy, Ocular Toxicities, Serious Febrile Reactions, Serious Skin Toxicity, Hyperglycemia, Glucose-6-Phosphate Dehydrogenase Deficiency, hyperkeratosis, headache, pyrexia, arthralgia, papilloma, alopecia, palmar-plantar erythrodysesthesia syndrome, chills, fatigue, rash, nausea, vomiting, diarrhea, abdominal pain, peripheral edema, cough, night sweats, decreased appetite, constipation, myalgia, Pancreatitis, Hypersensitivity manifesting as bullous rash, Interstitial nephritis, Vision blurred, transient blindness, Stomatitis, Asthenia, Cellulitis, folliculitis, paronychia, rash pustular, Skin papilloma, Palmar-plantar erythrodysesthesia syndrome, hyperkeratosis, hyperhidrosis, Hypertension, Leukopenia, Lymphopenia, Neutropenia, Anemia, Thrombocytopenia, Increased AST, Increased alkaline phosphatase, Increased ALT, Hyperbilirubinemia, Hyperglycemia, Increased GGT, Hyponatremia, Hypoalbuminemia, Hypophosphatemia, Hypokalemia, Increased creatinine, Hypomagnesemia, Hyperkalemia, Hypercalcemia, Hypocalcemia, QT Prolongation"
7,HORIZANT,adverse reactions,"Somnolence/sedation, dizziness, headache, nausea, dry mouth, flatulence, fatigue, irritability, feeling drunk, feeling abnormal, peripheral edema, weight increased, increased appetite, vertigo, depression, libido decreased, balance disorder, blurred vision, disorientation, lethargy, insomnia, confusional state, breast enlargement, gynecomastia, elevated creatine kinase."
8,IMBRUVICA,adverse reactions,"Hemorrhage, Infections, Cytopenias, Atrial Fibrillation, Second Primary Malignancies, Tumor Lysis Syndrome, thrombocytopenia, neutropenia, diarrhea, anemia, fatigue, musculoskeletal pain, bruising, nausea, upper respiratory tract infection, rash, peripheral edema, dyspnea, constipation, abdominal pain, vomiting, decreased appetite, pneumonia, skin infections, renal failure, subdural hematoma, intracranial hemorrhage, lethargy, gait instability, headache, hyperuricemia, pyrexia, asthenia, petechiae, muscle spasms, arthralgia, cough, epistaxis, dehydration, dizziness, second malignancies, laceration, anxiety, insomnia, hypertension, vision blurred, oropharyngeal pain, hypersensitivity reactions, anaphylactic shock, urticaria, angioedema, death."
9,ULORIC,adverse reactions,"Liver function abnormalities, nausea, arthralgia, rash, dizziness, anemia, idiopathic thrombocytopenic purpura, leukocytosis/leukopenia, neutropenia, pancytopenia, splenomegaly, thrombocytopenia, angina pectoris, atrial fibrillation/flutter, cardiac murmur, ECG abnormal, palpitations, sinus bradycardia, tachycardia, deafness, tinnitus, vertigo, vision blurred, abdominal distention, abdominal pain, constipation, dry mouth, dyspepsia, flatulence, frequent stools, gastritis, gastroesophageal reflux disease, gastrointestinal discomfort, gingival pain, haematemesis, hyperchlorhydria, hematochezia, mouth ulceration, pancreatitis, peptic ulcer, vomiting, asthenia, chest pain/discomfort, edema, fatigue, feeling abnormal, gait disturbance, influenza-like symptoms, mass, pain, thirst, cholelithiasis/cholecystitis, hepatic steatosis, hepatitis, hepatomegaly, hypersensitivity, herpes zoster, contusion, anorexia, appetite decreased/increased, dehydration, diabetes mellitus, hypercholesterolemia, hyperglycemia, hyperlipidemia, hypertriglyceridemia, hypokalemia, weight decreased/increased, arthritis, joint stiffness, joint swelling, muscle spasms/twitching/tightness/weakness, musculoskeletal pain/stiffness, myalgia, altered taste, balance disorder,cerebrovascular accident, Guillain-Barre syndrome, headache, hemiparesis, hypoesthesia, hyposmia, lacunar infarction, lethargy, mental impairment, migraine, paresthesia, somnolence, transient ischemic attack, tremor, agitation, anxiety, depression, insomnia, irritability, libido decreased, nervousness, panic attack, personality change, hematuria, nephrolithiasis, pollakiuria, proteinuria, renal failure, renal insufficiency, urgency, incontinence, breast pain, erectile dysfunction, gynecomastia, bronchitis, cough, dyspnea, epistaxis, nasal dryness, paranasal sinus hypersecretion, pharyngeal edema, respiratory tract congestion, sneezing, throat irritation, upper respiratory tract infection, alopecia, angio-edema, dermatitis, dermographism, ecchymosis, eczema, hair color changes, hair growth abnormal, hyperhidrosis, peeling skin, petechiae, photosensitivity, pruritus, purpura, skin discoloration/altered pigmentation, skin lesion, skin odor abnormal, urticaria, flushing, hot flush, hypertension, hypotension, hepatic failure, jaundice, abnormal liver function test results, liver disorder, anaphylaxis, anaphylactic reaction, rhabdomyolysis, psychotic behavior including aggressive thoughts, tubulointerstitial nephritis, generalized rash, Stevens Johnson Syndrome, hypersensitivity skin reactions, death."
