,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,103,97.0,6.0,31.0,0.941747572815534,0.7578125,0.8398268398268398
1,KYPROLIS,adverse reactions,exact-meddra,104,103,89.0,,15.0,,0.8557692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,103,8.0,,17.0,,0.32,
3,KYPROLIS,adverse reactions,negated,0,103,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,103,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,22,22.0,0.0,43.0,1.0,0.3384615384615385,0.5057471264367815
6,KYPROLIS,warnings and precautions,exact-meddra,44,22,18.0,,26.0,,0.4090909090909091,
7,KYPROLIS,warnings and precautions,non-meddra,22,22,4.0,,18.0,,0.18181818181818182,
8,KYPROLIS,warnings and precautions,negated,0,22,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,22,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,MULTAQ,adverse reactions,all,39,30,28.0,2.0,11.0,0.9333333333333333,0.717948717948718,0.8115942028985509
16,MULTAQ,adverse reactions,exact-meddra,26,30,23.0,,3.0,,0.8846153846153846,
17,MULTAQ,adverse reactions,non-meddra,13,30,5.0,,8.0,,0.38461538461538464,
18,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,30,0.0,,5.0,,0.0,
20,MULTAQ,warnings and precautions,all,24,26,17.0,9.0,7.0,0.6538461538461539,0.7083333333333334,0.68
21,MULTAQ,warnings and precautions,exact-meddra,13,26,12.0,,1.0,,0.9230769230769231,
22,MULTAQ,warnings and precautions,non-meddra,11,26,5.0,,6.0,,0.45454545454545453,
23,MULTAQ,warnings and precautions,negated,0,26,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,26,1.0,,2.0,,0.3333333333333333,
25,MULTAQ,boxed warnings,all,3,8,3.0,5.0,0.0,0.375,1.0,0.5454545454545454
26,MULTAQ,boxed warnings,exact-meddra,3,8,3.0,,0.0,,1.0,
27,MULTAQ,boxed warnings,non-meddra,0,8,0.0,,0.0,,,
28,MULTAQ,boxed warnings,negated,0,8,0.0,,0.0,,,
29,MULTAQ,boxed warnings,discontinuous,0,8,0.0,,0.0,,,
30,JUBLIA,adverse reactions,all,5,4,4.0,0.0,1.0,1.0,0.8,0.888888888888889
31,JUBLIA,adverse reactions,exact-meddra,3,4,3.0,,0.0,,1.0,
32,JUBLIA,adverse reactions,non-meddra,2,4,1.0,,1.0,,0.5,
33,JUBLIA,adverse reactions,negated,0,4,0.0,,0.0,,,
34,JUBLIA,adverse reactions,discontinuous,0,4,0.0,,0.0,,,
35,JUBLIA,warnings and precautions,all,0,0,,,,,,
36,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
37,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
38,JUBLIA,warnings and precautions,negated,0,0,,,,,,
39,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
40,JUBLIA,boxed warnings,all,0,0,,,,,,
41,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
42,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
43,JUBLIA,boxed warnings,negated,0,0,,,,,,
44,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
45,TEFLARO,adverse reactions,all,30,29,28.0,1.0,2.0,0.9655172413793104,0.9333333333333333,0.9491525423728815
46,TEFLARO,adverse reactions,exact-meddra,26,29,25.0,,1.0,,0.9615384615384616,
47,TEFLARO,adverse reactions,non-meddra,4,29,3.0,,1.0,,0.75,
48,TEFLARO,adverse reactions,negated,0,29,0.0,,0.0,,,
49,TEFLARO,adverse reactions,discontinuous,0,29,0.0,,0.0,,,
50,TEFLARO,warnings and precautions,all,10,8,2.0,6.0,8.0,0.25,0.2,0.22222222222222224
51,TEFLARO,warnings and precautions,exact-meddra,2,8,0.0,,2.0,,0.0,
52,TEFLARO,warnings and precautions,non-meddra,8,8,2.0,,6.0,,0.25,
53,TEFLARO,warnings and precautions,negated,0,8,0.0,,0.0,,,
54,TEFLARO,warnings and precautions,discontinuous,2,8,1.0,,1.0,,0.5,
55,TEFLARO,boxed warnings,all,0,0,,,,,,
56,TEFLARO,boxed warnings,exact-meddra,0,0,,,,,,
57,TEFLARO,boxed warnings,non-meddra,0,0,,,,,,
58,TEFLARO,boxed warnings,negated,0,0,,,,,,
59,TEFLARO,boxed warnings,discontinuous,0,0,,,,,,
60,DATSCAN,adverse reactions,all,11,10,10.0,0.0,1.0,1.0,0.9090909090909091,0.9523809523809523
61,DATSCAN,adverse reactions,exact-meddra,8,10,8.0,,0.0,,1.0,
62,DATSCAN,adverse reactions,non-meddra,3,10,2.0,,1.0,,0.6666666666666666,
63,DATSCAN,adverse reactions,negated,0,10,0.0,,0.0,,,
64,DATSCAN,adverse reactions,discontinuous,0,10,0.0,,0.0,,,
65,DATSCAN,warnings and precautions,all,3,5,3.0,2.0,0.0,0.6,1.0,0.7499999999999999
66,DATSCAN,warnings and precautions,exact-meddra,1,5,1.0,,0.0,,1.0,
67,DATSCAN,warnings and precautions,non-meddra,2,5,2.0,,0.0,,1.0,
68,DATSCAN,warnings and precautions,negated,0,5,0.0,,0.0,,,
69,DATSCAN,warnings and precautions,discontinuous,0,5,0.0,,0.0,,,
70,DATSCAN,boxed warnings,all,0,0,,,,,,
71,DATSCAN,boxed warnings,exact-meddra,0,0,,,,,,
72,DATSCAN,boxed warnings,non-meddra,0,0,,,,,,
73,DATSCAN,boxed warnings,negated,0,0,,,,,,
74,DATSCAN,boxed warnings,discontinuous,0,0,,,,,,
75,TIVICAY,adverse reactions,all,45,51,33.0,18.0,12.0,0.6470588235294118,0.7333333333333333,0.6875
76,TIVICAY,adverse reactions,exact-meddra,30,51,25.0,,5.0,,0.8333333333333334,
77,TIVICAY,adverse reactions,non-meddra,15,51,8.0,,7.0,,0.5333333333333333,
78,TIVICAY,adverse reactions,negated,0,51,0.0,,0.0,,,
79,TIVICAY,adverse reactions,discontinuous,8,51,7.0,,1.0,,0.875,
80,TIVICAY,warnings and precautions,all,20,39,14.0,25.0,6.0,0.358974358974359,0.7,0.4745762711864407
81,TIVICAY,warnings and precautions,exact-meddra,10,39,7.0,,3.0,,0.7,
82,TIVICAY,warnings and precautions,non-meddra,10,39,7.0,,3.0,,0.7,
83,TIVICAY,warnings and precautions,negated,0,39,0.0,,0.0,,,
84,TIVICAY,warnings and precautions,discontinuous,0,39,0.0,,0.0,,,
85,TIVICAY,boxed warnings,all,0,0,,,,,,
86,TIVICAY,boxed warnings,exact-meddra,0,0,,,,,,
87,TIVICAY,boxed warnings,non-meddra,0,0,,,,,,
88,TIVICAY,boxed warnings,negated,0,0,,,,,,
89,TIVICAY,boxed warnings,discontinuous,0,0,,,,,,
