,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3905.0,407.0,1432.0,0.9056122448979592,0.7316844669289864,0.8094103015856566,0.8815857701349947,0.7592872725677521,0.8239557282300904
1,adverse reactions,discontinuous,46.0,,342.0,,0.11855670103092783,,,0.1187786396609926,
2,adverse reactions,exact-meddra,3466.0,,697.0,,0.832572663944271,,,0.8502203261698131,
3,adverse reactions,negated,15.0,,17.0,,0.46875,,,0.4246031746031746,
4,adverse reactions,non-meddra,439.0,,736.0,,0.37361702127659574,,,0.4837044908645463,
5,boxed warnings,all,170.0,164.0,92.0,0.5089820359281437,0.648854961832061,0.5704697986577181,0.5363460782797167,0.659788714181129,0.570510793213496
6,boxed warnings,discontinuous,10.0,,23.0,,0.30303030303030304,,,0.2889610389610389,
7,boxed warnings,exact-meddra,112.0,,24.0,,0.8235294117647058,,,0.7056658395368073,
8,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
9,boxed warnings,non-meddra,58.0,,68.0,,0.4603174603174603,,,0.4637085137085137,
10,warnings and precautions,all,1220.0,1047.0,1232.0,0.5381561535068372,0.49755301794453505,0.5170586988768807,0.49617486989623005,0.5312123286215126,0.49627819448865407
11,warnings and precautions,discontinuous,49.0,,301.0,,0.14,,,0.1911183261183261,
12,warnings and precautions,exact-meddra,848.0,,365.0,,0.6990931574608409,,,0.7237193360740577,
13,warnings and precautions,negated,10.0,,17.0,,0.37037037037037035,,,0.392156862745098,
14,warnings and precautions,non-meddra,372.0,,868.0,,0.3,,,0.3580950448042546,
0,all,all,5295.0,1618.0,2756.0,0.7659482135107768,0.6576822754937275,0.6727291285126102,0.6654343127526641,0.6495236506123415,0.6486014931606079
