,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,82,94.0,0.0,34.0,1.0,0.734375,0.8468468468468469
1,KYPROLIS,adverse reactions,exact-meddra,104,82,82.0,,22.0,,0.7884615384615384,
2,KYPROLIS,adverse reactions,non-meddra,25,82,12.0,,13.0,,0.48,
3,KYPROLIS,adverse reactions,negated,0,82,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,82,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,55,52.0,8.0,13.0,0.8666666666666667,0.8,0.832
6,KYPROLIS,warnings and precautions,exact-meddra,44,55,40.0,,4.0,,0.9090909090909091,
7,KYPROLIS,warnings and precautions,non-meddra,22,55,12.0,,10.0,,0.5454545454545454,
8,KYPROLIS,warnings and precautions,negated,0,55,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,55,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,108,121.0,1.0,37.0,0.9918032786885246,0.7658227848101266,0.8642857142857142
16,KYPROLIS,all-concat,exact-meddra,119,108,103.0,,16.0,,0.865546218487395,
17,KYPROLIS,all-concat,non-meddra,40,108,18.0,,22.0,,0.45,
18,KYPROLIS,all-concat,negated,0,108,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,108,1.0,,3.0,,0.25,
20,MULTAQ,adverse reactions,all,39,30,38.0,0.0,1.0,1.0,0.9743589743589743,0.9870129870129869
21,MULTAQ,adverse reactions,exact-meddra,26,30,26.0,,0.0,,1.0,
22,MULTAQ,adverse reactions,non-meddra,13,30,12.0,,1.0,,0.9230769230769231,
23,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,30,5.0,,0.0,,1.0,
25,MULTAQ,warnings and precautions,all,24,27,21.0,8.0,3.0,0.7241379310344828,0.875,0.7924528301886793
26,MULTAQ,warnings and precautions,exact-meddra,13,27,12.0,,1.0,,0.9230769230769231,
27,MULTAQ,warnings and precautions,non-meddra,11,27,9.0,,2.0,,0.8181818181818182,
28,MULTAQ,warnings and precautions,negated,0,27,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,27,3.0,,0.0,,1.0,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,39,48.0,2.0,8.0,0.96,0.8571428571428571,0.9056603773584904
36,MULTAQ,all-concat,exact-meddra,32,39,30.0,,2.0,,0.9375,
37,MULTAQ,all-concat,non-meddra,24,39,18.0,,6.0,,0.75,
38,MULTAQ,all-concat,negated,0,39,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,39,7.0,,1.0,,0.875,
40,JUBLIA,adverse reactions,all,5,4,5.0,0.0,0.0,1.0,1.0,1.0
