,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,82,80,2.0,48,0.975609756097561,0.625,0.7619047619047619
1,KYPROLIS,exact-meddra,104,82,72,,32,,0.6923076923076923,
2,KYPROLIS,non-meddra,25,82,8,,17,,0.32,
3,KYPROLIS,negated,0,82,0,,0,,,
4,KYPROLIS,discontinuous,3,82,0,,3,,0.0,
5,MULTAQ,all,39,30,29,1.0,10,0.9666666666666667,0.7435897435897436,0.8405797101449275
6,MULTAQ,exact-meddra,26,30,23,,3,,0.8846153846153846,
7,MULTAQ,non-meddra,13,30,6,,7,,0.46153846153846156,
8,MULTAQ,negated,0,30,0,,0,,,
9,MULTAQ,discontinuous,5,30,0,,5,,0.0,
10,JUBLIA,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,1,,1,,0.5,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,37,29,8.0,1,0.7837837837837838,0.9666666666666667,0.8656716417910447
16,TEFLARO,exact-meddra,26,37,26,,0,,1.0,
17,TEFLARO,non-meddra,4,37,3,,1,,0.75,
18,TEFLARO,negated,0,37,0,,0,,,
19,TEFLARO,discontinuous,0,37,0,,0,,,
20,DATSCAN,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,2,,1,,0.6666666666666666,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,51,33,18.0,12,0.6470588235294118,0.7333333333333333,0.6875
26,TIVICAY,exact-meddra,30,51,25,,5,,0.8333333333333334,
27,TIVICAY,non-meddra,15,51,8,,7,,0.5333333333333333,
28,TIVICAY,negated,0,51,0,,0,,,
29,TIVICAY,discontinuous,8,51,7,,1,,0.875,
30,TAFINLAR,all,112,67,62,5.0,50,0.9253731343283582,0.5535714285714286,0.6927374301675978
31,TAFINLAR,exact-meddra,94,67,53,,41,,0.5638297872340425,
32,TAFINLAR,non-meddra,18,67,9,,9,,0.5,
33,TAFINLAR,negated,0,67,0,,0,,,
34,TAFINLAR,discontinuous,0,67,0,,0,,,
35,HORIZANT,all,27,25,24,1.0,3,0.96,0.8888888888888888,0.923076923076923
36,HORIZANT,exact-meddra,26,25,23,,3,,0.8846153846153846,
37,HORIZANT,non-meddra,1,25,1,,0,,1.0,
38,HORIZANT,negated,0,25,0,,0,,,
39,HORIZANT,discontinuous,0,25,0,,0,,,
40,IMBRUVICA,all,70,64,57,7.0,13,0.890625,0.8142857142857143,0.8507462686567163
41,IMBRUVICA,exact-meddra,55,64,50,,5,,0.9090909090909091,
42,IMBRUVICA,non-meddra,15,64,7,,8,,0.4666666666666667,
43,IMBRUVICA,negated,0,64,0,,0,,,
44,IMBRUVICA,discontinuous,2,64,0,,2,,0.0,
45,ULORIC,all,210,163,155,8.0,55,0.950920245398773,0.7380952380952381,0.8310991957104558
46,ULORIC,exact-meddra,187,163,148,,39,,0.7914438502673797,
47,ULORIC,non-meddra,23,163,7,,16,,0.30434782608695654,
48,ULORIC,negated,0,163,0,,0,,,
49,ULORIC,discontinuous,18,163,4,,14,,0.2222222222222222,
50,CIMZIA,all,99,65,59,6.0,40,0.9076923076923077,0.5959595959595959,0.7195121951219511
51,CIMZIA,exact-meddra,76,65,55,,21,,0.7236842105263158,
52,CIMZIA,non-meddra,23,65,4,,19,,0.17391304347826086,
53,CIMZIA,negated,1,65,0,,1,,0.0,
54,CIMZIA,discontinuous,8,65,0,,8,,0.0,
55,KALYDECO,all,40,26,26,0.0,14,1.0,0.65,0.787878787878788
56,KALYDECO,exact-meddra,24,26,24,,0,,1.0,
57,KALYDECO,non-meddra,16,26,2,,14,,0.125,
58,KALYDECO,negated,0,26,0,,0,,,
59,KALYDECO,discontinuous,10,26,0,,10,,0.0,
60,FULYZAQ,all,36,36,36,0.0,0,1.0,1.0,1.0
61,FULYZAQ,exact-meddra,30,36,30,,0,,1.0,
62,FULYZAQ,non-meddra,6,36,6,,0,,1.0,
63,FULYZAQ,negated,0,36,0,,0,,,
64,FULYZAQ,discontinuous,0,36,0,,0,,,
65,QUTENZA,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
66,QUTENZA,exact-meddra,34,37,34,,0,,1.0,
67,QUTENZA,non-meddra,6,37,3,,3,,0.5,
68,QUTENZA,negated,0,37,0,,0,,,
69,QUTENZA,discontinuous,0,37,0,,0,,,
70,GRANIX,all,8,13,6,7.0,2,0.46153846153846156,0.75,0.5714285714285714
71,GRANIX,exact-meddra,5,13,5,,0,,1.0,
72,GRANIX,non-meddra,3,13,1,,2,,0.3333333333333333,
73,GRANIX,negated,0,13,0,,0,,,
74,GRANIX,discontinuous,0,13,0,,0,,,
75,COARTEM,all,81,79,78,1.0,3,0.9873417721518988,0.9629629629629629,0.975
76,COARTEM,exact-meddra,78,79,77,,1,,0.9871794871794872,
77,COARTEM,non-meddra,3,79,1,,2,,0.3333333333333333,
78,COARTEM,negated,0,79,0,,0,,,
79,COARTEM,discontinuous,0,79,0,,0,,,
80,APTIOM,all,42,40,31,9.0,11,0.775,0.7380952380952381,0.7560975609756099
81,APTIOM,exact-meddra,34,40,26,,8,,0.7647058823529411,
82,APTIOM,non-meddra,8,40,5,,3,,0.625,
83,APTIOM,negated,0,40,0,,0,,,
84,APTIOM,discontinuous,1,40,0,,1,,0.0,
85,PROLIA,all,69,49,40,9.0,29,0.8163265306122449,0.5797101449275363,0.6779661016949153
86,PROLIA,exact-meddra,43,49,37,,6,,0.8604651162790697,
87,PROLIA,non-meddra,26,49,3,,23,,0.11538461538461539,
88,PROLIA,negated,2,49,0,,2,,0.0,
89,PROLIA,discontinuous,8,49,0,,8,,0.0,
90,BLINCYTO,all,94,76,72,4.0,22,0.9473684210526315,0.7659574468085106,0.8470588235294116
91,BLINCYTO,exact-meddra,78,76,60,,18,,0.7692307692307693,
92,BLINCYTO,non-meddra,16,76,12,,4,,0.75,
93,BLINCYTO,negated,1,76,0,,1,,0.0,
94,BLINCYTO,discontinuous,1,76,0,,1,,0.0,
95,STENDRA,all,55,53,50,3.0,5,0.9433962264150944,0.9090909090909091,0.9259259259259259
96,STENDRA,exact-meddra,53,53,50,,3,,0.9433962264150944,
