,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4479.0,195.0,858.0,0.9582798459563543,0.8392355255761664,0.8948157027270004,0.9530192987838415,0.8727328085523073,0.9056383730612547
1,adverse reactions,discontinuous,188.0,,200.0,,0.4845360824742268,,,0.45775482687247393,
2,adverse reactions,exact-meddra,3768.0,,395.0,,0.9051165025222195,,,0.9320264292544898,
3,adverse reactions,negated,24.0,,8.0,,0.75,,,0.7301587301587302,
4,adverse reactions,non-meddra,712.0,,463.0,,0.6059574468085106,,,0.6838683690015187,
5,boxed warnings,all,229.0,95.0,33.0,0.7067901234567902,0.8740458015267175,0.7815699658703071,0.7527156814801231,0.9323298426433102,0.7964449331167597
6,boxed warnings,discontinuous,21.0,,12.0,,0.6363636363636364,,,0.5573593073593074,
7,boxed warnings,exact-meddra,132.0,,4.0,,0.9705882352941176,,,0.9588089330024814,
8,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
9,boxed warnings,non-meddra,97.0,,29.0,,0.7698412698412699,,,0.8364718614718615,
10,warnings and precautions,all,1788.0,774.0,664.0,0.6978922716627635,0.7292006525285482,0.7132030315117671,0.6429061228098485,0.7632588602317134,0.6705941497789538
11,warnings and precautions,discontinuous,161.0,,189.0,,0.46,,,0.5472583765440908,
12,warnings and precautions,exact-meddra,1069.0,,144.0,,0.8812860676009893,,,0.9160592136148532,
13,warnings and precautions,negated,21.0,,6.0,,0.7777777777777778,,,0.7892156862745098,
14,warnings and precautions,non-meddra,719.0,,521.0,,0.5798387096774194,,,0.6326298322760829,
0,all,all,6496.0,1064.0,1555.0,0.8592592592592593,0.8068562911439573,0.8163684048334674,0.7914173947882741,0.8373332929097671,0.7914492189245006
