,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,107,112.0,0.0,16.0,1.0,0.875,0.9333333333333333
1,KYPROLIS,adverse reactions,exact-meddra,104,107,99.0,,5.0,,0.9519230769230769,
2,KYPROLIS,adverse reactions,non-meddra,25,107,13.0,,12.0,,0.52,
3,KYPROLIS,adverse reactions,negated,0,107,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,107,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,54,51.0,10.0,14.0,0.8360655737704918,0.7846153846153846,0.8095238095238095
6,KYPROLIS,warnings and precautions,exact-meddra,44,54,37.0,,7.0,,0.8409090909090909,
7,KYPROLIS,warnings and precautions,non-meddra,22,54,15.0,,7.0,,0.6818181818181818,
8,KYPROLIS,warnings and precautions,negated,0,54,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,54,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,29,40.0,1.0,118.0,0.975609756097561,0.25316455696202533,0.4020100502512563
16,KYPROLIS,all-concat,exact-meddra,119,29,29.0,,90.0,,0.24369747899159663,
17,KYPROLIS,all-concat,non-meddra,40,29,11.0,,29.0,,0.275,
18,KYPROLIS,all-concat,negated,0,29,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,29,1.0,,3.0,,0.25,
20,MULTAQ,adverse reactions,all,39,33,37.0,0.0,2.0,1.0,0.9487179487179487,0.9736842105263158
21,MULTAQ,adverse reactions,exact-meddra,26,33,26.0,,0.0,,1.0,
22,MULTAQ,adverse reactions,non-meddra,13,33,11.0,,2.0,,0.8461538461538461,
23,MULTAQ,adverse reactions,negated,0,33,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,33,4.0,,1.0,,0.8,
25,MULTAQ,warnings and precautions,all,24,24,22.0,5.0,2.0,0.8148148148148148,0.9166666666666666,0.8627450980392156
26,MULTAQ,warnings and precautions,exact-meddra,13,24,12.0,,1.0,,0.9230769230769231,
27,MULTAQ,warnings and precautions,non-meddra,11,24,10.0,,1.0,,0.9090909090909091,
28,MULTAQ,warnings and precautions,negated,0,24,0.0,,0.0,,,
29,MULTAQ,warnings and precautions,discontinuous,3,24,3.0,,0.0,,1.0,
30,MULTAQ,boxed warnings,all,3,3,3.0,0.0,0.0,1.0,1.0,1.0
31,MULTAQ,boxed warnings,exact-meddra,3,3,3.0,,0.0,,1.0,
32,MULTAQ,boxed warnings,non-meddra,0,3,0.0,,0.0,,,
33,MULTAQ,boxed warnings,negated,0,3,0.0,,0.0,,,
34,MULTAQ,boxed warnings,discontinuous,0,3,0.0,,0.0,,,
35,MULTAQ,all-concat,all,56,44,49.0,6.0,7.0,0.8909090909090909,0.875,0.8828828828828829
36,MULTAQ,all-concat,exact-meddra,32,44,30.0,,2.0,,0.9375,
37,MULTAQ,all-concat,non-meddra,24,44,19.0,,5.0,,0.7916666666666666,
38,MULTAQ,all-concat,negated,0,44,0.0,,0.0,,,
39,MULTAQ,all-concat,discontinuous,8,44,7.0,,1.0,,0.875,
40,JUBLIA,adverse reactions,all,5,4,5.0,0.0,0.0,1.0,1.0,1.0
41,JUBLIA,adverse reactions,exact-meddra,3,4,3.0,,0.0,,1.0,
42,JUBLIA,adverse reactions,non-meddra,2,4,2.0,,0.0,,1.0,
43,JUBLIA,adverse reactions,negated,0,4,0.0,,0.0,,,
44,JUBLIA,adverse reactions,discontinuous,0,4,0.0,,0.0,,,
45,JUBLIA,warnings and precautions,all,0,0,,,,,,
46,JUBLIA,warnings and precautions,exact-meddra,0,0,,,,,,
47,JUBLIA,warnings and precautions,non-meddra,0,0,,,,,,
48,JUBLIA,warnings and precautions,negated,0,0,,,,,,
49,JUBLIA,warnings and precautions,discontinuous,0,0,,,,,,
50,JUBLIA,boxed warnings,all,0,0,,,,,,
51,JUBLIA,boxed warnings,exact-meddra,0,0,,,,,,
52,JUBLIA,boxed warnings,non-meddra,0,0,,,,,,
53,JUBLIA,boxed warnings,negated,0,0,,,,,,
54,JUBLIA,boxed warnings,discontinuous,0,0,,,,,,
55,JUBLIA,all-concat,all,5,4,5.0,0.0,0.0,1.0,1.0,1.0
56,JUBLIA,all-concat,exact-meddra,3,4,3.0,,0.0,,1.0,
57,JUBLIA,all-concat,non-meddra,2,4,2.0,,0.0,,1.0,
58,JUBLIA,all-concat,negated,0,4,0.0,,0.0,,,
59,JUBLIA,all-concat,discontinuous,0,4,0.0,,0.0,,,
60,TEFLARO,adverse reactions,all,30,38,30.0,8.0,0.0,0.7894736842105263,1.0,0.8823529411764706
61,TEFLARO,adverse reactions,exact-meddra,26,38,26.0,,0.0,,1.0,
62,TEFLARO,adverse reactions,non-meddra,4,38,4.0,,0.0,,1.0,
63,TEFLARO,adverse reactions,negated,0,38,0.0,,0.0,,,
64,TEFLARO,adverse reactions,discontinuous,0,38,0.0,,0.0,,,
65,TEFLARO,warnings and precautions,all,10,9,7.0,4.0,3.0,0.6363636363636364,0.7,0.6666666666666666
66,TEFLARO,warnings and precautions,exact-meddra,2,9,2.0,,0.0,,1.0,
67,TEFLARO,warnings and precautions,non-meddra,8,9,5.0,,3.0,,0.625,
68,TEFLARO,warnings and precautions,negated,0,9,0.0,,0.0,,,
69,TEFLARO,warnings and precautions,discontinuous,2,9,2.0,,0.0,,1.0,
70,TEFLARO,boxed warnings,all,0,0,,,,,,
71,TEFLARO,boxed warnings,exact-meddra,0,0,,,,,,
72,TEFLARO,boxed warnings,non-meddra,0,0,,,,,,
73,TEFLARO,boxed warnings,negated,0,0,,,,,,
74,TEFLARO,boxed warnings,discontinuous,0,0,,,,,,
