,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3954.0,453.0,1383.0,0.897208985704561,0.7408656548622822,0.811576354679803,0.8719993561468053,0.765572791637929,0.824235214383248
1,adverse reactions,discontinuous,55.0,,333.0,,0.14175257731958762,,,0.16172735760971058,
2,adverse reactions,exact-meddra,3504.0,,659.0,,0.8417006966130195,,,0.8577302149668313,
3,adverse reactions,negated,17.0,,15.0,,0.53125,,,0.4880952380952381,
4,adverse reactions,non-meddra,450.0,,725.0,,0.3829787234042553,,,0.48841145311757495,
5,all-concat,all,4187.0,692.0,2851.0,0.8581676573068252,0.5949133276499006,0.702693630947386,0.8399247371414714,0.6370428912915871,0.7103449624604827
6,all-concat,discontinuous,59.0,,683.0,,0.07951482479784366,,,0.11367582652412372,
7,all-concat,exact-meddra,3668.0,,1159.0,,0.7598922726331054,,,0.7919060861154839,
8,all-concat,negated,24.0,,35.0,,0.4067796610169492,,,0.4318181818181818,
9,all-concat,non-meddra,519.0,,1693.0,,0.23462929475587704,,,0.31670493694972496,
10,boxed warnings,all,169.0,149.0,93.0,0.5314465408805031,0.6450381679389313,0.5827586206896551,0.5386129221655537,0.6455219244692929,0.5691539174741418
11,boxed warnings,discontinuous,10.0,,23.0,,0.30303030303030304,,,0.2889610389610389,
12,boxed warnings,exact-meddra,113.0,,23.0,,0.8308823529411765,,,0.7379239040529364,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,56.0,,70.0,,0.4444444444444444,,,0.4544733044733045,
15,warnings and precautions,all,1326.0,1127.0,1126.0,0.5405625764370159,0.5407830342577488,0.5406727828746177,0.5030284363675819,0.5574986634261873,0.5124332502884515
16,warnings and precautions,discontinuous,56.0,,294.0,,0.16,,,0.18663725163725164,
17,warnings and precautions,exact-meddra,926.0,,287.0,,0.763396537510305,,,0.7617353313573436,
18,warnings and precautions,negated,13.0,,14.0,,0.48148148148148145,,,0.5245098039215685,
19,warnings and precautions,non-meddra,400.0,,840.0,,0.3225806451612903,,,0.3861780184777578,
0,all,all,5449.0,1729.0,2602.0,0.7591251044859292,0.6768103341199851,0.6850491743419059,0.6646111700831656,0.6607205738881531,0.6545326430955868
