,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,110.0,0.0,18.0,1.0,0.859375,0.9243697478991597
1,KYPROLIS,adverse reactions,exact-meddra,104,102,96.0,,8.0,,0.9230769230769231,
2,KYPROLIS,adverse reactions,non-meddra,25,102,15.0,,10.0,,0.6,
3,KYPROLIS,adverse reactions,negated,0,102,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,102,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,57,53.0,8.0,12.0,0.8688524590163934,0.8153846153846154,0.8412698412698412
6,KYPROLIS,warnings and precautions,exact-meddra,44,57,41.0,,3.0,,0.9318181818181818,
7,KYPROLIS,warnings and precautions,non-meddra,22,57,12.0,,10.0,,0.5454545454545454,
8,KYPROLIS,warnings and precautions,negated,0,57,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,57,1.0,,0.0,,1.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,65,65.0,9.0,93.0,0.8783783783783784,0.41139240506329117,0.560344827586207
16,KYPROLIS,all-concat,exact-meddra,119,65,48.0,,71.0,,0.40336134453781514,
17,KYPROLIS,all-concat,non-meddra,40,65,17.0,,23.0,,0.425,
18,KYPROLIS,all-concat,negated,0,65,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,65,1.0,,3.0,,0.25,
20,MULTAQ,adverse reactions,all,39,30,38.0,0.0,1.0,1.0,0.9743589743589743,0.9870129870129869
21,MULTAQ,adverse reactions,exact-meddra,26,30,26.0,,0.0,,1.0,
22,MULTAQ,adverse reactions,non-meddra,13,30,12.0,,1.0,,0.9230769230769231,
23,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,30,5.0,,0.0,,1.0,
25,MULTAQ,warnings and precautions,all,24,28,21.0,9.0,3.0,0.7,0.875,0.7777777777777777
26,MULTAQ,warnings and precautions,exact-meddra,13,28,12.0,,1.0,,0.9230769230769231,
27,MULTAQ,warnings and precautions,non-meddra,11,28,9.0,,2.0,,0.8181818181818182,
