,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,49,43.0,6.0,85.0,0.8775510204081632,0.3359375,0.4858757062146893
1,KYPROLIS,adverse reactions,exact-meddra,104,49,37.0,,67.0,,0.3557692307692308,
2,KYPROLIS,adverse reactions,non-meddra,25,49,6.0,,19.0,,0.24,
3,KYPROLIS,adverse reactions,negated,0,49,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,49,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,50,35.0,15.0,30.0,0.7,0.5384615384615384,0.608695652173913
6,KYPROLIS,warnings and precautions,exact-meddra,44,50,27.0,,17.0,,0.6136363636363636,
7,KYPROLIS,warnings and precautions,non-meddra,22,50,8.0,,14.0,,0.36363636363636365,
8,KYPROLIS,warnings and precautions,negated,0,50,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,50,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,KYPROLIS,all-concat,all,158,32,23.0,9.0,135.0,0.71875,0.14556962025316456,0.24210526315789474
16,KYPROLIS,all-concat,exact-meddra,119,32,19.0,,100.0,,0.15966386554621848,
17,KYPROLIS,all-concat,non-meddra,40,32,4.0,,36.0,,0.1,
18,KYPROLIS,all-concat,negated,0,32,0.0,,0.0,,,
19,KYPROLIS,all-concat,discontinuous,4,32,0.0,,4.0,,0.0,
20,MULTAQ,adverse reactions,all,39,37,28.0,9.0,11.0,0.7567567567567568,0.717948717948718,0.736842105263158
21,MULTAQ,adverse reactions,exact-meddra,26,37,24.0,,2.0,,0.9230769230769231,
22,MULTAQ,adverse reactions,non-meddra,13,37,4.0,,9.0,,0.3076923076923077,
23,MULTAQ,adverse reactions,negated,0,37,0.0,,0.0,,,
24,MULTAQ,adverse reactions,discontinuous,5,37,0.0,,5.0,,0.0,
