,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,102,110,0.0,18,1.0,0.859375,0.9243697478991597
1,KYPROLIS,exact-meddra,104,102,96,,8,,0.9230769230769231,
2,KYPROLIS,non-meddra,25,102,15,,10,,0.6,
3,KYPROLIS,negated,0,102,0,,0,,,
4,KYPROLIS,discontinuous,3,102,0,,3,,0.0,
5,MULTAQ,all,39,29,37,0.0,2,1.0,0.9487179487179487,0.9736842105263158
6,MULTAQ,exact-meddra,26,29,26,,0,,1.0,
7,MULTAQ,non-meddra,13,29,11,,2,,0.8461538461538461,
8,MULTAQ,negated,0,29,0,,0,,,
9,MULTAQ,discontinuous,5,29,5,,0,,1.0,
10,JUBLIA,all,5,4,5,0.0,0,1.0,1.0,1.0
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,2,,0,,1.0,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,30,30,0.0,0,1.0,1.0,1.0
16,TEFLARO,exact-meddra,26,30,26,,0,,1.0,
17,TEFLARO,non-meddra,4,30,4,,0,,1.0,
18,TEFLARO,negated,0,30,0,,0,,,
19,TEFLARO,discontinuous,0,30,0,,0,,,
20,DATSCAN,all,11,10,11,0.0,0,1.0,1.0,1.0
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,3,,0,,1.0,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,43,34,7.0,11,0.8292682926829268,0.7555555555555555,0.7906976744186047
26,TIVICAY,exact-meddra,30,43,28,,2,,0.9333333333333333,
27,TIVICAY,non-meddra,15,43,6,,9,,0.4,
28,TIVICAY,negated,0,43,0,,0,,,
29,TIVICAY,discontinuous,8,43,4,,4,,0.5,
30,TAFINLAR,all,112,67,86,0.0,26,1.0,0.7678571428571429,0.8686868686868687
31,TAFINLAR,exact-meddra,94,67,73,,21,,0.776595744680851,
32,TAFINLAR,non-meddra,18,67,13,,5,,0.7222222222222222,
33,TAFINLAR,negated,0,67,0,,0,,,
34,TAFINLAR,discontinuous,0,67,0,,0,,,
35,HORIZANT,all,27,28,27,2.0,0,0.9310344827586207,1.0,0.9642857142857143
36,HORIZANT,exact-meddra,26,28,26,,0,,1.0,
37,HORIZANT,non-meddra,1,28,1,,0,,1.0,
38,HORIZANT,negated,0,28,0,,0,,,
39,HORIZANT,discontinuous,0,28,0,,0,,,
40,IMBRUVICA,all,70,62,58,4.0,12,0.9354838709677419,0.8285714285714286,0.8787878787878788
41,IMBRUVICA,exact-meddra,55,62,51,,4,,0.9272727272727272,
42,IMBRUVICA,non-meddra,15,62,7,,8,,0.4666666666666667,
43,IMBRUVICA,negated,0,62,0,,0,,,
44,IMBRUVICA,discontinuous,2,62,0,,2,,0.0,
45,ULORIC,all,210,164,166,0.0,44,1.0,0.7904761904761904,0.8829787234042553
46,ULORIC,exact-meddra,187,164,154,,33,,0.8235294117647058,
47,ULORIC,non-meddra,23,164,12,,11,,0.5217391304347826,
48,ULORIC,negated,0,164,0,,0,,,
49,ULORIC,discontinuous,18,164,7,,11,,0.3888888888888889,
50,CIMZIA,all,99,66,71,5.0,28,0.9342105263157895,0.7171717171717171,0.8114285714285714
51,CIMZIA,exact-meddra,76,66,58,,18,,0.7631578947368421,
52,CIMZIA,non-meddra,23,66,13,,10,,0.5652173913043478,
53,CIMZIA,negated,1,66,1,,0,,1.0,
54,CIMZIA,discontinuous,8,66,2,,6,,0.25,
