,drug_name,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,all,128,104,99,5.0,29,0.9519230769230769,0.7734375,0.853448275862069
1,KYPROLIS,exact-meddra,104,104,91,,13,,0.875,
2,KYPROLIS,non-meddra,25,104,8,,17,,0.32,
3,KYPROLIS,negated,0,104,0,,0,,,
4,KYPROLIS,discontinuous,3,104,0,,3,,0.0,
5,MULTAQ,all,39,30,28,2.0,11,0.9333333333333333,0.717948717948718,0.8115942028985509
6,MULTAQ,exact-meddra,26,30,23,,3,,0.8846153846153846,
7,MULTAQ,non-meddra,13,30,5,,8,,0.38461538461538464,
8,MULTAQ,negated,0,30,0,,0,,,
9,MULTAQ,discontinuous,5,30,0,,5,,0.0,
10,JUBLIA,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
11,JUBLIA,exact-meddra,3,4,3,,0,,1.0,
12,JUBLIA,non-meddra,2,4,1,,1,,0.5,
13,JUBLIA,negated,0,4,0,,0,,,
14,JUBLIA,discontinuous,0,4,0,,0,,,
15,TEFLARO,all,30,38,29,9.0,1,0.7631578947368421,0.9666666666666667,0.8529411764705883
16,TEFLARO,exact-meddra,26,38,26,,0,,1.0,
17,TEFLARO,non-meddra,4,38,3,,1,,0.75,
18,TEFLARO,negated,0,38,0,,0,,,
19,TEFLARO,discontinuous,0,38,0,,0,,,
20,DATSCAN,all,11,10,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
21,DATSCAN,exact-meddra,8,10,8,,0,,1.0,
22,DATSCAN,non-meddra,3,10,2,,1,,0.6666666666666666,
23,DATSCAN,negated,0,10,0,,0,,,
24,DATSCAN,discontinuous,0,10,0,,0,,,
25,TIVICAY,all,45,43,28,15.0,17,0.6511627906976745,0.6222222222222222,0.6363636363636364
26,TIVICAY,exact-meddra,30,43,22,,8,,0.7333333333333333,
27,TIVICAY,non-meddra,15,43,6,,9,,0.4,
28,TIVICAY,negated,0,43,0,,0,,,
29,TIVICAY,discontinuous,8,43,5,,3,,0.625,
30,TAFINLAR,all,112,67,62,5.0,50,0.9253731343283582,0.5535714285714286,0.6927374301675978
31,TAFINLAR,exact-meddra,94,67,53,,41,,0.5638297872340425,
32,TAFINLAR,non-meddra,18,67,9,,9,,0.5,
33,TAFINLAR,negated,0,67,0,,0,,,
34,TAFINLAR,discontinuous,0,67,0,,0,,,
35,HORIZANT,all,27,26,25,1.0,2,0.9615384615384616,0.9259259259259259,0.9433962264150944
36,HORIZANT,exact-meddra,26,26,24,,2,,0.9230769230769231,
37,HORIZANT,non-meddra,1,26,1,,0,,1.0,
38,HORIZANT,negated,0,26,0,,0,,,
39,HORIZANT,discontinuous,0,26,0,,0,,,
40,IMBRUVICA,all,70,62,57,5.0,13,0.9193548387096774,0.8142857142857143,0.8636363636363636
41,IMBRUVICA,exact-meddra,55,62,50,,5,,0.9090909090909091,
42,IMBRUVICA,non-meddra,15,62,7,,8,,0.4666666666666667,
43,IMBRUVICA,negated,0,62,0,,0,,,
44,IMBRUVICA,discontinuous,2,62,0,,2,,0.0,
45,ULORIC,all,210,195,182,13.0,28,0.9333333333333333,0.8666666666666667,0.8987654320987654
46,ULORIC,exact-meddra,187,195,169,,18,,0.9037433155080213,
47,ULORIC,non-meddra,23,195,13,,10,,0.5652173913043478,
48,ULORIC,negated,0,195,0,,0,,,
49,ULORIC,discontinuous,18,195,4,,14,,0.2222222222222222,
50,CIMZIA,all,99,66,59,7.0,40,0.8939393939393939,0.5959595959595959,0.7151515151515151
51,CIMZIA,exact-meddra,76,66,55,,21,,0.7236842105263158,
52,CIMZIA,non-meddra,23,66,4,,19,,0.17391304347826086,
53,CIMZIA,negated,1,66,0,,1,,0.0,
54,CIMZIA,discontinuous,8,66,0,,8,,0.0,
