,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,102,97.0,5.0,31.0,0.9509803921568627,0.7578125,0.8434782608695651
1,KYPROLIS,adverse reactions,exact-meddra,104,102,89.0,,15.0,,0.8557692307692307,
2,KYPROLIS,adverse reactions,non-meddra,25,102,8.0,,17.0,,0.32,
3,KYPROLIS,adverse reactions,negated,0,102,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,102,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,23,22.0,1.0,43.0,0.9565217391304348,0.3384615384615385,0.5000000000000001
6,KYPROLIS,warnings and precautions,exact-meddra,44,23,18.0,,26.0,,0.4090909090909091,
7,KYPROLIS,warnings and precautions,non-meddra,22,23,4.0,,18.0,,0.18181818181818182,
8,KYPROLIS,warnings and precautions,negated,0,23,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,23,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,0,,,,,,
11,KYPROLIS,boxed warnings,exact-meddra,0,0,,,,,,
12,KYPROLIS,boxed warnings,non-meddra,0,0,,,,,,
13,KYPROLIS,boxed warnings,negated,0,0,,,,,,
14,KYPROLIS,boxed warnings,discontinuous,0,0,,,,,,
15,MULTAQ,adverse reactions,all,39,30,29.0,1.0,10.0,0.9666666666666667,0.7435897435897436,0.8405797101449275
16,MULTAQ,adverse reactions,exact-meddra,26,30,23.0,,3.0,,0.8846153846153846,
17,MULTAQ,adverse reactions,non-meddra,13,30,6.0,,7.0,,0.46153846153846156,
18,MULTAQ,adverse reactions,negated,0,30,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,30,0.0,,5.0,,0.0,
20,MULTAQ,warnings and precautions,all,24,24,17.0,7.0,7.0,0.7083333333333334,0.7083333333333334,0.7083333333333334
21,MULTAQ,warnings and precautions,exact-meddra,13,24,12.0,,1.0,,0.9230769230769231,
22,MULTAQ,warnings and precautions,non-meddra,11,24,5.0,,6.0,,0.45454545454545453,
23,MULTAQ,warnings and precautions,negated,0,24,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,24,1.0,,2.0,,0.3333333333333333,
25,MULTAQ,boxed warnings,all,3,8,3.0,5.0,0.0,0.375,1.0,0.5454545454545454
26,MULTAQ,boxed warnings,exact-meddra,3,8,3.0,,0.0,,1.0,
