,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4386.0,194.0,951.0,0.9576419213973799,0.8218100056211355,0.8845416960774427,0.9476727261784694,0.8576569779460606,0.8939010166716806
1,adverse reactions,discontinuous,171.0,,217.0,,0.44072164948453607,,,0.4320595744125156,
2,adverse reactions,exact-meddra,3688.0,,475.0,,0.8858995916406438,,,0.9143309444085349,
3,adverse reactions,negated,23.0,,9.0,,0.71875,,,0.746031746031746,
4,adverse reactions,non-meddra,699.0,,476.0,,0.5948936170212766,,,0.6734120708126962,
5,all-concat,all,5108.0,354.0,1930.0,0.9351885756133285,0.7257743677181018,0.81728,0.9116159211455327,0.7545067274632945,0.8142696098290605
6,all-concat,discontinuous,267.0,,475.0,,0.35983827493261455,,,0.358459968509324,
7,all-concat,exact-meddra,4121.0,,706.0,,0.8537393826393205,,,0.8773071165963908,
8,all-concat,negated,37.0,,22.0,,0.6271186440677966,,,0.6287878787878788,
9,all-concat,non-meddra,987.0,,1225.0,,0.4462025316455696,,,0.49545369245533705,
10,boxed warnings,all,227.0,104.0,35.0,0.6858006042296072,0.8664122137404581,0.7655986509274874,0.7268370336552693,0.9068425132086123,0.767693536660866
11,boxed warnings,discontinuous,24.0,,9.0,,0.7272727272727273,,,0.6103896103896104,
12,boxed warnings,exact-meddra,132.0,,4.0,,0.9705882352941176,,,0.9588089330024814,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,95.0,,31.0,,0.753968253968254,,,0.7832251082251083,
15,warnings and precautions,all,1762.0,730.0,690.0,0.7070626003210273,0.7185970636215334,0.7127831715210357,0.6462062817792678,0.7622692267360967,0.6695865644098907
16,warnings and precautions,discontinuous,162.0,,188.0,,0.46285714285714286,,,0.5534261769976055,
17,warnings and precautions,exact-meddra,1053.0,,160.0,,0.8680956306677658,,,0.9106297786102643,
18,warnings and precautions,negated,23.0,,4.0,,0.8518518518518519,,,0.8774509803921569,
19,warnings and precautions,non-meddra,709.0,,531.0,,0.5717741935483871,,,0.6407050292289842,
0,all,all,6375.0,1028.0,1676.0,0.8611373767391598,0.7918271022233263,0.8103306387193828,0.7864241874512654,0.8263707002876304,0.7813824314606443
