Unnamed: 0,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,api_source,llm_model,llm_model_name,prompt,system,temp,dataset,run,eval_method,base_name
0,adverse reactions,all,2830.0,663.0,2579.0,0.8101918121958203,0.5232020706230357,0.6358121770388677,0.765305397385706,0.5953323017439683,0.6624368048666308,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
1,adverse reactions,discontinuous,19.0,,378.0,,0.0478589420654911,,,0.0693420154131304,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
2,adverse reactions,exact-meddra,2530.0,,1633.0,,0.6077348066298343,,,0.676359536029272,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
3,adverse reactions,hypothetical,24.0,,56.0,,0.3,,,0.3115353037766831,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
4,adverse reactions,negated,22.0,,51.0,,0.3013698630136986,,,0.2476190476190476,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
5,adverse reactions,non-meddra,300.0,,947.0,,0.2405773857257417,,,0.3238934120205402,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
6,all-concat,all,2654.0,504.0,4728.0,0.8404053198226725,0.3595231644540775,0.5036053130929791,0.7967249631471165,0.4374349734433997,0.550455284365606,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
7,all-concat,discontinuous,31.0,,770.0,,0.0387016229712858,,,0.0393231223651677,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
8,all-concat,exact-meddra,2345.0,,2482.0,,0.4858089910917754,,,0.5576647896013612,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
9,all-concat,hypothetical,188.0,,832.0,,0.1843137254901961,,,0.2619113695824075,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
10,all-concat,negated,25.0,,107.0,,0.1893939393939394,,,0.1877551020408163,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
11,all-concat,non-meddra,309.0,,2247.0,,0.1208920187793427,,,0.2048472826942048,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
12,boxed warnings,all,147.0,186.0,127.0,0.4414414414414414,0.5364963503649635,0.4843492586490938,0.4331493536337108,0.5396309952231004,0.5404679460096796,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
13,boxed warnings,discontinuous,6.0,,31.0,,0.1621621621621621,,,0.1199633699633699,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
14,boxed warnings,exact-meddra,113.0,,23.0,,0.8308823529411765,,,0.7188520308214705,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
15,boxed warnings,hypothetical,67.0,,54.0,,0.5537190082644629,,,0.5706939525121344,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
16,boxed warnings,negated,3.0,,2.0,,0.6,,,0.5,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
17,boxed warnings,non-meddra,34.0,,104.0,,0.2463768115942029,,,0.3250700280112045,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
18,warnings and precautions,all,861.0,769.0,1866.0,0.5282208588957055,0.3157315731573157,0.3952260729859995,0.506804086270104,0.3903928015803738,0.4050514244705663,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
19,warnings and precautions,discontinuous,20.0,,379.0,,0.050125313283208,,,0.0883428883428883,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
20,warnings and precautions,exact-meddra,588.0,,625.0,,0.4847485572959604,,,0.5904720855747811,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
21,warnings and precautions,hypothetical,292.0,,617.0,,0.3212321232123212,,,0.4246731753297567,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
