,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2245.0,3101.0,3092.0,0.41994014216236436,0.4206483042908001,0.4202939249274548,0.6664570796703675,0.5239453252776661,0.5227928414823495
1,adverse reactions,discontinuous,72.0,,316.0,,0.18556701030927836,,,0.21251457692634163,
2,adverse reactions,exact-meddra,1880.0,,2283.0,,0.451597405717031,,,0.5665314337461916,
3,adverse reactions,negated,16.0,,16.0,,0.5,,,0.4920634920634921,
4,adverse reactions,non-meddra,365.0,,810.0,,0.31063829787234043,,,0.38441631506738955,
5,boxed warnings,all,200.0,73.0,62.0,0.7326007326007326,0.7633587786259542,0.7476635514018691,0.7500206856855056,0.8453452872377021,0.7438732538128928
6,boxed warnings,discontinuous,13.0,,20.0,,0.3939393939393939,,,0.34794372294372294,
7,boxed warnings,exact-meddra,121.0,,15.0,,0.8897058823529411,,,0.9180706107701014,
8,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
9,boxed warnings,non-meddra,79.0,,47.0,,0.626984126984127,,,0.7291847041847043,
10,warnings and precautions,all,932.0,3039.0,1520.0,0.2347015865021405,0.3800978792822186,0.29020706834812393,0.47428973719321194,0.4253455825408498,0.4286577060043109
11,warnings and precautions,discontinuous,62.0,,288.0,,0.17714285714285713,,,0.19695475159760875,
12,warnings and precautions,exact-meddra,586.0,,627.0,,0.4830997526793075,,,0.5687203917039924,
13,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.6176470588235294,
14,warnings and precautions,non-meddra,346.0,,894.0,,0.27903225806451615,,,0.3036419762765831,
0,all,all,3377.0,6213.0,4674.0,0.35213764337851927,0.4194509998757918,0.3822649390934027,0.5993385975819143,0.5351700011633025,0.5220743994826066
