,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,14.0,21.0,0.0,107.0,1.0,0.1640625,0.28187919463087246
1,KYPROLIS,adverse reactions,exact-medra,128,14.0,21.0,,107.0,,0.1640625,
2,KYPROLIS,adverse reactions,non-meddra,25,14.0,5.0,,20.0,,0.2,
3,KYPROLIS,adverse reactions,negated,0,14.0,0.0,,0.0,,,
4,KYPROLIS,adverse reactions,discontinuous,3,14.0,0.0,,3.0,,0.0,
5,KYPROLIS,warnings and precautions,all,65,14.0,25.0,0.0,40.0,1.0,0.38461538461538464,0.5555555555555556
6,KYPROLIS,warnings and precautions,exact-medra,65,14.0,25.0,,40.0,,0.38461538461538464,
7,KYPROLIS,warnings and precautions,non-meddra,22,14.0,6.0,,16.0,,0.2727272727272727,
8,KYPROLIS,warnings and precautions,negated,0,14.0,0.0,,0.0,,,
9,KYPROLIS,warnings and precautions,discontinuous,1,14.0,0.0,,1.0,,0.0,
10,KYPROLIS,boxed warnings,all,0,14.0,0.0,14.0,0.0,0.0,,
11,KYPROLIS,boxed warnings,exact-medra,0,14.0,0.0,,0.0,,,
12,KYPROLIS,boxed warnings,non-meddra,0,14.0,0.0,,0.0,,,
13,KYPROLIS,boxed warnings,negated,0,14.0,0.0,,0.0,,,
14,KYPROLIS,boxed warnings,discontinuous,0,14.0,0.0,,0.0,,,
15,MULTAQ,adverse reactions,all,39,44.0,13.0,33.0,26.0,0.2826086956521739,0.3333333333333333,0.30588235294117644
16,MULTAQ,adverse reactions,exact-medra,39,44.0,13.0,,26.0,,0.3333333333333333,
17,MULTAQ,adverse reactions,non-meddra,13,44.0,4.0,,9.0,,0.3076923076923077,
18,MULTAQ,adverse reactions,negated,0,44.0,0.0,,0.0,,,
19,MULTAQ,adverse reactions,discontinuous,5,44.0,1.0,,4.0,,0.2,
20,MULTAQ,warnings and precautions,all,24,44.0,10.0,36.0,14.0,0.21739130434782608,0.4166666666666667,0.2857142857142857
21,MULTAQ,warnings and precautions,exact-medra,24,44.0,10.0,,14.0,,0.4166666666666667,
22,MULTAQ,warnings and precautions,non-meddra,11,44.0,7.0,,4.0,,0.6363636363636364,
23,MULTAQ,warnings and precautions,negated,0,44.0,0.0,,0.0,,,
24,MULTAQ,warnings and precautions,discontinuous,3,44.0,3.0,,0.0,,1.0,
25,MULTAQ,boxed warnings,all,3,44.0,2.0,39.0,1.0,0.04878048780487805,0.6666666666666666,0.0909090909090909
26,MULTAQ,boxed warnings,exact-medra,3,44.0,2.0,,1.0,,0.6666666666666666,
27,MULTAQ,boxed warnings,non-meddra,0,44.0,0.0,,0.0,,,
28,MULTAQ,boxed warnings,negated,0,44.0,0.0,,0.0,,,
29,MULTAQ,boxed warnings,discontinuous,0,44.0,0.0,,0.0,,,
30,JUBLIA,adverse reactions,all,5,20.0,5.0,15.0,0.0,0.25,1.0,0.4
31,JUBLIA,adverse reactions,exact-medra,5,20.0,5.0,,0.0,,1.0,
32,JUBLIA,adverse reactions,non-meddra,2,20.0,2.0,,0.0,,1.0,
33,JUBLIA,adverse reactions,negated,0,20.0,0.0,,0.0,,,
34,JUBLIA,adverse reactions,discontinuous,0,20.0,0.0,,0.0,,,
35,JUBLIA,warnings and precautions,all,0,20.0,0.0,20.0,0.0,0.0,,
36,JUBLIA,warnings and precautions,exact-medra,0,20.0,0.0,,0.0,,,
37,JUBLIA,warnings and precautions,non-meddra,0,20.0,0.0,,0.0,,,
38,JUBLIA,warnings and precautions,negated,0,20.0,0.0,,0.0,,,
39,JUBLIA,warnings and precautions,discontinuous,0,20.0,0.0,,0.0,,,
40,JUBLIA,boxed warnings,all,0,20.0,0.0,20.0,0.0,0.0,,
41,JUBLIA,boxed warnings,exact-medra,0,20.0,0.0,,0.0,,,
42,JUBLIA,boxed warnings,non-meddra,0,20.0,0.0,,0.0,,,
43,JUBLIA,boxed warnings,negated,0,20.0,0.0,,0.0,,,
44,JUBLIA,boxed warnings,discontinuous,0,20.0,0.0,,0.0,,,
45,TEFLARO,adverse reactions,all,30,34.0,22.0,13.0,8.0,0.6285714285714286,0.7333333333333333,0.6769230769230768
46,TEFLARO,adverse reactions,exact-medra,30,34.0,22.0,,8.0,,0.7333333333333333,
47,TEFLARO,adverse reactions,non-meddra,4,34.0,2.0,,2.0,,0.5,
48,TEFLARO,adverse reactions,negated,0,34.0,0.0,,0.0,,,
49,TEFLARO,adverse reactions,discontinuous,0,34.0,0.0,,0.0,,,
50,TEFLARO,warnings and precautions,all,10,34.0,4.0,30.0,6.0,0.11764705882352941,0.4,0.1818181818181818
51,TEFLARO,warnings and precautions,exact-medra,10,34.0,4.0,,6.0,,0.4,
52,TEFLARO,warnings and precautions,non-meddra,8,34.0,2.0,,6.0,,0.25,
53,TEFLARO,warnings and precautions,negated,0,34.0,0.0,,0.0,,,
54,TEFLARO,warnings and precautions,discontinuous,2,34.0,1.0,,1.0,,0.5,
55,TEFLARO,boxed warnings,all,0,34.0,0.0,34.0,0.0,0.0,,
56,TEFLARO,boxed warnings,exact-medra,0,34.0,0.0,,0.0,,,
57,TEFLARO,boxed warnings,non-meddra,0,34.0,0.0,,0.0,,,
58,TEFLARO,boxed warnings,negated,0,34.0,0.0,,0.0,,,
59,TEFLARO,boxed warnings,discontinuous,0,34.0,0.0,,0.0,,,
60,DATSCAN,adverse reactions,all,11,9.0,7.0,2.0,4.0,0.7777777777777778,0.6363636363636364,0.7000000000000001
61,DATSCAN,adverse reactions,exact-medra,11,9.0,7.0,,4.0,,0.6363636363636364,
62,DATSCAN,adverse reactions,non-meddra,3,9.0,0.0,,3.0,,0.0,
63,DATSCAN,adverse reactions,negated,0,9.0,0.0,,0.0,,,
64,DATSCAN,adverse reactions,discontinuous,0,9.0,0.0,,0.0,,,
65,DATSCAN,warnings and precautions,all,3,9.0,0.0,9.0,3.0,0.0,0.0,
66,DATSCAN,warnings and precautions,exact-medra,3,9.0,0.0,,3.0,,0.0,
67,DATSCAN,warnings and precautions,non-meddra,2,9.0,0.0,,2.0,,0.0,
68,DATSCAN,warnings and precautions,negated,0,9.0,0.0,,0.0,,,
69,DATSCAN,warnings and precautions,discontinuous,0,9.0,0.0,,0.0,,,
70,DATSCAN,boxed warnings,all,0,9.0,0.0,9.0,0.0,0.0,,
71,DATSCAN,boxed warnings,exact-medra,0,9.0,0.0,,0.0,,,
72,DATSCAN,boxed warnings,non-meddra,0,9.0,0.0,,0.0,,,
73,DATSCAN,boxed warnings,negated,0,9.0,0.0,,0.0,,,
74,DATSCAN,boxed warnings,discontinuous,0,9.0,0.0,,0.0,,,
75,TIVICAY,adverse reactions,all,45,121.0,20.0,95.0,25.0,0.17391304347826086,0.4444444444444444,0.25
76,TIVICAY,adverse reactions,exact-medra,45,121.0,20.0,,25.0,,0.4444444444444444,
77,TIVICAY,adverse reactions,non-meddra,15,121.0,1.0,,14.0,,0.06666666666666667,
78,TIVICAY,adverse reactions,negated,0,121.0,0.0,,0.0,,,
79,TIVICAY,adverse reactions,discontinuous,8,121.0,0.0,,8.0,,0.0,
80,TIVICAY,warnings and precautions,all,20,121.0,4.0,107.0,16.0,0.036036036036036036,0.2,0.061068702290076333
81,TIVICAY,warnings and precautions,exact-medra,20,121.0,4.0,,16.0,,0.2,
82,TIVICAY,warnings and precautions,non-meddra,10,121.0,1.0,,9.0,,0.1,
83,TIVICAY,warnings and precautions,negated,0,121.0,0.0,,0.0,,,
84,TIVICAY,warnings and precautions,discontinuous,0,121.0,0.0,,0.0,,,
85,TIVICAY,boxed warnings,all,0,121.0,0.0,121.0,0.0,0.0,,
86,TIVICAY,boxed warnings,exact-medra,0,121.0,0.0,,0.0,,,
87,TIVICAY,boxed warnings,non-meddra,0,121.0,0.0,,0.0,,,
88,TIVICAY,boxed warnings,negated,0,121.0,0.0,,0.0,,,
89,TIVICAY,boxed warnings,discontinuous,0,121.0,0.0,,0.0,,,
90,TAFINLAR,adverse reactions,all,112,11.0,18.0,1.0,94.0,0.9473684210526315,0.16071428571428573,0.2748091603053435
91,TAFINLAR,adverse reactions,exact-medra,112,11.0,18.0,,94.0,,0.16071428571428573,
92,TAFINLAR,adverse reactions,non-meddra,18,11.0,4.0,,14.0,,0.2222222222222222,
93,TAFINLAR,adverse reactions,negated,0,11.0,0.0,,0.0,,,
94,TAFINLAR,adverse reactions,discontinuous,0,11.0,0.0,,0.0,,,
95,TAFINLAR,warnings and precautions,all,60,11.0,16.0,2.0,44.0,0.8888888888888888,0.26666666666666666,0.41025641025641024
96,TAFINLAR,warnings and precautions,exact-medra,60,11.0,16.0,,44.0,,0.26666666666666666,
97,TAFINLAR,warnings and precautions,non-meddra,32,11.0,7.0,,25.0,,0.21875,
98,TAFINLAR,warnings and precautions,negated,0,11.0,0.0,,0.0,,,
99,TAFINLAR,warnings and precautions,discontinuous,2,11.0,1.0,,1.0,,0.5,
100,TAFINLAR,boxed warnings,all,0,11.0,0.0,11.0,0.0,0.0,,
101,TAFINLAR,boxed warnings,exact-medra,0,11.0,0.0,,0.0,,,
102,TAFINLAR,boxed warnings,non-meddra,0,11.0,0.0,,0.0,,,
103,TAFINLAR,boxed warnings,negated,0,11.0,0.0,,0.0,,,
104,TAFINLAR,boxed warnings,discontinuous,0,11.0,0.0,,0.0,,,
105,HORIZANT,adverse reactions,all,27,17.0,18.0,0.0,9.0,1.0,0.6666666666666666,0.8
106,HORIZANT,adverse reactions,exact-medra,27,17.0,18.0,,9.0,,0.6666666666666666,
107,HORIZANT,adverse reactions,non-meddra,1,17.0,1.0,,0.0,,1.0,
108,HORIZANT,adverse reactions,negated,0,17.0,0.0,,0.0,,,
109,HORIZANT,adverse reactions,discontinuous,0,17.0,0.0,,0.0,,,
110,HORIZANT,warnings and precautions,all,35,17.0,5.0,14.0,30.0,0.2631578947368421,0.14285714285714285,0.18518518518518517
111,HORIZANT,warnings and precautions,exact-medra,35,17.0,5.0,,30.0,,0.14285714285714285,
112,HORIZANT,warnings and precautions,non-meddra,18,17.0,1.0,,17.0,,0.05555555555555555,
113,HORIZANT,warnings and precautions,negated,1,17.0,0.0,,1.0,,0.0,
114,HORIZANT,warnings and precautions,discontinuous,11,17.0,0.0,,11.0,,0.0,
115,HORIZANT,boxed warnings,all,0,17.0,0.0,17.0,0.0,0.0,,
116,HORIZANT,boxed warnings,exact-medra,0,17.0,0.0,,0.0,,,
117,HORIZANT,boxed warnings,non-meddra,0,17.0,0.0,,0.0,,,
118,HORIZANT,boxed warnings,negated,0,17.0,0.0,,0.0,,,
119,HORIZANT,boxed warnings,discontinuous,0,17.0,0.0,,0.0,,,
120,IMBRUVICA,adverse reactions,all,70,12.0,13.0,1.0,57.0,0.9285714285714286,0.18571428571428572,0.30952380952380953
121,IMBRUVICA,adverse reactions,exact-medra,70,12.0,13.0,,57.0,,0.18571428571428572,
122,IMBRUVICA,adverse reactions,non-meddra,15,12.0,2.0,,13.0,,0.13333333333333333,
123,IMBRUVICA,adverse reactions,negated,0,12.0,0.0,,0.0,,,
124,IMBRUVICA,adverse reactions,discontinuous,2,12.0,0.0,,2.0,,0.0,
125,IMBRUVICA,warnings and precautions,all,31,12.0,7.0,6.0,24.0,0.5384615384615384,0.22580645161290322,0.3181818181818182
126,IMBRUVICA,warnings and precautions,exact-medra,31,12.0,7.0,,24.0,,0.22580645161290322,
127,IMBRUVICA,warnings and precautions,non-meddra,15,12.0,2.0,,13.0,,0.13333333333333333,
128,IMBRUVICA,warnings and precautions,negated,0,12.0,0.0,,0.0,,,
129,IMBRUVICA,warnings and precautions,discontinuous,0,12.0,0.0,,0.0,,,
130,IMBRUVICA,boxed warnings,all,0,12.0,0.0,12.0,0.0,0.0,,
131,IMBRUVICA,boxed warnings,exact-medra,0,12.0,0.0,,0.0,,,
132,IMBRUVICA,boxed warnings,non-meddra,0,12.0,0.0,,0.0,,,
133,IMBRUVICA,boxed warnings,negated,0,12.0,0.0,,0.0,,,
134,IMBRUVICA,boxed warnings,discontinuous,0,12.0,0.0,,0.0,,,
135,ULORIC,adverse reactions,all,210,124.0,128.0,7.0,82.0,0.9481481481481482,0.6095238095238096,0.7420289855072464
136,ULORIC,adverse reactions,exact-medra,210,124.0,128.0,,82.0,,0.6095238095238096,
137,ULORIC,adverse reactions,non-meddra,23,124.0,16.0,,7.0,,0.6956521739130435,
138,ULORIC,adverse reactions,negated,0,124.0,0.0,,0.0,,,
139,ULORIC,adverse reactions,discontinuous,18,124.0,4.0,,14.0,,0.2222222222222222,
140,ULORIC,warnings and precautions,all,11,124.0,4.0,118.0,7.0,0.03278688524590164,0.36363636363636365,0.060150375939849635
141,ULORIC,warnings and precautions,exact-medra,11,124.0,4.0,,7.0,,0.36363636363636365,
142,ULORIC,warnings and precautions,non-meddra,9,124.0,4.0,,5.0,,0.4444444444444444,
143,ULORIC,warnings and precautions,negated,0,124.0,0.0,,0.0,,,
144,ULORIC,warnings and precautions,discontinuous,0,124.0,0.0,,0.0,,,
145,ULORIC,boxed warnings,all,0,124.0,0.0,124.0,0.0,0.0,,
146,ULORIC,boxed warnings,exact-medra,0,124.0,0.0,,0.0,,,
147,ULORIC,boxed warnings,non-meddra,0,124.0,0.0,,0.0,,,
148,ULORIC,boxed warnings,negated,0,124.0,0.0,,0.0,,,
149,ULORIC,boxed warnings,discontinuous,0,124.0,0.0,,0.0,,,
150,CIMZIA,adverse reactions,all,99,109.0,12.0,92.0,87.0,0.11538461538461539,0.12121212121212122,0.11822660098522168
151,CIMZIA,adverse reactions,exact-medra,99,109.0,12.0,,87.0,,0.12121212121212122,
152,CIMZIA,adverse reactions,non-meddra,23,109.0,0.0,,23.0,,0.0,
153,CIMZIA,adverse reactions,negated,1,109.0,0.0,,1.0,,0.0,
154,CIMZIA,adverse reactions,discontinuous,8,109.0,0.0,,8.0,,0.0,
155,CIMZIA,warnings and precautions,all,54,109.0,4.0,103.0,50.0,0.037383177570093455,0.07407407407407407,0.049689440993788817
156,CIMZIA,warnings and precautions,exact-medra,54,109.0,4.0,,50.0,,0.07407407407407407,
157,CIMZIA,warnings and precautions,non-meddra,29,109.0,1.0,,28.0,,0.034482758620689655,
158,CIMZIA,warnings and precautions,negated,0,109.0,0.0,,0.0,,,
159,CIMZIA,warnings and precautions,discontinuous,4,109.0,0.0,,4.0,,0.0,
160,CIMZIA,boxed warnings,all,27,109.0,0.0,109.0,27.0,0.0,0.0,
161,CIMZIA,boxed warnings,exact-medra,27,109.0,0.0,,27.0,,0.0,
162,CIMZIA,boxed warnings,non-meddra,14,109.0,0.0,,14.0,,0.0,
163,CIMZIA,boxed warnings,negated,0,109.0,0.0,,0.0,,,
164,CIMZIA,boxed warnings,discontinuous,8,109.0,0.0,,8.0,,0.0,
165,KALYDECO,adverse reactions,all,40,21.0,21.0,0.0,19.0,1.0,0.525,0.6885245901639345
166,KALYDECO,adverse reactions,exact-medra,40,21.0,21.0,,19.0,,0.525,
167,KALYDECO,adverse reactions,non-meddra,16,21.0,2.0,,14.0,,0.125,
168,KALYDECO,adverse reactions,negated,0,21.0,0.0,,0.0,,,
169,KALYDECO,adverse reactions,discontinuous,10,21.0,0.0,,10.0,,0.0,
170,KALYDECO,warnings and precautions,all,6,21.0,0.0,21.0,6.0,0.0,0.0,
171,KALYDECO,warnings and precautions,exact-medra,6,21.0,0.0,,6.0,,0.0,
172,KALYDECO,warnings and precautions,non-meddra,5,21.0,0.0,,5.0,,0.0,
173,KALYDECO,warnings and precautions,negated,0,21.0,0.0,,0.0,,,
174,KALYDECO,warnings and precautions,discontinuous,3,21.0,0.0,,3.0,,0.0,
175,KALYDECO,boxed warnings,all,0,21.0,0.0,21.0,0.0,0.0,,
176,KALYDECO,boxed warnings,exact-medra,0,21.0,0.0,,0.0,,,
177,KALYDECO,boxed warnings,non-meddra,0,21.0,0.0,,0.0,,,
178,KALYDECO,boxed warnings,negated,0,21.0,0.0,,0.0,,,
179,KALYDECO,boxed warnings,discontinuous,0,21.0,0.0,,0.0,,,
180,FULYZAQ,adverse reactions,all,36,34.0,32.0,2.0,4.0,0.9411764705882353,0.8888888888888888,0.9142857142857143
181,FULYZAQ,adverse reactions,exact-medra,36,34.0,32.0,,4.0,,0.8888888888888888,
182,FULYZAQ,adverse reactions,non-meddra,6,34.0,4.0,,2.0,,0.6666666666666666,
183,FULYZAQ,adverse reactions,negated,0,34.0,0.0,,0.0,,,
184,FULYZAQ,adverse reactions,discontinuous,0,34.0,0.0,,0.0,,,
185,FULYZAQ,warnings and precautions,all,0,34.0,0.0,34.0,0.0,0.0,,
186,FULYZAQ,warnings and precautions,exact-medra,0,34.0,0.0,,0.0,,,
187,FULYZAQ,warnings and precautions,non-meddra,0,34.0,0.0,,0.0,,,
188,FULYZAQ,warnings and precautions,negated,0,34.0,0.0,,0.0,,,
189,FULYZAQ,warnings and precautions,discontinuous,0,34.0,0.0,,0.0,,,
190,FULYZAQ,boxed warnings,all,0,34.0,0.0,34.0,0.0,0.0,,
191,FULYZAQ,boxed warnings,exact-medra,0,34.0,0.0,,0.0,,,
192,FULYZAQ,boxed warnings,non-meddra,0,34.0,0.0,,0.0,,,
193,FULYZAQ,boxed warnings,negated,0,34.0,0.0,,0.0,,,
194,FULYZAQ,boxed warnings,discontinuous,0,34.0,0.0,,0.0,,,
195,QUTENZA,adverse reactions,all,40,24.0,35.0,0.0,5.0,1.0,0.875,0.9333333333333333
196,QUTENZA,adverse reactions,exact-medra,40,24.0,35.0,,5.0,,0.875,
197,QUTENZA,adverse reactions,non-meddra,6,24.0,2.0,,4.0,,0.3333333333333333,
198,QUTENZA,adverse reactions,negated,0,24.0,0.0,,0.0,,,
199,QUTENZA,adverse reactions,discontinuous,0,24.0,0.0,,0.0,,,
200,QUTENZA,warnings and precautions,all,6,24.0,1.0,23.0,5.0,0.041666666666666664,0.16666666666666666,0.06666666666666667
201,QUTENZA,warnings and precautions,exact-medra,6,24.0,1.0,,5.0,,0.16666666666666666,
202,QUTENZA,warnings and precautions,non-meddra,3,24.0,0.0,,3.0,,0.0,
203,QUTENZA,warnings and precautions,negated,0,24.0,0.0,,0.0,,,
204,QUTENZA,warnings and precautions,discontinuous,0,24.0,0.0,,0.0,,,
205,QUTENZA,boxed warnings,all,0,24.0,0.0,24.0,0.0,0.0,,
206,QUTENZA,boxed warnings,exact-medra,0,24.0,0.0,,0.0,,,
207,QUTENZA,boxed warnings,non-meddra,0,24.0,0.0,,0.0,,,
208,QUTENZA,boxed warnings,negated,0,24.0,0.0,,0.0,,,
209,QUTENZA,boxed warnings,discontinuous,0,24.0,0.0,,0.0,,,
210,GRANIX,adverse reactions,all,8,30.0,2.0,28.0,6.0,0.06666666666666667,0.25,0.10526315789473685
211,GRANIX,adverse reactions,exact-medra,8,30.0,2.0,,6.0,,0.25,
212,GRANIX,adverse reactions,non-meddra,3,30.0,0.0,,3.0,,0.0,
213,GRANIX,adverse reactions,negated,0,30.0,0.0,,0.0,,,
214,GRANIX,adverse reactions,discontinuous,0,30.0,0.0,,0.0,,,
215,GRANIX,warnings and precautions,all,22,30.0,1.0,29.0,21.0,0.03333333333333333,0.045454545454545456,0.03846153846153846
216,GRANIX,warnings and precautions,exact-medra,22,30.0,1.0,,21.0,,0.045454545454545456,
217,GRANIX,warnings and precautions,non-meddra,5,30.0,0.0,,5.0,,0.0,
218,GRANIX,warnings and precautions,negated,0,30.0,0.0,,0.0,,,
219,GRANIX,warnings and precautions,discontinuous,1,30.0,0.0,,1.0,,0.0,
220,GRANIX,boxed warnings,all,0,30.0,0.0,30.0,0.0,0.0,,
221,GRANIX,boxed warnings,exact-medra,0,30.0,0.0,,0.0,,,
222,GRANIX,boxed warnings,non-meddra,0,30.0,0.0,,0.0,,,
223,GRANIX,boxed warnings,negated,0,30.0,0.0,,0.0,,,
224,GRANIX,boxed warnings,discontinuous,0,30.0,0.0,,0.0,,,
225,COARTEM,adverse reactions,all,81,1.0,0.0,1.0,81.0,0.0,0.0,
226,COARTEM,adverse reactions,exact-medra,81,1.0,0.0,,81.0,,0.0,
227,COARTEM,adverse reactions,non-meddra,3,1.0,0.0,,3.0,,0.0,
228,COARTEM,adverse reactions,negated,0,1.0,0.0,,0.0,,,
229,COARTEM,adverse reactions,discontinuous,0,1.0,0.0,,0.0,,,
230,COARTEM,warnings and precautions,all,2,1.0,0.0,1.0,2.0,0.0,0.0,
231,COARTEM,warnings and precautions,exact-medra,2,1.0,0.0,,2.0,,0.0,
232,COARTEM,warnings and precautions,non-meddra,2,1.0,0.0,,2.0,,0.0,
233,COARTEM,warnings and precautions,negated,0,1.0,0.0,,0.0,,,
234,COARTEM,warnings and precautions,discontinuous,0,1.0,0.0,,0.0,,,
235,COARTEM,boxed warnings,all,0,1.0,0.0,1.0,0.0,0.0,,
236,COARTEM,boxed warnings,exact-medra,0,1.0,0.0,,0.0,,,
237,COARTEM,boxed warnings,non-meddra,0,1.0,0.0,,0.0,,,
238,COARTEM,boxed warnings,negated,0,1.0,0.0,,0.0,,,
239,COARTEM,boxed warnings,discontinuous,0,1.0,0.0,,0.0,,,
240,APTIOM,adverse reactions,all,42,9.0,9.0,2.0,33.0,0.8181818181818182,0.21428571428571427,0.33962264150943394
241,APTIOM,adverse reactions,exact-medra,42,9.0,9.0,,33.0,,0.21428571428571427,
242,APTIOM,adverse reactions,non-meddra,8,9.0,5.0,,3.0,,0.625,
