,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,46,46,0.0,4,1.0,0.92,0.9583333333333334
1,XEOMIN,adverse reactions,exact-meddra,40,46,40,,5,,0.8888888888888888,
2,XEOMIN,adverse reactions,non-meddra,6,46,6,,33,,0.15384615384615385,
3,XEOMIN,adverse reactions,negated,1,46,1,,42,,0.023255813953488372,
4,XEOMIN,adverse reactions,discontinuous,5,46,5,,36,,0.12195121951219512,
5,XEOMIN,warnings and precautions,all,35,19,22,13.0,2,0.6285714285714286,0.9166666666666666,0.7457627118644068
6,XEOMIN,warnings and precautions,exact-meddra,16,19,12,,3,,0.8,
7,XEOMIN,warnings and precautions,non-meddra,19,19,10,,9,,0.5263157894736842,
8,XEOMIN,warnings and precautions,discontinuous,5,19,4,,12,,0.25,
9,XEOMIN,warnings and precautions,hypothetical,24,19,15,,4,,0.7894736842105263,
10,XEOMIN,boxed warnings,all,16,13,16,0.0,0,1.0,1.0,1.0
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,2,,0.8333333333333334,
12,XEOMIN,boxed warnings,non-meddra,6,13,6,,9,,0.4,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,10,,0.09090909090909091,
14,XEOMIN,boxed warnings,hypothetical,12,13,12,,1,,0.9230769230769231,
15,XEOMIN,all-concat,all,81,25,59,22.0,0,0.7283950617283951,1.0,0.8428571428571429
16,XEOMIN,all-concat,exact-meddra,53,25,38,,1,,0.9743589743589743,
17,XEOMIN,all-concat,non-meddra,28,25,21,,9,,0.7,
18,XEOMIN,all-concat,negated,1,25,1,,24,,0.04,
19,XEOMIN,all-concat,discontinuous,10,25,6,,14,,0.3,
20,XEOMIN,all-concat,hypothetical,33,25,20,,4,,0.8333333333333334,
21,QUTENZA,adverse reactions,all,40,37,40,0.0,0,1.0,1.0,1.0
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,1,,0.9714285714285714,
23,QUTENZA,adverse reactions,non-meddra,6,37,6,,16,,0.2727272727272727,
24,QUTENZA,warnings and precautions,all,6,7,6,0.0,2,1.0,0.75,0.8571428571428571
25,QUTENZA,warnings and precautions,exact-meddra,3,7,3,,5,,0.375,
26,QUTENZA,warnings and precautions,non-meddra,3,7,3,,3,,0.5,
27,QUTENZA,warnings and precautions,hypothetical,4,7,4,,4,,0.5,
28,QUTENZA,all-concat,all,45,35,42,3.0,0,0.9333333333333333,1.0,0.9655172413793104
29,QUTENZA,all-concat,exact-meddra,37,35,36,,1,,0.972972972972973,
30,QUTENZA,all-concat,non-meddra,8,35,6,,16,,0.2727272727272727,
31,QUTENZA,all-concat,hypothetical,4,35,2,,28,,0.06666666666666667,
32,ZYTIGA,adverse reactions,all,61,30,54,7.0,0,0.8852459016393442,1.0,0.9391304347826086
33,ZYTIGA,adverse reactions,exact-meddra,43,30,38,,5,,0.8837209302325582,
34,ZYTIGA,adverse reactions,non-meddra,18,30,16,,14,,0.5333333333333333,
35,ZYTIGA,adverse reactions,negated,3,30,2,,18,,0.1,
36,ZYTIGA,adverse reactions,discontinuous,1,30,1,,29,,0.03333333333333333,
37,ZYTIGA,warnings and precautions,all,15,49,13,2.0,16,0.8666666666666667,0.4482758620689655,0.5909090909090909
38,ZYTIGA,warnings and precautions,exact-meddra,6,49,6,,41,,0.1276595744680851,
39,ZYTIGA,warnings and precautions,non-meddra,9,49,7,,22,,0.2413793103448276,
40,ZYTIGA,warnings and precautions,negated,1,49,0,,49,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,49,1,,48,,0.02040816326530612,
42,ZYTIGA,warnings and precautions,hypothetical,3,49,3,,44,,0.06382978723404255,
43,ZYTIGA,all-concat,all,68,34,62,6.0,1,0.9117647058823529,0.9841269841269841,0.9465648854961831
44,ZYTIGA,all-concat,exact-meddra,44,34,40,,4,,0.9090909090909091,
45,ZYTIGA,all-concat,non-meddra,24,34,22,,19,,0.5365853658536586,
46,ZYTIGA,all-concat,negated,3,34,3,,26,,0.10344827586206896,
47,ZYTIGA,all-concat,discontinuous,2,34,1,,32,,0.030303030303030304,
48,ZYTIGA,all-concat,hypothetical,3,34,3,,21,,0.125,
49,TOVIAZ,adverse reactions,all,37,28,37,0.0,0,1.0,1.0,1.0
50,TOVIAZ,adverse reactions,exact-meddra,33,28,33,,1,,0.9705882352941176,
51,TOVIAZ,adverse reactions,non-meddra,4,28,4,,24,,0.14285714285714285,
52,TOVIAZ,warnings and precautions,all,13,13,12,1.0,5,0.9230769230769231,0.7058823529411765,0.8000000000000002
53,TOVIAZ,warnings and precautions,exact-meddra,4,13,4,,9,,0.3076923076923077,
54,TOVIAZ,warnings and precautions,non-meddra,9,13,8,,8,,0.5,
55,TOVIAZ,warnings and precautions,discontinuous,5,13,5,,8,,0.38461538461538464,
56,TOVIAZ,all-concat,all,46,33,41,5.0,5,0.8913043478260869,0.8913043478260869,0.8913043478260869
57,TOVIAZ,all-concat,exact-meddra,33,33,31,,6,,0.8378378378378378,
58,TOVIAZ,all-concat,non-meddra,13,33,10,,24,,0.29411764705882354,
59,TOVIAZ,all-concat,discontinuous,5,33,5,,28,,0.15151515151515152,
60,STRIBILD,adverse reactions,all,100,38,77,23.0,0,0.77,1.0,0.8700564971751412
61,STRIBILD,adverse reactions,exact-meddra,59,38,48,,5,,0.9056603773584906,
62,STRIBILD,adverse reactions,non-meddra,41,38,29,,19,,0.6041666666666666,
63,STRIBILD,adverse reactions,negated,1,38,1,,34,,0.02857142857142857,
64,STRIBILD,adverse reactions,discontinuous,18,38,8,,27,,0.22857142857142856,
65,STRIBILD,warnings and precautions,all,50,8,19,31.0,4,0.38,0.8260869565217391,0.5205479452054794
66,STRIBILD,warnings and precautions,exact-meddra,22,8,7,,4,,0.6363636363636364,
67,STRIBILD,warnings and precautions,non-meddra,28,8,12,,5,,0.7058823529411765,
68,STRIBILD,warnings and precautions,discontinuous,5,8,4,,6,,0.4,
69,STRIBILD,warnings and precautions,hypothetical,9,8,1,,7,,0.125,
70,STRIBILD,boxed warnings,all,6,11,6,0.0,4,1.0,0.6,0.7499999999999999
