,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4180,1124.0,64,0.7880844645550528,0.9849198868991518,0.8755760368663594,0.8266686401714755,0.9714572180965554,0.8864804838151505
1,adverse reactions,discontinuous,252,,1619,,0.13468733297701763,,,0.1579575991230947,
2,adverse reactions,exact-meddra,3356,,210,,0.9411104879416713,,,0.9143570197901194,
3,adverse reactions,hypothetical,55,,504,,0.09838998211091235,,,0.11316777468563181,
4,adverse reactions,negated,49,,749,,0.06140350877192982,,,0.08328121389668064,
5,adverse reactions,non-meddra,824,,1651,,0.3329292929292929,,,0.3614486010016721,
6,all-concat,all,4873,2454.0,189,0.6650743824211819,0.9626629790596603,0.786665590443135,0.7146230638610842,0.9380805896761923,0.7962843161969841
7,all-concat,discontinuous,443,,1600,,0.21683798335780716,,,0.20624711626496586,
8,all-concat,exact-meddra,3456,,359,,0.9058977719528178,,,0.8634227503469063,
9,all-concat,hypothetical,568,,1339,,0.29785002621919243,,,0.3257410107078426,
10,all-concat,negated,92,,1031,,0.0819234194122885,,,0.11707092331858165,
11,all-concat,non-meddra,1417,,1303,,0.5209558823529412,,,0.5097503337447463,
12,boxed warnings,all,245,28.0,48,0.8974358974358975,0.8361774744027304,0.8657243816254416,0.8758263758263759,0.7668841945157734,0.8015460841980834
13,boxed warnings,discontinuous,35,,57,,0.3804347826086957,,,0.47867132867132867,
14,boxed warnings,exact-meddra,122,,73,,0.6256410256410256,,,0.5391339869281047,
15,boxed warnings,hypothetical,104,,91,,0.5333333333333333,,,0.5372335997335997,
16,boxed warnings,negated,3,,11,,0.21428571428571427,,,0.20000000000000004,
17,boxed warnings,non-meddra,123,,97,,0.5590909090909091,,,0.5807351145586439,
18,warnings and precautions,all,1776,951.0,355,0.6512651265126512,0.8334115438761145,0.7311650885137916,0.7168193926338609,0.8026952237151497,0.7114028449447706
19,warnings and precautions,discontinuous,289,,732,,0.28305582761998044,,,0.29904834512452017,
20,warnings and precautions,exact-meddra,769,,568,,0.575168287210172,,,0.568916753216579,
21,warnings and precautions,hypothetical,584,,689,,0.4587588373919874,,,0.46773888395790336,
22,warnings and precautions,negated,36,,293,,0.1094224924012158,,,0.16887802092543472,
23,warnings and precautions,non-meddra,1007,,586,,0.6321406151914627,,,0.6359999227512042,
0,all,all,6201,2103.0,467,0.7467485549132948,0.9299640071985603,0.8020580172611544,0.788905645334222,0.8691533064406354,0.8001066479513808
