,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,46,39,5.0,7,0.8863636363636364,0.8478260869565217,0.8666666666666666
1,XEOMIN,adverse reactions,exact-meddra,40,46,34,,6,,0.85,
2,XEOMIN,adverse reactions,non-meddra,6,46,5,,1,,0.8333333333333334,
3,XEOMIN,adverse reactions,negated,1,46,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,46,3,,2,,0.6,
5,XEOMIN,warnings and precautions,all,35,19,16,3.0,19,0.8421052631578947,0.45714285714285713,0.5925925925925926
6,XEOMIN,warnings and precautions,exact-meddra,16,19,10,,6,,0.625,
7,XEOMIN,warnings and precautions,non-meddra,19,19,6,,13,,0.3157894736842105,
8,XEOMIN,warnings and precautions,discontinuous,5,19,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,19,9,,15,,0.375,
10,XEOMIN,boxed warnings,all,16,13,14,0.0,2,1.0,0.875,0.9333333333333333
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,4,,2,,0.6666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,0,,1.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,11,,1,,0.9166666666666666,
15,XEOMIN,all-concat,all,81,25,29,3.0,52,0.90625,0.35802469135802467,0.5132743362831858
16,XEOMIN,all-concat,exact-meddra,53,25,25,,28,,0.4716981132075472,
17,XEOMIN,all-concat,non-meddra,28,25,4,,24,,0.14285714285714285,
18,XEOMIN,all-concat,negated,1,25,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,25,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,25,5,,28,,0.15151515151515152,
21,QUTENZA,adverse reactions,all,40,37,38,0.0,2,1.0,0.95,0.9743589743589743
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,4,,2,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,7,2,6.0,4,0.25,0.3333333333333333,0.28571428571428575
25,QUTENZA,warnings and precautions,exact-meddra,3,7,2,,1,,0.6666666666666666,
26,QUTENZA,warnings and precautions,non-meddra,3,7,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,7,2,,2,,0.5,
28,QUTENZA,all-concat,all,45,35,37,0.0,8,1.0,0.8222222222222222,0.9024390243902439
29,QUTENZA,all-concat,exact-meddra,37,35,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,35,2,,6,,0.25,
31,QUTENZA,all-concat,hypothetical,4,35,1,,3,,0.25,
32,ZYTIGA,adverse reactions,all,61,30,33,0.0,28,1.0,0.5409836065573771,0.7021276595744682
33,ZYTIGA,adverse reactions,exact-meddra,43,30,26,,17,,0.6046511627906976,
34,ZYTIGA,adverse reactions,non-meddra,18,30,7,,11,,0.3888888888888889,
35,ZYTIGA,adverse reactions,negated,3,30,1,,2,,0.3333333333333333,
36,ZYTIGA,adverse reactions,discontinuous,1,30,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,49,6,43.0,9,0.12244897959183673,0.4,0.1875
38,ZYTIGA,warnings and precautions,exact-meddra,6,49,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,49,2,,7,,0.2222222222222222,
40,ZYTIGA,warnings and precautions,negated,1,49,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,49,1,,0,,1.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,49,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,34,35,2.0,33,0.9459459459459459,0.5147058823529411,0.6666666666666665
44,ZYTIGA,all-concat,exact-meddra,44,34,26,,18,,0.5909090909090909,
45,ZYTIGA,all-concat,non-meddra,24,34,9,,15,,0.375,
46,ZYTIGA,all-concat,negated,3,34,1,,2,,0.3333333333333333,
47,ZYTIGA,all-concat,discontinuous,2,34,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,34,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,28,31,0.0,6,1.0,0.8378378378378378,0.911764705882353
50,TOVIAZ,adverse reactions,exact-meddra,33,28,27,,6,,0.8181818181818182,
51,TOVIAZ,adverse reactions,non-meddra,4,28,4,,0,,1.0,
52,TOVIAZ,warnings and precautions,all,13,13,9,6.0,4,0.6,0.6923076923076923,0.6428571428571429
53,TOVIAZ,warnings and precautions,exact-meddra,4,13,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,13,5,,4,,0.5555555555555556,
55,TOVIAZ,warnings and precautions,discontinuous,5,13,4,,1,,0.8,
56,TOVIAZ,all-concat,all,46,33,28,8.0,18,0.7777777777777778,0.6086956521739131,0.6829268292682927
57,TOVIAZ,all-concat,exact-meddra,33,33,23,,10,,0.696969696969697,
58,TOVIAZ,all-concat,non-meddra,13,33,5,,8,,0.38461538461538464,
59,TOVIAZ,all-concat,discontinuous,5,33,3,,2,,0.6,
60,STRIBILD,adverse reactions,all,100,38,50,0.0,50,1.0,0.5,0.6666666666666666
61,STRIBILD,adverse reactions,exact-meddra,59,38,36,,23,,0.6101694915254238,
62,STRIBILD,adverse reactions,non-meddra,41,38,14,,27,,0.34146341463414637,
63,STRIBILD,adverse reactions,negated,1,38,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,38,5,,13,,0.2777777777777778,
65,STRIBILD,warnings and precautions,all,50,8,6,5.0,44,0.5454545454545454,0.12,0.19672131147540983
66,STRIBILD,warnings and precautions,exact-meddra,22,8,4,,18,,0.18181818181818182,
67,STRIBILD,warnings and precautions,non-meddra,28,8,2,,26,,0.07142857142857142,
68,STRIBILD,warnings and precautions,discontinuous,5,8,0,,5,,0.0,
69,STRIBILD,warnings and precautions,hypothetical,9,8,0,,9,,0.0,
70,STRIBILD,boxed warnings,all,6,11,6,6.0,0,0.5,1.0,0.6666666666666666
71,STRIBILD,boxed warnings,exact-meddra,2,11,2,,0,,1.0,
72,STRIBILD,boxed warnings,non-meddra,4,11,4,,0,,1.0,
73,STRIBILD,all-concat,all,136,7,13,0.0,123,1.0,0.09558823529411764,0.17449664429530198
74,STRIBILD,all-concat,exact-meddra,73,7,8,,65,,0.1095890410958904,
75,STRIBILD,all-concat,non-meddra,63,7,5,,58,,0.07936507936507936,
76,STRIBILD,all-concat,negated,1,7,0,,1,,0.0,
77,STRIBILD,all-concat,discontinuous,22,7,0,,22,,0.0,
78,STRIBILD,all-concat,hypothetical,9,7,0,,9,,0.0,
79,FARXIGA,adverse reactions,all,86,1,2,0.0,84,1.0,0.023255813953488372,0.04545454545454545
80,FARXIGA,adverse reactions,exact-meddra,48,1,2,,46,,0.041666666666666664,
81,FARXIGA,adverse reactions,non-meddra,38,1,0,,38,,0.0,
82,FARXIGA,adverse reactions,discontinuous,11,1,0,,11,,0.0,
83,FARXIGA,adverse reactions,hypothetical,1,1,0,,1,,0.0,
84,FARXIGA,warnings and precautions,all,13,7,8,1.0,5,0.8888888888888888,0.6153846153846154,0.7272727272727274
85,FARXIGA,warnings and precautions,exact-meddra,3,7,3,,0,,1.0,
86,FARXIGA,warnings and precautions,non-meddra,10,7,5,,5,,0.5,
87,FARXIGA,warnings and precautions,discontinuous,1,7,0,,1,,0.0,
88,FARXIGA,warnings and precautions,hypothetical,4,7,3,,1,,0.75,
89,FARXIGA,all-concat,all,94,1,3,0.0,91,1.0,0.031914893617021274,0.06185567010309278
90,FARXIGA,all-concat,exact-meddra,48,1,2,,46,,0.041666666666666664,
91,FARXIGA,all-concat,non-meddra,46,1,1,,45,,0.021739130434782608,
92,FARXIGA,all-concat,discontinuous,12,1,0,,12,,0.0,
93,FARXIGA,all-concat,hypothetical,5,1,1,,4,,0.2,
94,VICTRELIS,adverse reactions,all,47,39,34,5.0,13,0.8717948717948718,0.723404255319149,0.7906976744186047
95,VICTRELIS,adverse reactions,exact-meddra,36,39,33,,3,,0.9166666666666666,
96,VICTRELIS,adverse reactions,non-meddra,11,39,1,,10,,0.09090909090909091,
97,VICTRELIS,adverse reactions,discontinuous,7,39,1,,6,,0.14285714285714285,
98,VICTRELIS,warnings and precautions,all,24,6,6,2.0,18,0.75,0.25,0.375
99,VICTRELIS,warnings and precautions,exact-meddra,12,6,4,,8,,0.3333333333333333,
100,VICTRELIS,warnings and precautions,non-meddra,12,6,2,,10,,0.16666666666666666,
101,VICTRELIS,warnings and precautions,discontinuous,1,6,0,,1,,0.0,
102,VICTRELIS,warnings and precautions,hypothetical,4,6,1,,3,,0.25,
103,VICTRELIS,all-concat,all,64,33,36,0.0,28,1.0,0.5625,0.72
104,VICTRELIS,all-concat,exact-meddra,41,33,33,,8,,0.8048780487804879,
105,VICTRELIS,all-concat,non-meddra,23,33,3,,20,,0.13043478260869565,
106,VICTRELIS,all-concat,discontinuous,8,33,2,,6,,0.25,
107,VICTRELIS,all-concat,hypothetical,4,33,1,,3,,0.25,
108,VIMIZIM,adverse reactions,all,9,8,9,0.0,0,1.0,1.0,1.0
109,VIMIZIM,adverse reactions,exact-meddra,8,8,8,,0,,1.0,
110,VIMIZIM,adverse reactions,non-meddra,1,8,1,,0,,1.0,
111,VIMIZIM,warnings and precautions,all,21,4,4,1.0,17,0.8,0.19047619047619047,0.3076923076923077
112,VIMIZIM,warnings and precautions,exact-meddra,17,4,2,,15,,0.11764705882352941,
113,VIMIZIM,warnings and precautions,non-meddra,4,4,2,,2,,0.5,
114,VIMIZIM,warnings and precautions,hypothetical,1,4,1,,0,,1.0,
115,VIMIZIM,boxed warnings,all,17,18,16,2.0,1,0.8888888888888888,0.9411764705882353,0.9142857142857143
