,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2761,127.0,2543,0.9560249307479224,0.5205505279034691,0.674072265625,0.9507696139202679,0.6088211530546419,0.7128044280831339
1,adverse reactions,discontinuous,98,,284,,0.25654450261780104,,,0.22598322157145687,
2,adverse reactions,exact-meddra,2289,,1805,,0.5591108939912066,,,0.6446601877695488,
3,adverse reactions,hypothetical,33,,46,,0.4177215189873418,,,0.5146258503401361,
4,adverse reactions,negated,25,,47,,0.3472222222222222,,,0.2950980392156863,
5,adverse reactions,non-meddra,472,,739,,0.3897605284888522,,,0.49524660146810334,
6,all-concat,all,2577,263.0,4750,0.907394366197183,0.3517128429097857,0.5069341988787253,0.8976107359336709,0.4384408283850956,0.5569486819267154
7,all-concat,discontinuous,164,,628,,0.20707070707070707,,,0.18333430496042316,
8,all-concat,exact-meddra,1952,,2844,,0.4070058381984987,,,0.494822361042823,
9,all-concat,hypothetical,293,,719,,0.28952569169960474,,,0.4020124353738112,
10,all-concat,negated,36,,96,,0.2727272727272727,,,0.3451814058956916,
11,all-concat,non-meddra,625,,1907,,0.24684044233807267,,,0.3438625319769825,
12,boxed warnings,all,201,53.0,72,0.7913385826771654,0.7362637362637363,0.7628083491461102,0.7518768768768769,0.7999045263751146,0.7619608408415597
13,boxed warnings,discontinuous,9,,28,,0.24324324324324326,,,0.31364468864468864,
14,boxed warnings,exact-meddra,113,,22,,0.837037037037037,,,0.8183760683760684,
15,boxed warnings,hypothetical,90,,30,,0.75,,,0.7765489718614719,
16,boxed warnings,negated,1,,3,,0.25,,,0.16666666666666666,
17,boxed warnings,non-meddra,88,,50,,0.6376811594202898,,,0.7300070028011205,
18,warnings and precautions,all,980,499.0,1747,0.6626098715348209,0.35936927026035936,0.46600095102234906,0.6931997383065928,0.4594516627867713,0.4843692281399872
19,warnings and precautions,discontinuous,87,,312,,0.21804511278195488,,,0.22457978340331283,
20,warnings and precautions,exact-meddra,486,,727,,0.40065952184666115,,,0.5453664188012248,
21,warnings and precautions,hypothetical,339,,570,,0.37293729372937295,,,0.5036863266245204,
22,warnings and precautions,negated,21,,37,,0.3620689655172414,,,0.4039351851851852,
23,warnings and precautions,non-meddra,494,,1021,,0.32607260726072607,,,0.4018354464538471,
0,all,all,3942,679.0,4362,0.8530621077688811,0.47471098265895956,0.5896246742807103,0.8125503438128664,0.5771170686823087,0.6255310586665159
