,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,46,30,16.0,16,0.6521739130434783,0.6521739130434783,0.6521739130434783
1,XEOMIN,adverse reactions,exact-meddra,40,46,29,,11,,0.725,
2,XEOMIN,adverse reactions,non-meddra,6,46,1,,5,,0.16666666666666666,
3,XEOMIN,adverse reactions,negated,1,46,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,46,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,19,11,8.0,24,0.5789473684210527,0.3142857142857143,0.40740740740740744
6,XEOMIN,warnings and precautions,exact-meddra,16,19,9,,7,,0.5625,
7,XEOMIN,warnings and precautions,non-meddra,19,19,2,,17,,0.10526315789473684,
8,XEOMIN,warnings and precautions,discontinuous,5,19,1,,4,,0.2,
9,XEOMIN,warnings and precautions,hypothetical,24,19,5,,19,,0.20833333333333334,
10,XEOMIN,boxed warnings,all,16,13,13,0.0,3,1.0,0.8125,0.896551724137931
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,3,,3,,0.5,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,0,,1.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,25,19,6.0,62,0.76,0.2345679012345679,0.3584905660377359
16,XEOMIN,all-concat,exact-meddra,53,25,18,,35,,0.33962264150943394,
17,XEOMIN,all-concat,non-meddra,28,25,1,,27,,0.03571428571428571,
18,XEOMIN,all-concat,negated,1,25,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,25,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,25,1,,32,,0.030303030303030304,
21,QUTENZA,adverse reactions,all,40,37,37,0.0,3,1.0,0.925,0.961038961038961
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,7,0,7.0,6,0.0,0.0,
25,QUTENZA,warnings and precautions,exact-meddra,3,7,0,,3,,0.0,
26,QUTENZA,warnings and precautions,non-meddra,3,7,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,7,0,,4,,0.0,
28,QUTENZA,all-concat,all,45,35,35,0.0,10,1.0,0.7777777777777778,0.8750000000000001
29,QUTENZA,all-concat,exact-meddra,37,35,34,,3,,0.918918918918919,
30,QUTENZA,all-concat,non-meddra,8,35,1,,7,,0.125,
31,QUTENZA,all-concat,hypothetical,4,35,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,30,27,3.0,34,0.9,0.4426229508196721,0.5934065934065934
33,ZYTIGA,adverse reactions,exact-meddra,43,30,22,,21,,0.5116279069767442,
34,ZYTIGA,adverse reactions,non-meddra,18,30,5,,13,,0.2777777777777778,
