,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,1970,610.0,3334,0.7635658914728682,0.37141779788838614,0.4997463216641299,0.7326509097788316,0.4254246129485852,0.5532060290354821
1,adverse reactions,discontinuous,14,,368,,0.03664921465968586,,,0.04250664912429618,
2,adverse reactions,exact-meddra,1756,,2338,,0.4289203712750366,,,0.4888212855554246,
3,adverse reactions,hypothetical,15,,64,,0.189873417721519,,,0.22767857142857142,
4,adverse reactions,negated,15,,57,,0.20833333333333334,,,0.15980392156862747,
5,adverse reactions,non-meddra,214,,997,,0.17671345995045418,,,0.2559530188811032,
6,all-concat,all,1557,798.0,5770,0.6611464968152866,0.21250170601883445,0.3216277628589134,0.630882573109856,0.2637210796625285,0.38243831476420176
7,all-concat,discontinuous,15,,777,,0.01893939393939394,,,0.02050974696098535,
8,all-concat,exact-meddra,1376,,3420,,0.28690575479566305,,,0.3382942780583903,
9,all-concat,hypothetical,105,,907,,0.10375494071146245,,,0.14907997301932419,
10,all-concat,negated,13,,119,,0.09848484848484848,,,0.15873015873015872,
11,all-concat,non-meddra,181,,2351,,0.07148499210110584,,,0.1291742803584359,
12,boxed warnings,all,92,131.0,181,0.4125560538116592,0.336996336996337,0.37096774193548393,0.30695955695955696,0.33249017440193906,0.4396957375805675
13,boxed warnings,discontinuous,2,,35,,0.05405405405405406,,,0.11538461538461539,
14,boxed warnings,exact-meddra,67,,68,,0.4962962962962963,,,0.3222132253711201,
15,boxed warnings,hypothetical,38,,82,,0.31666666666666665,,,0.24939123376623376,
16,boxed warnings,negated,0,,4,,0.0,,,0.0,
17,boxed warnings,non-meddra,25,,113,,0.18115942028985507,,,0.22622549019607843,
18,warnings and precautions,all,410,872.0,2317,0.31981279251170047,0.15034836817015035,0.204539785482664,0.36814161800354617,0.1977972399186416,0.2559168194467319
19,warnings and precautions,discontinuous,8,,391,,0.020050125313283207,,,0.01981981981981982,
20,warnings and precautions,exact-meddra,252,,961,,0.20774938169826876,,,0.29304842365111883,
21,warnings and precautions,hypothetical,139,,770,,0.15291529152915292,,,0.23285725700353876,
22,warnings and precautions,negated,7,,51,,0.1206896551724138,,,0.15277777777777776,
23,warnings and precautions,non-meddra,158,,1357,,0.1042904290429043,,,0.13235674258613372,
0,all,all,2472,1613.0,5832,0.605140758873929,0.2976878612716763,0.3689344730637472,0.5142407330415845,0.31637149581127566,0.41714169923037187
