,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,33,33,1.0,13,0.9705882352941176,0.717391304347826,0.825
1,XEOMIN,adverse reactions,exact-meddra,40,33,30,,10,,0.75,
2,XEOMIN,adverse reactions,non-meddra,6,33,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,33,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,33,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,33,26,7.0,9,0.7878787878787878,0.7428571428571429,0.7647058823529412
6,XEOMIN,warnings and precautions,exact-meddra,16,33,13,,3,,0.8125,
7,XEOMIN,warnings and precautions,non-meddra,19,33,13,,6,,0.6842105263157895,
8,XEOMIN,warnings and precautions,discontinuous,5,33,3,,2,,0.6,
9,XEOMIN,warnings and precautions,hypothetical,24,33,17,,7,,0.7083333333333334,
10,XEOMIN,boxed warnings,all,16,13,13,0.0,3,1.0,0.8125,0.896551724137931
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,3,,3,,0.5,
13,XEOMIN,boxed warnings,discontinuous,1,13,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,11,,1,,0.9166666666666666,
15,XEOMIN,all-concat,all,81,30,39,0.0,42,1.0,0.48148148148148145,0.65
16,XEOMIN,all-concat,exact-meddra,53,30,29,,24,,0.5471698113207547,
17,XEOMIN,all-concat,non-meddra,28,30,10,,18,,0.35714285714285715,
18,XEOMIN,all-concat,negated,1,30,0,,1,,0.0,
19,XEOMIN,all-concat,discontinuous,10,30,5,,5,,0.5,
20,XEOMIN,all-concat,hypothetical,33,30,13,,20,,0.3939393939393939,
21,QUTENZA,adverse reactions,all,40,37,37,1.0,3,0.9736842105263158,0.925,0.9487179487179489
22,QUTENZA,adverse reactions,exact-meddra,34,37,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,37,3,,3,,0.5,
24,QUTENZA,warnings and precautions,all,6,9,3,6.0,3,0.3333333333333333,0.5,0.4
25,QUTENZA,warnings and precautions,exact-meddra,3,9,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,9,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,9,3,,1,,0.75,
28,QUTENZA,all-concat,all,45,15,6,12.0,39,0.3333333333333333,0.13333333333333333,0.19047619047619044
29,QUTENZA,all-concat,exact-meddra,37,15,4,,33,,0.10810810810810811,
30,QUTENZA,all-concat,non-meddra,8,15,2,,6,,0.25,
31,QUTENZA,all-concat,hypothetical,4,15,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,28,32,0.0,29,1.0,0.5245901639344263,0.6881720430107526
