,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,33,32,1.0,14,0.9696969696969697,0.6956521739130435,0.810126582278481
1,XEOMIN,adverse reactions,exact-meddra,40,33,29,,11,,0.725,
2,XEOMIN,adverse reactions,non-meddra,6,33,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,33,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,33,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,33,23,10.0,12,0.696969696969697,0.6571428571428571,0.676470588235294
6,XEOMIN,warnings and precautions,exact-meddra,16,33,13,,3,,0.8125,
7,XEOMIN,warnings and precautions,non-meddra,19,33,10,,9,,0.5263157894736842,
8,XEOMIN,warnings and precautions,discontinuous,5,33,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,33,15,,9,,0.625,
10,XEOMIN,boxed warnings,all,16,13,11,2.0,5,0.8461538461538461,0.6875,0.7586206896551724
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,1,,5,,0.16666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,13,0,,1,,0.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,30,25,5.0,56,0.8333333333333334,0.30864197530864196,0.45045045045045046
16,XEOMIN,all-concat,exact-meddra,53,30,22,,31,,0.41509433962264153,
17,XEOMIN,all-concat,non-meddra,28,30,3,,25,,0.10714285714285714,
18,XEOMIN,all-concat,negated,1,30,0,,1,,0.0,
19,XEOMIN,all-concat,discontinuous,10,30,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,30,10,,23,,0.30303030303030304,
21,QUTENZA,adverse reactions,all,40,37,35,2.0,5,0.9459459459459459,0.875,0.9090909090909091
22,QUTENZA,adverse reactions,exact-meddra,34,37,33,,1,,0.9705882352941176,
23,QUTENZA,adverse reactions,non-meddra,6,37,2,,4,,0.3333333333333333,
24,QUTENZA,warnings and precautions,all,6,9,3,6.0,3,0.3333333333333333,0.5,0.4
25,QUTENZA,warnings and precautions,exact-meddra,3,9,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,9,0,,3,,0.0,
27,QUTENZA,warnings and precautions,hypothetical,4,9,3,,1,,0.75,
28,QUTENZA,all-concat,all,45,15,0,15.0,45,0.0,0.0,
29,QUTENZA,all-concat,exact-meddra,37,15,0,,37,,0.0,
30,QUTENZA,all-concat,non-meddra,8,15,0,,8,,0.0,
31,QUTENZA,all-concat,hypothetical,4,15,0,,4,,0.0,
32,ZYTIGA,adverse reactions,all,61,28,26,2.0,35,0.9285714285714286,0.4262295081967213,0.5842696629213483
33,ZYTIGA,adverse reactions,exact-meddra,43,28,22,,21,,0.5116279069767442,
34,ZYTIGA,adverse reactions,non-meddra,18,28,4,,14,,0.2222222222222222,
35,ZYTIGA,adverse reactions,negated,3,28,2,,1,,0.6666666666666666,
36,ZYTIGA,adverse reactions,discontinuous,1,28,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,9,6,3.0,9,0.6666666666666666,0.4,0.5
38,ZYTIGA,warnings and precautions,exact-meddra,6,9,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,9,2,,7,,0.2222222222222222,
40,ZYTIGA,warnings and precautions,negated,1,9,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,9,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,9,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,31,28,3.0,40,0.9032258064516129,0.4117647058823529,0.5656565656565656
44,ZYTIGA,all-concat,exact-meddra,44,31,23,,21,,0.5227272727272727,
45,ZYTIGA,all-concat,non-meddra,24,31,5,,19,,0.20833333333333334,
46,ZYTIGA,all-concat,negated,3,31,2,,1,,0.6666666666666666,
47,ZYTIGA,all-concat,discontinuous,2,31,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,31,2,,1,,0.6666666666666666,
49,TOVIAZ,adverse reactions,all,37,35,32,3.0,5,0.9142857142857143,0.8648648648648649,0.888888888888889
50,TOVIAZ,adverse reactions,exact-meddra,33,35,31,,2,,0.9393939393939394,
51,TOVIAZ,adverse reactions,non-meddra,4,35,1,,3,,0.25,
52,TOVIAZ,warnings and precautions,all,13,10,4,6.0,9,0.4,0.3076923076923077,0.34782608695652173
53,TOVIAZ,warnings and precautions,exact-meddra,4,10,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,10,0,,9,,0.0,
55,TOVIAZ,warnings and precautions,discontinuous,5,10,0,,5,,0.0,
56,TOVIAZ,all-concat,all,46,22,21,1.0,25,0.9545454545454546,0.45652173913043476,0.6176470588235293
57,TOVIAZ,all-concat,exact-meddra,33,22,21,,12,,0.6363636363636364,
58,TOVIAZ,all-concat,non-meddra,13,22,0,,13,,0.0,
59,TOVIAZ,all-concat,discontinuous,5,22,0,,5,,0.0,
60,STRIBILD,adverse reactions,all,100,2,0,2.0,100,0.0,0.0,
61,STRIBILD,adverse reactions,exact-meddra,59,2,0,,59,,0.0,
62,STRIBILD,adverse reactions,non-meddra,41,2,0,,41,,0.0,
63,STRIBILD,adverse reactions,negated,1,2,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,2,0,,18,,0.0,
65,STRIBILD,warnings and precautions,all,50,18,11,7.0,39,0.6111111111111112,0.22,0.3235294117647059
66,STRIBILD,warnings and precautions,exact-meddra,22,18,8,,14,,0.36363636363636365,
67,STRIBILD,warnings and precautions,non-meddra,28,18,3,,25,,0.10714285714285714,
68,STRIBILD,warnings and precautions,discontinuous,5,18,0,,5,,0.0,
69,STRIBILD,warnings and precautions,hypothetical,9,18,3,,6,,0.3333333333333333,
70,STRIBILD,boxed warnings,all,6,4,1,3.0,5,0.25,0.16666666666666666,0.2
71,STRIBILD,boxed warnings,exact-meddra,2,4,1,,1,,0.5,
