,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4621,788.0,191,0.854316879275282,0.9603075644222776,0.9042168085314549,0.8788969167922325,0.8917220351433638,0.9095829666917138
1,adverse reactions,discontinuous,327,,2076,,0.13607990012484394,,,0.15350911831184655,
2,adverse reactions,exact-meddra,3625,,357,,0.9103465595178303,,,0.8314573779252361,
3,adverse reactions,hypothetical,69,,690,,0.09090909090909091,,,0.10234569609487709,
4,adverse reactions,negated,66,,1023,,0.06060606060606061,,,0.08375057000879461,
5,adverse reactions,non-meddra,996,,2094,,0.32233009708737864,,,0.3306334123651368,
6,all-concat,all,5914,1468.0,144,0.8011379030073151,0.9762297788048862,0.8800595238095239,0.8321387676597478,0.9285689928886328,0.8806080411703323
7,all-concat,discontinuous,573,,2434,,0.19055537080146326,,,0.20273302967340423,
8,all-concat,exact-meddra,4126,,350,,0.9218051831992851,,,0.8631861109961186,
9,all-concat,hypothetical,728,,1964,,0.2704309063893016,,,0.2818994722455102,
10,all-concat,negated,103,,1459,,0.06594110115236876,,,0.09739315472612675,
11,all-concat,non-meddra,1788,,1819,,0.49570280011089546,,,0.4627664953920158,
12,boxed warnings,all,236,38.0,178,0.8613138686131386,0.5700483091787439,0.686046511627907,0.8377018936229463,0.6315164367795947,0.7562476273387575
13,boxed warnings,discontinuous,29,,128,,0.18471337579617833,,,0.2837559876021415,
14,boxed warnings,exact-meddra,121,,177,,0.40604026845637586,,,0.41788120340327467,
15,boxed warnings,hypothetical,103,,184,,0.3588850174216028,,,0.46586777420110753,
16,boxed warnings,negated,4,,16,,0.2,,,0.30833333333333335,
17,boxed warnings,non-meddra,115,,246,,0.3185595567867036,,,0.4483845130903954,
18,warnings and precautions,all,2125,602.0,273,0.7792445911257793,0.8861551292743953,0.8292682926829269,0.8228423107376905,0.8210687811830468,0.8028518669253163
19,warnings and precautions,discontinuous,289,,1077,,0.21156661786237188,,,0.24088253320474678,
20,warnings and precautions,exact-meddra,1021,,553,,0.6486658195679796,,,0.5901589883842703,
21,warnings and precautions,hypothetical,676,,835,,0.44738583719391134,,,0.4579745502570588,
22,warnings and precautions,negated,45,,438,,0.09316770186335403,,,0.1157813296748525,
23,warnings and precautions,non-meddra,1105,,647,,0.6307077625570776,,,0.5876585030606265,
0,all,all,6982,1428.0,642,0.8302021403091557,0.9157922350472193,0.8492471966006424,0.8492244266747603,0.8207848386519487,0.8416499754713233
