,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3356,269.0,2053,0.9257931034482758,0.6204474024773525,0.7429709984502989,0.8685116422886855,0.6983136174379994,0.7779810058089449
1,adverse reactions,discontinuous,133,,264,,0.3350125944584383,,,0.2879301290846506,
2,adverse reactions,exact-meddra,2767,,1396,,0.6646649051165026,,,0.7436865511517139,
3,adverse reactions,hypothetical,46,,34,,0.575,,,0.694047619047619,
4,adverse reactions,negated,38,,35,,0.5205479452054794,,,0.47809523809523813,
5,adverse reactions,non-meddra,589,,658,,0.4723336006415397,,,0.5422978510481462,
6,all-concat,all,3722,323.0,3660,0.9201483312731767,0.5041994039555676,0.6514395729412794,0.8785426675145895,0.5884226984316029,0.6917924798720753
7,all-concat,discontinuous,211,,590,,0.2634207240948814,,,0.27291657563394894,
8,all-concat,exact-meddra,2922,,1905,,0.6053449347420758,,,0.690390212554838,
9,all-concat,hypothetical,378,,642,,0.37058823529411766,,,0.4598652463504579,
10,all-concat,negated,53,,79,,0.4015151515151515,,,0.4094671201814059,
11,all-concat,non-meddra,800,,1756,,0.3129890453834116,,,0.3948580958610503,
12,boxed warnings,all,206,172.0,68,0.544973544973545,0.7518248175182481,0.6319018404907976,0.5987288296498823,0.765196732089147,0.6783654075833319
13,boxed warnings,discontinuous,18,,19,,0.4864864864864865,,,0.33516483516483514,
14,boxed warnings,exact-meddra,116,,20,,0.8529411764705882,,,0.8052435679770146,
15,boxed warnings,hypothetical,94,,27,,0.7768595041322314,,,0.8331037649219467,
16,boxed warnings,negated,2,,3,,0.4,,,0.375,
17,boxed warnings,non-meddra,90,,48,,0.6521739130434783,,,0.6820378151260504,
18,warnings and precautions,all,1408,473.0,1319,0.7485380116959064,0.5163182984965163,0.611111111111111,0.6889804949484861,0.5912279490371802,0.6122404979913263
19,warnings and precautions,discontinuous,122,,277,,0.3057644110275689,,,0.33811238223002926,
20,warnings and precautions,exact-meddra,761,,452,,0.6273701566364386,,,0.7239749986519525,
21,warnings and precautions,hypothetical,462,,447,,0.5082508250825083,,,0.5931337749024009,
22,warnings and precautions,negated,33,,25,,0.5689655172413793,,,0.6782407407407408,
23,warnings and precautions,non-meddra,648,,867,,0.4277227722772277,,,0.4993328537857514,
0,all,all,4970,914.0,3440,0.8446634942216179,0.5909631391200951,0.6814023309362046,0.7512816924061692,0.6650689077848813,0.693979169520345
