,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2725,555.0,2684,0.8307926829268293,0.5037899796635238,0.6272298308205778,0.7749817524996033,0.5760974105089215,0.671504701040164
1,adverse reactions,discontinuous,24,,373,,0.060453400503778336,,,0.06735788842900343,
2,adverse reactions,exact-meddra,2420,,1743,,0.5813115541676676,,,0.6537612255176901,
3,adverse reactions,hypothetical,26,,54,,0.325,,,0.40344827586206894,
4,adverse reactions,negated,25,,48,,0.3424657534246575,,,0.26190476190476186,
5,adverse reactions,non-meddra,305,,942,,0.24458700882117082,,,0.3223126624038834,
6,all-concat,all,2808,700.0,4574,0.8004561003420753,0.3803847195881875,0.515702479338843,0.7644357490531831,0.452544648226082,0.5535249417205877
7,all-concat,discontinuous,36,,765,,0.0449438202247191,,,0.056460162817178104,
8,all-concat,exact-meddra,2468,,2359,,0.511290656722602,,,0.5874501834522117,
9,all-concat,hypothetical,225,,795,,0.22058823529411764,,,0.297013098344136,
10,all-concat,negated,33,,99,,0.25,,,0.22063492063492066,
11,all-concat,non-meddra,340,,2216,,0.13302034428794993,,,0.1986158431952806,
12,boxed warnings,all,135,268.0,139,0.3349875930521092,0.4927007299270073,0.3988183161004431,0.3538430350725034,0.46388201366916537,0.5049374227190983
13,boxed warnings,discontinuous,1,,36,,0.02702702702702703,,,0.010989010989010988,
14,boxed warnings,exact-meddra,96,,40,,0.7058823529411765,,,0.5707108963475688,
15,boxed warnings,hypothetical,67,,54,,0.5537190082644629,,,0.5245047881411518,
16,boxed warnings,negated,1,,4,,0.2,,,0.25,
17,boxed warnings,non-meddra,39,,99,,0.2826086956521739,,,0.30532212885154064,
18,warnings and precautions,all,907,784.0,1820,0.5363690124186872,0.3325999266593326,0.41059302851969215,0.5030441892304327,0.3953791556496896,0.42321937201219634
19,warnings and precautions,discontinuous,14,,385,,0.03508771929824561,,,0.07925880425880426,
20,warnings and precautions,exact-meddra,622,,591,,0.5127782357790602,,,0.6090014470894767,
21,warnings and precautions,hypothetical,302,,607,,0.33223322332233224,,,0.3991605260115979,
22,warnings and precautions,negated,14,,44,,0.2413793103448276,,,0.3055555555555555,
23,warnings and precautions,non-meddra,285,,1230,,0.18811881188118812,,,0.2372404885178215,
0,all,all,3767,1607.0,4643,0.7009676218831411,0.4479191438763377,0.5212281983958371,0.5954003334346061,0.48375056389342896,0.5441315761124309
