,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,27,40,6.0,1,0.8695652173913043,0.975609756097561,0.9195402298850575
1,XEOMIN,adverse reactions,exact-meddra,40,27,36,,2,,0.9473684210526315,
2,XEOMIN,adverse reactions,non-meddra,6,27,4,,22,,0.15384615384615385,
3,XEOMIN,adverse reactions,negated,1,27,1,,24,,0.04,
4,XEOMIN,adverse reactions,discontinuous,5,27,2,,25,,0.07407407407407407,
5,XEOMIN,warnings and precautions,all,35,39,27,8.0,8,0.7714285714285715,0.7714285714285715,0.7714285714285715
6,XEOMIN,warnings and precautions,exact-meddra,16,39,15,,19,,0.4411764705882353,
7,XEOMIN,warnings and precautions,non-meddra,19,39,12,,19,,0.3870967741935484,
8,XEOMIN,warnings and precautions,discontinuous,5,39,3,,35,,0.07894736842105263,
9,XEOMIN,warnings and precautions,hypothetical,24,39,18,,16,,0.5294117647058824,
10,XEOMIN,boxed warnings,all,16,12,12,4.0,0,0.75,1.0,0.8571428571428571
11,XEOMIN,boxed warnings,exact-meddra,10,12,10,,1,,0.9090909090909091,
12,XEOMIN,boxed warnings,non-meddra,6,12,2,,9,,0.18181818181818182,
13,XEOMIN,boxed warnings,discontinuous,1,12,1,,9,,0.1,
14,XEOMIN,boxed warnings,hypothetical,12,12,10,,1,,0.9090909090909091,
15,XEOMIN,all-concat,all,81,33,66,15.0,0,0.8148148148148148,1.0,0.8979591836734693
16,XEOMIN,all-concat,exact-meddra,53,33,44,,1,,0.9777777777777777,
17,XEOMIN,all-concat,non-meddra,28,33,22,,19,,0.5365853658536586,
18,XEOMIN,all-concat,negated,1,33,1,,30,,0.03225806451612903,
19,XEOMIN,all-concat,discontinuous,10,33,7,,27,,0.20588235294117646,
20,XEOMIN,all-concat,hypothetical,33,33,20,,13,,0.6060606060606061,
21,QUTENZA,adverse reactions,all,40,5,19,21.0,1,0.475,0.95,0.6333333333333334
22,QUTENZA,adverse reactions,exact-meddra,34,5,17,,1,,0.9444444444444444,
23,QUTENZA,adverse reactions,non-meddra,6,5,2,,1,,0.6666666666666666,
24,QUTENZA,warnings and precautions,all,6,19,5,1.0,14,0.8333333333333334,0.2631578947368421,0.39999999999999997
25,QUTENZA,warnings and precautions,exact-meddra,3,19,3,,16,,0.15789473684210525,
26,QUTENZA,warnings and precautions,non-meddra,3,19,2,,16,,0.1111111111111111,
27,QUTENZA,warnings and precautions,hypothetical,4,19,3,,16,,0.15789473684210525,
28,QUTENZA,all-concat,all,45,30,38,7.0,1,0.8444444444444444,0.9743589743589743,0.9047619047619048
29,QUTENZA,all-concat,exact-meddra,37,30,33,,2,,0.9428571428571428,
30,QUTENZA,all-concat,non-meddra,8,30,5,,15,,0.25,
31,QUTENZA,all-concat,hypothetical,4,30,2,,29,,0.06451612903225806,
32,ZYTIGA,adverse reactions,all,61,24,38,23.0,0,0.6229508196721312,1.0,0.7676767676767677
33,ZYTIGA,adverse reactions,exact-meddra,43,24,27,,4,,0.8709677419354839,
34,ZYTIGA,adverse reactions,non-meddra,18,24,11,,16,,0.4074074074074074,
35,ZYTIGA,adverse reactions,negated,3,24,1,,21,,0.045454545454545456,
36,ZYTIGA,adverse reactions,discontinuous,1,24,1,,23,,0.041666666666666664,
37,ZYTIGA,warnings and precautions,all,15,21,11,4.0,12,0.7333333333333333,0.4782608695652174,0.5789473684210527
38,ZYTIGA,warnings and precautions,exact-meddra,6,21,5,,15,,0.25,
39,ZYTIGA,warnings and precautions,non-meddra,9,21,6,,17,,0.2608695652173913,
40,ZYTIGA,warnings and precautions,negated,1,21,0,,21,,0.0,
