,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,34,45,1.0,1,0.9782608695652174,0.9782608695652174,0.9782608695652174
1,XEOMIN,adverse reactions,exact-meddra,40,34,40,,1,,0.975609756097561,
2,XEOMIN,adverse reactions,non-meddra,6,34,5,,24,,0.1724137931034483,
3,XEOMIN,adverse reactions,negated,1,34,1,,30,,0.03225806451612903,
4,XEOMIN,adverse reactions,discontinuous,5,34,5,,27,,0.15625,
5,XEOMIN,warnings and precautions,all,35,29,28,7.0,3,0.8,0.9032258064516129,0.8484848484848486
6,XEOMIN,warnings and precautions,exact-meddra,16,29,15,,8,,0.6521739130434783,
7,XEOMIN,warnings and precautions,non-meddra,19,29,13,,11,,0.5416666666666666,
8,XEOMIN,warnings and precautions,discontinuous,5,29,4,,20,,0.16666666666666666,
9,XEOMIN,warnings and precautions,hypothetical,24,29,19,,6,,0.76,
10,XEOMIN,boxed warnings,all,16,12,12,4.0,0,0.75,1.0,0.8571428571428571
11,XEOMIN,boxed warnings,exact-meddra,10,12,10,,1,,0.9090909090909091,
12,XEOMIN,boxed warnings,non-meddra,6,12,2,,9,,0.18181818181818182,
13,XEOMIN,boxed warnings,discontinuous,1,12,1,,9,,0.1,
14,XEOMIN,boxed warnings,hypothetical,12,12,10,,1,,0.9090909090909091,
15,XEOMIN,all-concat,all,81,27,60,21.0,0,0.7407407407407407,1.0,0.851063829787234
16,XEOMIN,all-concat,exact-meddra,53,27,43,,0,,1.0,
17,XEOMIN,all-concat,non-meddra,28,27,17,,8,,0.68,
18,XEOMIN,all-concat,negated,1,27,1,,24,,0.04,
19,XEOMIN,all-concat,discontinuous,10,27,5,,21,,0.19230769230769232,
20,XEOMIN,all-concat,hypothetical,33,27,22,,3,,0.88,
21,QUTENZA,adverse reactions,all,40,36,39,1.0,0,0.975,1.0,0.9873417721518987
22,QUTENZA,adverse reactions,exact-meddra,34,36,34,,1,,0.9714285714285714,
23,QUTENZA,adverse reactions,non-meddra,6,36,5,,17,,0.22727272727272727,
24,QUTENZA,warnings and precautions,all,6,12,6,0.0,5,1.0,0.5454545454545454,0.7058823529411764
25,QUTENZA,warnings and precautions,exact-meddra,3,12,3,,8,,0.2727272727272727,
26,QUTENZA,warnings and precautions,non-meddra,3,12,3,,8,,0.2727272727272727,
27,QUTENZA,warnings and precautions,hypothetical,4,12,4,,7,,0.36363636363636365,
28,QUTENZA,all-concat,all,45,36,42,3.0,0,0.9333333333333333,1.0,0.9655172413793104
29,QUTENZA,all-concat,exact-meddra,37,36,36,,1,,0.972972972972973,
30,QUTENZA,all-concat,non-meddra,8,36,6,,17,,0.2608695652173913,
31,QUTENZA,all-concat,hypothetical,4,36,2,,29,,0.06451612903225806,
32,ZYTIGA,adverse reactions,all,61,32,54,7.0,0,0.8852459016393442,1.0,0.9391304347826086
33,ZYTIGA,adverse reactions,exact-meddra,43,32,38,,5,,0.8837209302325582,
34,ZYTIGA,adverse reactions,non-meddra,18,32,16,,14,,0.5333333333333333,
35,ZYTIGA,adverse reactions,negated,3,32,3,,17,,0.15,
36,ZYTIGA,adverse reactions,discontinuous,1,32,1,,31,,0.03125,
37,ZYTIGA,warnings and precautions,all,15,12,14,1.0,0,0.9333333333333333,1.0,0.9655172413793104
38,ZYTIGA,warnings and precautions,exact-meddra,6,12,6,,2,,0.75,
39,ZYTIGA,warnings and precautions,non-meddra,9,12,8,,8,,0.5,
40,ZYTIGA,warnings and precautions,negated,1,12,1,,11,,0.08333333333333333,
41,ZYTIGA,warnings and precautions,discontinuous,1,12,1,,11,,0.08333333333333333,
42,ZYTIGA,warnings and precautions,hypothetical,3,12,3,,5,,0.375,
43,ZYTIGA,all-concat,all,68,33,62,6.0,0,0.9117647058823529,1.0,0.9538461538461539
44,ZYTIGA,all-concat,exact-meddra,44,33,39,,4,,0.9069767441860465,
45,ZYTIGA,all-concat,non-meddra,24,33,23,,14,,0.6216216216216216,
46,ZYTIGA,all-concat,negated,3,33,3,,18,,0.14285714285714285,
47,ZYTIGA,all-concat,discontinuous,2,33,2,,30,,0.0625,
48,ZYTIGA,all-concat,hypothetical,3,33,3,,18,,0.14285714285714285,
49,TOVIAZ,adverse reactions,all,37,27,37,0.0,0,1.0,1.0,1.0
50,TOVIAZ,adverse reactions,exact-meddra,33,27,33,,1,,0.9705882352941176,
51,TOVIAZ,adverse reactions,non-meddra,4,27,4,,24,,0.14285714285714285,
52,TOVIAZ,warnings and precautions,all,13,13,12,1.0,8,0.9230769230769231,0.6,0.7272727272727274
53,TOVIAZ,warnings and precautions,exact-meddra,4,13,4,,9,,0.3076923076923077,
54,TOVIAZ,warnings and precautions,non-meddra,9,13,8,,11,,0.42105263157894735,
55,TOVIAZ,warnings and precautions,discontinuous,5,13,5,,11,,0.3125,
56,TOVIAZ,all-concat,all,46,39,44,2.0,6,0.9565217391304348,0.88,0.9166666666666666
57,TOVIAZ,all-concat,exact-meddra,33,39,33,,8,,0.8048780487804879,
58,TOVIAZ,all-concat,non-meddra,13,39,11,,30,,0.2682926829268293,
59,TOVIAZ,all-concat,discontinuous,5,39,5,,32,,0.13513513513513514,
60,STRIBILD,adverse reactions,all,100,67,90,10.0,0,0.9,1.0,0.9473684210526316
61,STRIBILD,adverse reactions,exact-meddra,59,67,59,,4,,0.9365079365079365,
62,STRIBILD,adverse reactions,non-meddra,41,67,31,,43,,0.4189189189189189,
63,STRIBILD,adverse reactions,negated,1,67,1,,61,,0.016129032258064516,
64,STRIBILD,adverse reactions,discontinuous,18,67,10,,50,,0.16666666666666666,
65,STRIBILD,warnings and precautions,all,50,16,35,15.0,0,0.7,1.0,0.8235294117647058
66,STRIBILD,warnings and precautions,exact-meddra,22,16,14,,1,,0.9333333333333333,
67,STRIBILD,warnings and precautions,non-meddra,28,16,21,,3,,0.875,
68,STRIBILD,warnings and precautions,discontinuous,5,16,5,,10,,0.3333333333333333,
69,STRIBILD,warnings and precautions,hypothetical,9,16,4,,10,,0.2857142857142857,
70,STRIBILD,boxed warnings,all,6,6,6,0.0,1,1.0,0.8571428571428571,0.923076923076923
71,STRIBILD,boxed warnings,exact-meddra,2,6,2,,4,,0.3333333333333333,
72,STRIBILD,boxed warnings,non-meddra,4,6,4,,2,,0.6666666666666666,
73,STRIBILD,all-concat,all,136,63,114,22.0,0,0.8382352941176471,1.0,0.9119999999999999
74,STRIBILD,all-concat,exact-meddra,73,63,64,,8,,0.8888888888888888,
75,STRIBILD,all-concat,non-meddra,63,63,50,,23,,0.684931506849315,
76,STRIBILD,all-concat,negated,1,63,1,,60,,0.01639344262295082,
77,STRIBILD,all-concat,discontinuous,22,63,17,,36,,0.32075471698113206,
78,STRIBILD,all-concat,hypothetical,9,63,7,,44,,0.13725490196078433,
79,FARXIGA,adverse reactions,all,86,24,61,25.0,0,0.7093023255813954,1.0,0.8299319727891157
80,FARXIGA,adverse reactions,exact-meddra,48,24,33,,0,,1.0,
81,FARXIGA,adverse reactions,non-meddra,38,24,28,,7,,0.8,
82,FARXIGA,adverse reactions,discontinuous,11,24,9,,17,,0.34615384615384615,
83,FARXIGA,adverse reactions,hypothetical,1,24,1,,23,,0.041666666666666664,
84,FARXIGA,warnings and precautions,all,13,10,13,0.0,1,1.0,0.9285714285714286,0.962962962962963
85,FARXIGA,warnings and precautions,exact-meddra,3,10,3,,6,,0.3333333333333333,
86,FARXIGA,warnings and precautions,non-meddra,10,10,10,,3,,0.7692307692307693,
87,FARXIGA,warnings and precautions,discontinuous,1,10,1,,9,,0.1,
88,FARXIGA,warnings and precautions,hypothetical,4,10,4,,6,,0.4,
89,FARXIGA,all-concat,all,94,24,67,27.0,0,0.7127659574468085,1.0,0.8322981366459626
90,FARXIGA,all-concat,exact-meddra,48,24,33,,0,,1.0,
91,FARXIGA,all-concat,non-meddra,46,24,34,,5,,0.8717948717948718,
92,FARXIGA,all-concat,discontinuous,12,24,10,,16,,0.38461538461538464,
93,FARXIGA,all-concat,hypothetical,5,24,5,,10,,0.3333333333333333,
94,VICTRELIS,adverse reactions,all,47,35,46,1.0,0,0.9787234042553191,1.0,0.989247311827957
95,VICTRELIS,adverse reactions,exact-meddra,36,35,36,,0,,1.0,
96,VICTRELIS,adverse reactions,non-meddra,11,35,10,,26,,0.2777777777777778,
97,VICTRELIS,adverse reactions,discontinuous,7,35,7,,27,,0.20588235294117646,
98,VICTRELIS,warnings and precautions,all,24,12,21,3.0,1,0.875,0.9545454545454546,0.9130434782608695
99,VICTRELIS,warnings and precautions,exact-meddra,12,12,9,,1,,0.9,
100,VICTRELIS,warnings and precautions,non-meddra,12,12,12,,3,,0.8,
101,VICTRELIS,warnings and precautions,discontinuous,1,12,1,,10,,0.09090909090909091,
102,VICTRELIS,warnings and precautions,hypothetical,4,12,4,,6,,0.4,
103,VICTRELIS,all-concat,all,64,35,59,5.0,0,0.921875,1.0,0.959349593495935
104,VICTRELIS,all-concat,exact-meddra,41,35,40,,0,,1.0,
105,VICTRELIS,all-concat,non-meddra,23,35,19,,23,,0.4523809523809524,
106,VICTRELIS,all-concat,discontinuous,8,35,8,,27,,0.22857142857142856,
107,VICTRELIS,all-concat,hypothetical,4,35,2,,33,,0.05714285714285714,
108,VIMIZIM,adverse reactions,all,9,10,9,0.0,1,1.0,0.9,0.9473684210526316
109,VIMIZIM,adverse reactions,exact-meddra,8,10,8,,1,,0.8888888888888888,
110,VIMIZIM,adverse reactions,non-meddra,1,10,1,,8,,0.1111111111111111,
111,VIMIZIM,warnings and precautions,all,21,22,21,0.0,2,1.0,0.9130434782608695,0.9545454545454545
112,VIMIZIM,warnings and precautions,exact-meddra,17,22,17,,3,,0.85,
113,VIMIZIM,warnings and precautions,non-meddra,4,22,4,,15,,0.21052631578947367,
114,VIMIZIM,warnings and precautions,hypothetical,1,22,1,,21,,0.045454545454545456,
115,VIMIZIM,boxed warnings,all,17,19,17,0.0,1,1.0,0.9444444444444444,0.9714285714285714
116,VIMIZIM,boxed warnings,exact-meddra,15,19,15,,1,,0.9375,
117,VIMIZIM,boxed warnings,non-meddra,2,19,2,,14,,0.125,
118,VIMIZIM,boxed warnings,hypothetical,1,19,1,,14,,0.06666666666666667,
119,VIMIZIM,all-concat,all,25,32,24,1.0,4,0.96,0.8571428571428571,0.9056603773584904
120,VIMIZIM,all-concat,exact-meddra,21,32,20,,5,,0.8,
121,VIMIZIM,all-concat,non-meddra,4,32,4,,25,,0.13793103448275862,
122,VIMIZIM,all-concat,hypothetical,2,32,2,,24,,0.07692307692307693,
123,BEPREVE,adverse reactions,all,10,9,10,0.0,1,1.0,0.9090909090909091,0.9523809523809523
124,BEPREVE,adverse reactions,exact-meddra,6,9,6,,2,,0.75,
125,BEPREVE,adverse reactions,non-meddra,4,9,4,,5,,0.4444444444444444,
126,BEPREVE,adverse reactions,discontinuous,2,9,2,,7,,0.2222222222222222,
127,BEPREVE,all-concat,all,10,9,9,1.0,1,0.9,0.9,0.9
