,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4110,1299.0,91,0.7598447032723239,0.9783384908355154,0.8553590010405826,0.8171297220529334,0.961396711676444,0.8619493527360049
1,adverse reactions,discontinuous,263,,2027,,0.11484716157205241,,,0.14717420377703708,
2,adverse reactions,exact-meddra,3319,,289,,0.91990022172949,,,0.8876561151501157,
3,adverse reactions,hypothetical,46,,710,,0.06084656084656084,,,0.07456113222557313,
4,adverse reactions,negated,51,,902,,0.053515215110178385,,,0.07667403545884022,
5,adverse reactions,non-meddra,791,,2191,,0.2652582159624413,,,0.3041707475553412,
6,all-concat,all,4745,2637.0,115,0.6427797344892983,0.9763374485596708,0.7752001306975984,0.6944387194909636,0.9663637177305063,0.7814935122954534
7,all-concat,discontinuous,454,,2179,,0.17242688947968096,,,0.18995529719088064,
8,all-concat,exact-meddra,3389,,325,,0.9124932687129779,,,0.8687212286516866,
9,all-concat,hypothetical,562,,1807,,0.23723089911355003,,,0.29016598383264736,
10,all-concat,negated,79,,1254,,0.05926481620405101,,,0.09188267503905283,
11,all-concat,non-meddra,1356,,1871,,0.42020452432599936,,,0.4612655842812656,
12,boxed warnings,all,244,30.0,91,0.8905109489051095,0.7283582089552239,0.8013136288998358,0.9248280958807275,0.7110058666988651,0.7936895850929346
13,boxed warnings,discontinuous,30,,59,,0.33707865168539325,,,0.3823949554718785,
14,boxed warnings,exact-meddra,124,,120,,0.5081967213114754,,,0.5054173161858171,
15,boxed warnings,hypothetical,116,,133,,0.46586345381526106,,,0.5128061876724977,
16,boxed warnings,negated,5,,37,,0.11904761904761904,,,0.3080645161290323,
17,boxed warnings,non-meddra,120,,164,,0.4225352112676056,,,0.4734816130465756,
18,warnings and precautions,all,1840,887.0,291,0.6747341400806748,0.8634443923040825,0.7575133799917662,0.7828179585508537,0.8118448256391441,0.7517925470073471
19,warnings and precautions,discontinuous,236,,979,,0.194238683127572,,,0.21945237251976019,
20,warnings and precautions,exact-meddra,883,,570,,0.6077081899518239,,,0.555977738138787,
21,warnings and precautions,hypothetical,593,,858,,0.40868366643694004,,,0.4305018976501966,
22,warnings and precautions,negated,38,,339,,0.10079575596816977,,,0.12883193349884345,
23,warnings and precautions,non-meddra,957,,732,,0.566607460035524,,,0.5577398513858766,
0,all,all,6194,2216.0,473,0.7365041617122473,0.9290535473226339,0.798034505428291,0.8203682692807065,0.8596111817833674,0.8057330907850542
