,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,34,37,2.0,9,0.9487179487179487,0.8043478260869565,0.8705882352941177
1,XEOMIN,adverse reactions,exact-meddra,40,34,34,,6,,0.85,
2,XEOMIN,adverse reactions,non-meddra,6,34,3,,3,,0.5,
3,XEOMIN,adverse reactions,negated,1,34,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,34,2,,3,,0.4,
5,XEOMIN,warnings and precautions,all,35,29,25,6.0,10,0.8064516129032258,0.7142857142857143,0.7575757575757576
6,XEOMIN,warnings and precautions,exact-meddra,16,29,14,,2,,0.875,
7,XEOMIN,warnings and precautions,non-meddra,19,29,11,,8,,0.5789473684210527,
8,XEOMIN,warnings and precautions,discontinuous,5,29,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,29,16,,8,,0.6666666666666666,
10,XEOMIN,boxed warnings,all,16,12,12,0.0,4,1.0,0.75,0.8571428571428571
11,XEOMIN,boxed warnings,exact-meddra,10,12,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,12,2,,4,,0.3333333333333333,
13,XEOMIN,boxed warnings,discontinuous,1,12,1,,0,,1.0,
14,XEOMIN,boxed warnings,hypothetical,12,12,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,27,36,0.0,45,1.0,0.4444444444444444,0.6153846153846153
16,XEOMIN,all-concat,exact-meddra,53,27,31,,22,,0.5849056603773585,
17,XEOMIN,all-concat,non-meddra,28,27,5,,23,,0.17857142857142858,
18,XEOMIN,all-concat,negated,1,27,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,27,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,27,8,,25,,0.24242424242424243,
21,QUTENZA,adverse reactions,all,40,36,36,1.0,4,0.972972972972973,0.9,0.935064935064935
22,QUTENZA,adverse reactions,exact-meddra,34,36,34,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,36,2,,4,,0.3333333333333333,
24,QUTENZA,warnings and precautions,all,6,12,5,8.0,1,0.38461538461538464,0.8333333333333334,0.5263157894736842
25,QUTENZA,warnings and precautions,exact-meddra,3,12,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,12,2,,1,,0.6666666666666666,
27,QUTENZA,warnings and precautions,hypothetical,4,12,4,,0,,1.0,
28,QUTENZA,all-concat,all,45,36,37,1.0,8,0.9736842105263158,0.8222222222222222,0.891566265060241
29,QUTENZA,all-concat,exact-meddra,37,36,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,36,2,,6,,0.25,
31,QUTENZA,all-concat,hypothetical,4,36,1,,3,,0.25,
32,ZYTIGA,adverse reactions,all,61,32,34,0.0,27,1.0,0.5573770491803278,0.7157894736842105
33,ZYTIGA,adverse reactions,exact-meddra,43,32,27,,16,,0.627906976744186,
34,ZYTIGA,adverse reactions,non-meddra,18,32,7,,11,,0.3888888888888889,
35,ZYTIGA,adverse reactions,negated,3,32,3,,0,,1.0,
36,ZYTIGA,adverse reactions,discontinuous,1,32,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,12,7,5.0,8,0.5833333333333334,0.4666666666666667,0.5185185185185186
38,ZYTIGA,warnings and precautions,exact-meddra,6,12,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,12,3,,6,,0.3333333333333333,
40,ZYTIGA,warnings and precautions,negated,1,12,1,,0,,1.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,12,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,12,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,33,37,0.0,31,1.0,0.5441176470588235,0.7047619047619048
44,ZYTIGA,all-concat,exact-meddra,44,33,28,,16,,0.6363636363636364,
45,ZYTIGA,all-concat,non-meddra,24,33,9,,15,,0.375,
46,ZYTIGA,all-concat,negated,3,33,3,,0,,1.0,
47,ZYTIGA,all-concat,discontinuous,2,33,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,33,3,,0,,1.0,
49,TOVIAZ,adverse reactions,all,37,27,28,3.0,9,0.9032258064516129,0.7567567567567568,0.823529411764706
50,TOVIAZ,adverse reactions,exact-meddra,33,27,25,,8,,0.7575757575757576,
51,TOVIAZ,adverse reactions,non-meddra,4,27,3,,1,,0.75,
52,TOVIAZ,warnings and precautions,all,13,13,9,8.0,4,0.5294117647058824,0.6923076923076923,0.5999999999999999
53,TOVIAZ,warnings and precautions,exact-meddra,4,13,4,,0,,1.0,
54,TOVIAZ,warnings and precautions,non-meddra,9,13,5,,4,,0.5555555555555556,
55,TOVIAZ,warnings and precautions,discontinuous,5,13,4,,1,,0.8,
56,TOVIAZ,all-concat,all,46,39,32,11.0,14,0.7441860465116279,0.6956521739130435,0.7191011235955057
57,TOVIAZ,all-concat,exact-meddra,33,39,25,,8,,0.7575757575757576,
58,TOVIAZ,all-concat,non-meddra,13,39,7,,6,,0.5384615384615384,
59,TOVIAZ,all-concat,discontinuous,5,39,3,,2,,0.6,
60,STRIBILD,adverse reactions,all,100,67,70,3.0,30,0.958904109589041,0.7,0.8092485549132947
61,STRIBILD,adverse reactions,exact-meddra,59,67,57,,2,,0.9661016949152542,
62,STRIBILD,adverse reactions,non-meddra,41,67,13,,28,,0.3170731707317073,
63,STRIBILD,adverse reactions,negated,1,67,0,,1,,0.0,
64,STRIBILD,adverse reactions,discontinuous,18,67,4,,14,,0.2222222222222222,
65,STRIBILD,warnings and precautions,all,50,16,14,5.0,36,0.7368421052631579,0.28,0.40579710144927544
66,STRIBILD,warnings and precautions,exact-meddra,22,16,9,,13,,0.4090909090909091,
67,STRIBILD,warnings and precautions,non-meddra,28,16,5,,23,,0.17857142857142858,
68,STRIBILD,warnings and precautions,discontinuous,5,16,1,,4,,0.2,
69,STRIBILD,warnings and precautions,hypothetical,9,16,3,,6,,0.3333333333333333,
70,STRIBILD,boxed warnings,all,6,6,5,2.0,1,0.7142857142857143,0.8333333333333334,0.7692307692307692
71,STRIBILD,boxed warnings,exact-meddra,2,6,2,,0,,1.0,
72,STRIBILD,boxed warnings,non-meddra,4,6,3,,1,,0.75,
73,STRIBILD,all-concat,all,136,63,75,0.0,61,1.0,0.5514705882352942,0.7109004739336493
74,STRIBILD,all-concat,exact-meddra,73,63,51,,22,,0.6986301369863014,
75,STRIBILD,all-concat,non-meddra,63,63,24,,39,,0.38095238095238093,
76,STRIBILD,all-concat,negated,1,63,0,,1,,0.0,
77,STRIBILD,all-concat,discontinuous,22,63,11,,11,,0.5,
78,STRIBILD,all-concat,hypothetical,9,63,3,,6,,0.3333333333333333,
79,FARXIGA,adverse reactions,all,86,24,30,1.0,56,0.967741935483871,0.3488372093023256,0.5128205128205129
80,FARXIGA,adverse reactions,exact-meddra,48,24,17,,31,,0.3541666666666667,
81,FARXIGA,adverse reactions,non-meddra,38,24,13,,25,,0.34210526315789475,
82,FARXIGA,adverse reactions,discontinuous,11,24,2,,9,,0.18181818181818182,
83,FARXIGA,adverse reactions,hypothetical,1,24,0,,1,,0.0,
84,FARXIGA,warnings and precautions,all,13,10,7,5.0,6,0.5833333333333334,0.5384615384615384,0.5599999999999999
85,FARXIGA,warnings and precautions,exact-meddra,3,10,3,,0,,1.0,
86,FARXIGA,warnings and precautions,non-meddra,10,10,4,,6,,0.4,
87,FARXIGA,warnings and precautions,discontinuous,1,10,0,,1,,0.0,
88,FARXIGA,warnings and precautions,hypothetical,4,10,3,,1,,0.75,
89,FARXIGA,all-concat,all,94,24,32,1.0,62,0.9696969696969697,0.3404255319148936,0.5039370078740157
90,FARXIGA,all-concat,exact-meddra,48,24,17,,31,,0.3541666666666667,
91,FARXIGA,all-concat,non-meddra,46,24,15,,31,,0.32608695652173914,
92,FARXIGA,all-concat,discontinuous,12,24,2,,10,,0.16666666666666666,
93,FARXIGA,all-concat,hypothetical,5,24,3,,2,,0.6,
94,VICTRELIS,adverse reactions,all,47,35,33,2.0,14,0.9428571428571428,0.7021276595744681,0.8048780487804879
95,VICTRELIS,adverse reactions,exact-meddra,36,35,32,,4,,0.8888888888888888,
96,VICTRELIS,adverse reactions,non-meddra,11,35,1,,10,,0.09090909090909091,
97,VICTRELIS,adverse reactions,discontinuous,7,35,1,,6,,0.14285714285714285,
98,VICTRELIS,warnings and precautions,all,24,12,10,2.0,14,0.8333333333333334,0.4166666666666667,0.5555555555555556
99,VICTRELIS,warnings and precautions,exact-meddra,12,12,5,,7,,0.4166666666666667,
100,VICTRELIS,warnings and precautions,non-meddra,12,12,5,,7,,0.4166666666666667,
101,VICTRELIS,warnings and precautions,discontinuous,1,12,0,,1,,0.0,
102,VICTRELIS,warnings and precautions,hypothetical,4,12,4,,0,,1.0,
103,VICTRELIS,all-concat,all,64,35,38,0.0,26,1.0,0.59375,0.7450980392156863
104,VICTRELIS,all-concat,exact-meddra,41,35,35,,6,,0.8536585365853658,
105,VICTRELIS,all-concat,non-meddra,23,35,3,,20,,0.13043478260869565,
106,VICTRELIS,all-concat,discontinuous,8,35,1,,7,,0.125,
107,VICTRELIS,all-concat,hypothetical,4,35,3,,1,,0.75,
108,VIMIZIM,adverse reactions,all,9,10,9,1.0,0,0.9,1.0,0.9473684210526316
109,VIMIZIM,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
110,VIMIZIM,adverse reactions,non-meddra,1,10,1,,0,,1.0,
111,VIMIZIM,warnings and precautions,all,21,22,17,6.0,4,0.7391304347826086,0.8095238095238095,0.7727272727272727
112,VIMIZIM,warnings and precautions,exact-meddra,17,22,14,,3,,0.8235294117647058,
113,VIMIZIM,warnings and precautions,non-meddra,4,22,3,,1,,0.75,
114,VIMIZIM,warnings and precautions,hypothetical,1,22,1,,0,,1.0,
115,VIMIZIM,boxed warnings,all,17,19,15,4.0,2,0.7894736842105263,0.8823529411764706,0.8333333333333333
116,VIMIZIM,boxed warnings,exact-meddra,15,19,14,,1,,0.9333333333333333,
117,VIMIZIM,boxed warnings,non-meddra,2,19,1,,1,,0.5,
118,VIMIZIM,boxed warnings,hypothetical,1,19,1,,0,,1.0,
119,VIMIZIM,all-concat,all,25,32,23,10.0,2,0.696969696969697,0.92,0.793103448275862
120,VIMIZIM,all-concat,exact-meddra,21,32,20,,1,,0.9523809523809523,
121,VIMIZIM,all-concat,non-meddra,4,32,3,,1,,0.75,
122,VIMIZIM,all-concat,hypothetical,2,32,2,,0,,1.0,
123,BEPREVE,adverse reactions,all,10,9,8,2.0,2,0.8,0.8,0.8000000000000002
124,BEPREVE,adverse reactions,exact-meddra,6,9,5,,1,,0.8333333333333334,
125,BEPREVE,adverse reactions,non-meddra,4,9,3,,1,,0.75,
126,BEPREVE,adverse reactions,discontinuous,2,9,0,,2,,0.0,
127,BEPREVE,all-concat,all,10,9,7,2.0,3,0.7777777777777778,0.7,0.7368421052631577
128,BEPREVE,all-concat,exact-meddra,6,9,5,,1,,0.8333333333333334,
129,BEPREVE,all-concat,non-meddra,4,9,2,,2,,0.5,
130,BEPREVE,all-concat,discontinuous,2,9,0,,2,,0.0,
131,PRISTIQ,adverse reactions,all,88,41,39,3.0,49,0.9285714285714286,0.4431818181818182,0.6
132,PRISTIQ,adverse reactions,exact-meddra,66,41,33,,33,,0.5,
133,PRISTIQ,adverse reactions,non-meddra,22,41,6,,16,,0.2727272727272727,
134,PRISTIQ,adverse reactions,negated,2,41,0,,2,,0.0,
135,PRISTIQ,adverse reactions,discontinuous,10,41,0,,10,,0.0,
136,PRISTIQ,warnings and precautions,all,83,13,19,0.0,64,1.0,0.2289156626506024,0.37254901960784315
137,PRISTIQ,warnings and precautions,exact-meddra,46,13,12,,34,,0.2608695652173913,
138,PRISTIQ,warnings and precautions,non-meddra,37,13,7,,30,,0.1891891891891892,
139,PRISTIQ,warnings and precautions,negated,4,13,1,,3,,0.25,
140,PRISTIQ,warnings and precautions,discontinuous,4,13,0,,4,,0.0,
141,PRISTIQ,warnings and precautions,hypothetical,55,13,10,,45,,0.18181818181818182,
142,PRISTIQ,boxed warnings,all,4,5,2,2.0,2,0.5,0.5,0.5
143,PRISTIQ,boxed warnings,non-meddra,4,5,2,,2,,0.5,
144,PRISTIQ,boxed warnings,negated,2,5,1,,1,,0.5,
145,PRISTIQ,boxed warnings,discontinuous,2,5,0,,2,,0.0,
146,PRISTIQ,boxed warnings,hypothetical,3,5,2,,1,,0.6666666666666666,
147,PRISTIQ,all-concat,all,148,41,44,2.0,104,0.9565217391304348,0.2972972972972973,0.4536082474226804
148,PRISTIQ,all-concat,exact-meddra,92,41,36,,56,,0.391304347826087,
149,PRISTIQ,all-concat,non-meddra,56,41,8,,48,,0.14285714285714285,
150,PRISTIQ,all-concat,negated,8,41,1,,7,,0.125,
151,PRISTIQ,all-concat,discontinuous,14,41,0,,14,,0.0,
152,PRISTIQ,all-concat,hypothetical,56,41,13,,43,,0.23214285714285715,
153,TAFINLAR,adverse reactions,all,112,42,56,2.0,56,0.9655172413793104,0.5,0.6588235294117647
154,TAFINLAR,adverse reactions,exact-meddra,94,42,49,,45,,0.5212765957446809,
155,TAFINLAR,adverse reactions,non-meddra,18,42,7,,11,,0.3888888888888889,
156,TAFINLAR,warnings and precautions,all,63,15,22,2.0,41,0.9166666666666666,0.3492063492063492,0.5057471264367815
157,TAFINLAR,warnings and precautions,exact-meddra,28,15,11,,17,,0.39285714285714285,
158,TAFINLAR,warnings and precautions,non-meddra,35,15,11,,24,,0.3142857142857143,
159,TAFINLAR,warnings and precautions,discontinuous,2,15,2,,0,,1.0,
160,TAFINLAR,warnings and precautions,hypothetical,25,15,7,,18,,0.28,
