,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2577,385.0,2832,0.8700202565833896,0.4764281752634498,0.6156970493369969,0.8264976593959914,0.5477062869371175,0.650816338617267
1,adverse reactions,discontinuous,18,,379,,0.04534005037783375,,,0.03517949468344552,
2,adverse reactions,exact-meddra,2325,,1838,,0.5584914724957963,,,0.6256311900102492,
3,adverse reactions,hypothetical,20,,60,,0.25,,,0.30603448275862066,
4,adverse reactions,negated,14,,59,,0.1917808219178082,,,0.16476190476190475,
5,adverse reactions,non-meddra,252,,995,,0.2020850040096231,,,0.3024403443203263,
6,all-concat,all,2368,486.0,5014,0.8297126839523475,0.3207802763478732,0.46268073466197734,0.7831593107823379,0.3819934130143833,0.4965425200320745
7,all-concat,discontinuous,23,,778,,0.02871410736579276,,,0.033828824621323784,
8,all-concat,exact-meddra,2102,,2725,,0.4354671638698985,,,0.48916685685630795,
9,all-concat,hypothetical,163,,857,,0.15980392156862744,,,0.22956915440595882,
10,all-concat,negated,17,,115,,0.12878787878787878,,,0.14682539682539683,
11,all-concat,non-meddra,266,,2290,,0.10406885758998435,,,0.17395590731082647,
12,boxed warnings,all,124,165.0,150,0.4290657439446367,0.45255474452554745,0.4404973357015986,0.4337872047381921,0.5083925878043525,0.47050059380886444
13,boxed warnings,discontinuous,2,,35,,0.05405405405405406,,,0.11538461538461539,
14,boxed warnings,exact-meddra,89,,47,,0.6544117647058824,,,0.6667580862827043,
15,boxed warnings,hypothetical,67,,54,,0.5537190082644629,,,0.5971730289912108,
16,boxed warnings,negated,2,,3,,0.4,,,0.5,
17,boxed warnings,non-meddra,35,,103,,0.2536231884057971,,,0.25175070028011204,
18,warnings and precautions,all,778,716.0,1949,0.5207496653279786,0.2852951961862853,0.36863302534944326,0.49172959620444834,0.3685606845356912,0.38108141968214027
19,warnings and precautions,discontinuous,18,,381,,0.045112781954887216,,,0.06823300573300572,
20,warnings and precautions,exact-meddra,549,,664,,0.4525968672712284,,,0.5685064192412288,
21,warnings and precautions,hypothetical,245,,664,,0.26952695269526955,,,0.4182097768813923,
22,warnings and precautions,negated,12,,46,,0.20689655172413793,,,0.23611111111111108,
23,warnings and precautions,non-meddra,229,,1286,,0.15115511551155114,,,0.2228847565504906,
0,all,all,3479,1266.0,4931,0.7331928345626976,0.4136741973840666,0.5014842746639542,0.6256692720799912,0.46774423608973015,0.5113179533829234
