,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3344,335.0,1944,0.9089426474585485,0.632375189107413,0.7458458793353406,0.9192938181812411,0.7063622945922022,0.7791423341843848
1,adverse reactions,discontinuous,101,,289,,0.258974358974359,,,0.2574032503444268,
2,adverse reactions,exact-meddra,2813,,1252,,0.6920049200492004,,,0.7635669403979138,
3,adverse reactions,hypothetical,42,,38,,0.525,,,0.6799261083743842,
4,adverse reactions,negated,33,,38,,0.4647887323943662,,,0.39898989898989895,
5,adverse reactions,non-meddra,531,,693,,0.4338235294117647,,,0.5308962472528443,
6,all-concat,all,3511,370.0,3780,0.9046637464570987,0.4815525990947744,0.6285356247762263,0.8938728750776886,0.5397260210043597,0.6510200726677189
7,all-concat,discontinuous,164,,633,,0.205771643663739,,,0.22466869944808443,
8,all-concat,exact-meddra,2785,,1978,,0.5847155154314507,,,0.6387987451574108,
9,all-concat,hypothetical,345,,666,,0.34124629080118696,,,0.4345746420347357,
10,all-concat,negated,43,,88,,0.3282442748091603,,,0.3657986111111111,
11,all-concat,non-meddra,726,,1803,,0.2870699881376038,,,0.3615293792273019,
12,boxed warnings,all,233,117.0,41,0.6657142857142857,0.8503649635036497,0.7467948717948718,0.6524520204259455,0.8910234516658665,0.7164430363359727
13,boxed warnings,discontinuous,22,,15,,0.5945945945945946,,,0.6048534798534798,
14,boxed warnings,exact-meddra,132,,4,,0.9705882352941176,,,0.9635627530364372,
15,boxed warnings,hypothetical,104,,17,,0.859504132231405,,,0.9105929424111242,
16,boxed warnings,negated,4,,1,,0.8,,,0.75,
17,boxed warnings,non-meddra,101,,37,,0.7318840579710145,,,0.7793067226890756,
18,warnings and precautions,all,1395,518.0,1332,0.7292211186617877,0.5115511551155115,0.6012931034482759,0.7015799509904767,0.6278714533443142,0.6050432454090668
19,warnings and precautions,discontinuous,118,,281,,0.2957393483709273,,,0.3415588871471224,
20,warnings and precautions,exact-meddra,771,,442,,0.6356141797197032,,,0.7659780661533068,
21,warnings and precautions,hypothetical,467,,442,,0.5137513751375138,,,0.664205680415075,
22,warnings and precautions,negated,29,,29,,0.5,,,0.6145833333333334,
23,warnings and precautions,non-meddra,624,,891,,0.41188118811881186,,,0.5167908526491436,
0,all,all,4972,970.0,3317,0.8367553012453719,0.5998311014597659,0.6832774315068291,0.7857116240265172,0.703813202146707,0.6967911165371818
