,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,warnings and precautions,all,35,33,20,13.0,15,0.6060606060606061,0.5714285714285714,0.588235294117647
1,XEOMIN,warnings and precautions,exact-meddra,16,33,12,,4,,0.75,
2,XEOMIN,warnings and precautions,non-meddra,19,33,8,,11,,0.42105263157894735,
3,XEOMIN,warnings and precautions,discontinuous,5,33,2,,3,,0.4,
4,XEOMIN,warnings and precautions,hypothetical,24,33,12,,12,,0.5,
5,XEOMIN,boxed warnings,all,16,12,12,0.0,4,1.0,0.75,0.8571428571428571
6,XEOMIN,boxed warnings,exact-meddra,10,12,10,,0,,1.0,
7,XEOMIN,boxed warnings,non-meddra,6,12,2,,4,,0.3333333333333333,
8,XEOMIN,boxed warnings,discontinuous,1,12,1,,0,,1.0,
9,XEOMIN,boxed warnings,hypothetical,12,12,10,,2,,0.8333333333333334,
10,XEOMIN,all-concat,all,81,36,24,12.0,57,0.6666666666666666,0.2962962962962963,0.41025641025641024
11,XEOMIN,all-concat,exact-meddra,53,36,24,,29,,0.4528301886792453,
12,XEOMIN,all-concat,non-meddra,28,36,0,,28,,0.0,
13,XEOMIN,all-concat,negated,1,36,1,,0,,1.0,
14,XEOMIN,all-concat,discontinuous,10,36,0,,10,,0.0,
15,XEOMIN,all-concat,hypothetical,33,36,3,,30,,0.09090909090909091,
16,QUTENZA,adverse reactions,all,40,36,35,1.0,5,0.9722222222222222,0.875,0.9210526315789473
17,QUTENZA,adverse reactions,exact-meddra,34,36,34,,0,,1.0,
18,QUTENZA,adverse reactions,non-meddra,6,36,1,,5,,0.16666666666666666,
19,QUTENZA,warnings and precautions,all,6,9,2,7.0,4,0.2222222222222222,0.3333333333333333,0.26666666666666666
20,QUTENZA,warnings and precautions,exact-meddra,3,9,2,,1,,0.6666666666666666,
21,QUTENZA,warnings and precautions,non-meddra,3,9,0,,3,,0.0,
22,QUTENZA,warnings and precautions,hypothetical,4,9,2,,2,,0.5,
23,QUTENZA,all-concat,all,45,37,36,1.0,9,0.972972972972973,0.8,0.8780487804878049
24,QUTENZA,all-concat,exact-meddra,37,37,34,,3,,0.918918918918919,
25,QUTENZA,all-concat,non-meddra,8,37,2,,6,,0.25,
26,QUTENZA,all-concat,hypothetical,4,37,0,,4,,0.0,
27,ZYTIGA,adverse reactions,all,61,41,29,12.0,32,0.7073170731707317,0.47540983606557374,0.5686274509803921
28,ZYTIGA,adverse reactions,exact-meddra,43,41,23,,20,,0.5348837209302325,
29,ZYTIGA,adverse reactions,non-meddra,18,41,6,,12,,0.3333333333333333,
30,ZYTIGA,adverse reactions,negated,3,41,2,,1,,0.6666666666666666,
31,ZYTIGA,adverse reactions,discontinuous,1,41,0,,1,,0.0,
32,ZYTIGA,warnings and precautions,all,15,14,7,7.0,8,0.5,0.4666666666666667,0.4827586206896552
33,ZYTIGA,warnings and precautions,exact-meddra,6,14,4,,2,,0.6666666666666666,
34,ZYTIGA,warnings and precautions,non-meddra,9,14,3,,6,,0.3333333333333333,
35,ZYTIGA,warnings and precautions,negated,1,14,0,,1,,0.0,
36,ZYTIGA,warnings and precautions,discontinuous,1,14,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,hypothetical,3,14,3,,0,,1.0,
38,ZYTIGA,all-concat,all,68,37,31,6.0,37,0.8378378378378378,0.45588235294117646,0.5904761904761905
39,ZYTIGA,all-concat,exact-meddra,44,37,23,,21,,0.5227272727272727,
40,ZYTIGA,all-concat,non-meddra,24,37,8,,16,,0.3333333333333333,
41,ZYTIGA,all-concat,negated,3,37,2,,1,,0.6666666666666666,
42,ZYTIGA,all-concat,discontinuous,2,37,0,,2,,0.0,
43,ZYTIGA,all-concat,hypothetical,3,37,2,,1,,0.6666666666666666,
44,TOVIAZ,adverse reactions,all,37,26,22,4.0,15,0.8461538461538461,0.5945945945945946,0.6984126984126985
45,TOVIAZ,adverse reactions,exact-meddra,33,26,22,,11,,0.6666666666666666,
46,TOVIAZ,adverse reactions,non-meddra,4,26,0,,4,,0.0,
47,TOVIAZ,warnings and precautions,all,13,12,4,8.0,9,0.3333333333333333,0.3076923076923077,0.32
48,TOVIAZ,warnings and precautions,exact-meddra,4,12,4,,0,,1.0,
49,TOVIAZ,warnings and precautions,non-meddra,9,12,0,,9,,0.0,
50,TOVIAZ,warnings and precautions,discontinuous,5,12,0,,5,,0.0,
51,TOVIAZ,all-concat,all,46,39,24,15.0,22,0.6153846153846154,0.5217391304347826,0.5647058823529412
52,TOVIAZ,all-concat,exact-meddra,33,39,23,,10,,0.696969696969697,
53,TOVIAZ,all-concat,non-meddra,13,39,1,,12,,0.07692307692307693,
54,TOVIAZ,all-concat,discontinuous,5,39,0,,5,,0.0,
