,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,43,44,2.0,4,0.9565217391304348,0.9166666666666666,0.9361702127659574
1,XEOMIN,adverse reactions,exact-meddra,40,43,40,,4,,0.9090909090909091,
2,XEOMIN,adverse reactions,non-meddra,6,43,4,,35,,0.10256410256410256,
3,XEOMIN,adverse reactions,negated,1,43,1,,41,,0.023809523809523808,
4,XEOMIN,adverse reactions,discontinuous,5,43,5,,36,,0.12195121951219512,
5,XEOMIN,warnings and precautions,all,35,25,24,11.0,3,0.6857142857142857,0.8888888888888888,0.7741935483870968
6,XEOMIN,warnings and precautions,exact-meddra,16,25,12,,10,,0.5454545454545454,
7,XEOMIN,warnings and precautions,non-meddra,19,25,12,,11,,0.5217391304347826,
8,XEOMIN,warnings and precautions,discontinuous,5,25,4,,17,,0.19047619047619047,
9,XEOMIN,warnings and precautions,hypothetical,24,25,16,,9,,0.64,
10,XEOMIN,boxed warnings,all,16,13,15,1.0,0,0.9375,1.0,0.967741935483871
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,2,,0.8333333333333334,
12,XEOMIN,boxed warnings,non-meddra,6,13,5,,9,,0.35714285714285715,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,10,,0.09090909090909091,
14,XEOMIN,boxed warnings,hypothetical,12,13,11,,1,,0.9166666666666666,
15,XEOMIN,all-concat,all,81,34,58,23.0,0,0.7160493827160493,1.0,0.8345323741007193
16,XEOMIN,all-concat,exact-meddra,53,34,44,,0,,1.0,
17,XEOMIN,all-concat,non-meddra,28,34,14,,23,,0.3783783783783784,
18,XEOMIN,all-concat,negated,1,34,1,,30,,0.03225806451612903,
19,XEOMIN,all-concat,discontinuous,10,34,3,,30,,0.09090909090909091,
20,XEOMIN,all-concat,hypothetical,33,34,21,,10,,0.6774193548387096,
21,QUTENZA,adverse reactions,all,40,32,36,4.0,0,0.9,1.0,0.9473684210526316
22,QUTENZA,adverse reactions,exact-meddra,34,32,33,,0,,1.0,
23,QUTENZA,adverse reactions,non-meddra,6,32,3,,18,,0.14285714285714285,
24,QUTENZA,warnings and precautions,all,6,27,6,0.0,17,1.0,0.2608695652173913,0.41379310344827586
25,QUTENZA,warnings and precautions,exact-meddra,3,27,3,,23,,0.11538461538461539,
26,QUTENZA,warnings and precautions,non-meddra,3,27,3,,20,,0.13043478260869565,
27,QUTENZA,warnings and precautions,hypothetical,4,27,4,,21,,0.16,
28,QUTENZA,all-concat,all,45,38,42,3.0,1,0.9333333333333333,0.9767441860465116,0.9545454545454545
29,QUTENZA,all-concat,exact-meddra,37,38,36,,4,,0.9,
30,QUTENZA,all-concat,non-meddra,8,38,6,,21,,0.2222222222222222,
31,QUTENZA,all-concat,hypothetical,4,38,3,,33,,0.08333333333333333,
32,ZYTIGA,adverse reactions,all,61,37,38,23.0,7,0.6229508196721312,0.8444444444444444,0.7169811320754719
33,ZYTIGA,adverse reactions,exact-meddra,43,37,26,,12,,0.6842105263157895,
34,ZYTIGA,adverse reactions,non-meddra,18,37,12,,28,,0.3,
35,ZYTIGA,adverse reactions,negated,3,37,1,,35,,0.027777777777777776,
36,ZYTIGA,adverse reactions,discontinuous,1,37,1,,36,,0.02702702702702703,
37,ZYTIGA,warnings and precautions,all,15,10,12,3.0,2,0.8,0.8571428571428571,0.8275862068965518
