,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4159,1205.0,114,0.7753542132736764,0.9733208518605195,0.8631316799833975,0.8278340992084643,0.9614812458092697,0.8726936528412667
1,adverse reactions,discontinuous,282,,2153,,0.11581108829568788,,,0.1511370242683681,
2,adverse reactions,exact-meddra,3351,,340,,0.9078840422649689,,,0.8876977916529603,
3,adverse reactions,hypothetical,55,,752,,0.06815365551425032,,,0.08005925161466752,
4,adverse reactions,negated,49,,1078,,0.043478260869565216,,,0.06592716623193395,
5,adverse reactions,non-meddra,808,,2323,,0.25806451612903225,,,0.28972343935013967,
6,all-concat,all,4742,2527.0,177,0.6523593341587564,0.9640170766415939,0.7781424351821463,0.7239094293988774,0.9390979085869524,0.8039411521580412
7,all-concat,discontinuous,424,,2374,,0.15153681200857755,,,0.16339593988206294,
8,all-concat,exact-meddra,3463,,416,,0.8927558649136376,,,0.8534474223074962,
9,all-concat,hypothetical,558,,2086,,0.21104387291981846,,,0.2252060969352935,
10,all-concat,negated,73,,1500,,0.046408137317228225,,,0.059235216903850994,
11,all-concat,non-meddra,1279,,2104,,0.3780668046112918,,,0.378107197317265,
12,boxed warnings,all,231,43.0,125,0.843065693430657,0.648876404494382,0.7333333333333333,0.8464608369213632,0.6650974025974026,0.7443789775115431
13,boxed warnings,discontinuous,29,,79,,0.26851851851851855,,,0.3368125338713574,
14,boxed warnings,exact-meddra,118,,154,,0.4338235294117647,,,0.45869778018734375,
15,boxed warnings,hypothetical,106,,170,,0.38405797101449274,,,0.43507440931683355,
16,boxed warnings,negated,5,,52,,0.08771929824561403,,,0.21070075757575757,
17,boxed warnings,non-meddra,113,,185,,0.37919463087248323,,,0.4494727648866239,
18,warnings and precautions,all,1866,861.0,413,0.6842684268426843,0.8187801667397981,0.7455053935277667,0.7599165875317214,0.7902817078752824,0.7306848034630937
19,warnings and precautions,discontinuous,292,,1088,,0.21159420289855072,,,0.21907970588822448,
20,warnings and precautions,exact-meddra,884,,753,,0.5400122174709835,,,0.5273341040641589,
21,warnings and precautions,hypothetical,635,,969,,0.3958852867830424,,,0.4081727615288254,
22,warnings and precautions,negated,34,,480,,0.06614785992217899,,,0.11478204306329305,
23,warnings and precautions,non-meddra,982,,874,,0.5290948275862069,,,0.5270747892478433,
0,all,all,6256,2109.0,652,0.7478780633592349,0.9056166763173132,0.7869989227172457,0.8028120455933413,0.8428900065682156,0.7937486455384649
