,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,43,36,6.0,10,0.8571428571428571,0.782608695652174,0.8181818181818182
1,XEOMIN,adverse reactions,exact-meddra,40,43,35,,5,,0.875,
2,XEOMIN,adverse reactions,non-meddra,6,43,1,,5,,0.16666666666666666,
3,XEOMIN,adverse reactions,negated,1,43,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,43,2,,3,,0.4,
5,XEOMIN,warnings and precautions,all,35,25,20,5.0,15,0.8,0.5714285714285714,0.6666666666666666
6,XEOMIN,warnings and precautions,exact-meddra,16,25,12,,4,,0.75,
7,XEOMIN,warnings and precautions,non-meddra,19,25,8,,11,,0.42105263157894735,
8,XEOMIN,warnings and precautions,discontinuous,5,25,2,,3,,0.4,
9,XEOMIN,warnings and precautions,hypothetical,24,25,12,,12,,0.5,
10,XEOMIN,boxed warnings,all,16,13,14,0.0,2,1.0,0.875,0.9333333333333333
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,4,,2,,0.6666666666666666,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,0,,1.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,11,,1,,0.9166666666666666,
15,XEOMIN,all-concat,all,81,34,39,0.0,42,1.0,0.48148148148148145,0.65
16,XEOMIN,all-concat,exact-meddra,53,34,35,,18,,0.660377358490566,
17,XEOMIN,all-concat,non-meddra,28,34,4,,24,,0.14285714285714285,
18,XEOMIN,all-concat,negated,1,34,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,34,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,34,13,,20,,0.3939393939393939,
21,QUTENZA,adverse reactions,all,40,32,34,0.0,6,1.0,0.85,0.9189189189189189
22,QUTENZA,adverse reactions,exact-meddra,34,32,33,,1,,0.9705882352941176,
23,QUTENZA,adverse reactions,non-meddra,6,32,1,,5,,0.16666666666666666,
24,QUTENZA,warnings and precautions,all,6,27,6,20.0,0,0.23076923076923078,1.0,0.375
25,QUTENZA,warnings and precautions,exact-meddra,3,27,3,,0,,1.0,
26,QUTENZA,warnings and precautions,non-meddra,3,27,3,,0,,1.0,
27,QUTENZA,warnings and precautions,hypothetical,4,27,4,,0,,1.0,
28,QUTENZA,all-concat,all,45,38,39,0.0,6,1.0,0.8666666666666667,0.9285714285714286
29,QUTENZA,all-concat,exact-meddra,37,38,35,,2,,0.9459459459459459,
30,QUTENZA,all-concat,non-meddra,8,38,4,,4,,0.5,
31,QUTENZA,all-concat,hypothetical,4,38,2,,2,,0.5,
32,ZYTIGA,adverse reactions,all,61,37,30,7.0,31,0.8108108108108109,0.4918032786885246,0.6122448979591837
33,ZYTIGA,adverse reactions,exact-meddra,43,37,24,,19,,0.5581395348837209,
34,ZYTIGA,adverse reactions,non-meddra,18,37,6,,12,,0.3333333333333333,
35,ZYTIGA,adverse reactions,negated,3,37,1,,2,,0.3333333333333333,
36,ZYTIGA,adverse reactions,discontinuous,1,37,0,,1,,0.0,
37,ZYTIGA,warnings and precautions,all,15,10,7,3.0,8,0.7,0.4666666666666667,0.56
38,ZYTIGA,warnings and precautions,exact-meddra,6,10,4,,2,,0.6666666666666666,
39,ZYTIGA,warnings and precautions,non-meddra,9,10,3,,6,,0.3333333333333333,
40,ZYTIGA,warnings and precautions,negated,1,10,0,,1,,0.0,
41,ZYTIGA,warnings and precautions,discontinuous,1,10,0,,1,,0.0,
42,ZYTIGA,warnings and precautions,hypothetical,3,10,3,,0,,1.0,
43,ZYTIGA,all-concat,all,68,32,36,0.0,32,1.0,0.5294117647058824,0.6923076923076924
44,ZYTIGA,all-concat,exact-meddra,44,32,27,,17,,0.6136363636363636,
45,ZYTIGA,all-concat,non-meddra,24,32,9,,15,,0.375,
46,ZYTIGA,all-concat,negated,3,32,3,,0,,1.0,
47,ZYTIGA,all-concat,discontinuous,2,32,0,,2,,0.0,
48,ZYTIGA,all-concat,hypothetical,3,32,2,,1,,0.6666666666666666,
49,TOVIAZ,adverse reactions,all,37,11,12,0.0,25,1.0,0.32432432432432434,0.489795918367347
