,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3275,203.0,2089,0.9416331224841863,0.6105518269947801,0.7407826283646234,0.9405743172399704,0.6942422583145421,0.7685977301991458
1,adverse reactions,discontinuous,110,,284,,0.27918781725888325,,,0.2493124844060673,
2,adverse reactions,exact-meddra,2739,,1395,,0.6625544267053701,,,0.7489635707220497,
3,adverse reactions,hypothetical,43,,36,,0.5443037974683544,,,0.6516156462585033,
4,adverse reactions,negated,33,,38,,0.4647887323943662,,,0.38480392156862747,
5,adverse reactions,non-meddra,536,,695,,0.4354183590576767,,,0.5167788810989127,
6,all-concat,all,3303,252.0,3966,0.9291139240506329,0.4543953776310359,0.6103104212860311,0.914182432139404,0.5502799482695251,0.6606651040837495
7,all-concat,discontinuous,126,,656,,0.16112531969309463,,,0.17799584216192924,
8,all-concat,exact-meddra,2643,,2112,,0.5558359621451104,,,0.6456118329074135,
9,all-concat,hypothetical,330,,681,,0.3264094955489614,,,0.42612819484646064,
10,all-concat,negated,47,,84,,0.35877862595419846,,,0.35931712962962964,
11,all-concat,non-meddra,660,,1855,,0.2624254473161034,,,0.36386214010022494,
12,boxed warnings,all,210,128.0,64,0.621301775147929,0.7664233576642335,0.6862745098039216,0.6645062969366374,0.8505228947179412,0.6960056637813691
13,boxed warnings,discontinuous,16,,21,,0.43243243243243246,,,0.538003663003663,
14,boxed warnings,exact-meddra,110,,26,,0.8088235294117647,,,0.8459383570589004,
15,boxed warnings,hypothetical,101,,20,,0.8347107438016529,,,0.8605929424111243,
16,boxed warnings,negated,3,,2,,0.6,,,0.625,
17,boxed warnings,non-meddra,100,,38,,0.7246376811594203,,,0.8100490196078431,
18,warnings and precautions,all,1402,524.0,1325,0.7279335410176532,0.5141180784745141,0.6026219643240919,0.7189995227963988,0.5975779671050333,0.6043409269995536
19,warnings and precautions,discontinuous,128,,271,,0.3208020050125313,,,0.25734333675510146,
20,warnings and precautions,exact-meddra,764,,449,,0.629843363561418,,,0.7467836679556427,
21,warnings and precautions,hypothetical,484,,425,,0.5324532453245324,,,0.6289556129839795,
22,warnings and precautions,negated,25,,33,,0.43103448275862066,,,0.517361111111111,
23,warnings and precautions,non-meddra,638,,877,,0.42112211221122114,,,0.4849686644373538,
0,all,all,4887,855.0,3478,0.8510971786833855,0.5842199641362821,0.6803657530300142,0.8044749988035742,0.679613441020954,0.6894218685280502
