,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,XEOMIN,adverse reactions,all,46,43,29,14.0,17,0.6744186046511628,0.6304347826086957,0.651685393258427
1,XEOMIN,adverse reactions,exact-meddra,40,43,29,,11,,0.725,
2,XEOMIN,adverse reactions,non-meddra,6,43,0,,6,,0.0,
3,XEOMIN,adverse reactions,negated,1,43,1,,0,,1.0,
4,XEOMIN,adverse reactions,discontinuous,5,43,0,,5,,0.0,
5,XEOMIN,warnings and precautions,all,35,25,18,7.0,17,0.72,0.5142857142857142,0.6
6,XEOMIN,warnings and precautions,exact-meddra,16,25,11,,5,,0.6875,
7,XEOMIN,warnings and precautions,non-meddra,19,25,7,,12,,0.3684210526315789,
8,XEOMIN,warnings and precautions,discontinuous,5,25,1,,4,,0.2,
9,XEOMIN,warnings and precautions,hypothetical,24,25,11,,13,,0.4583333333333333,
10,XEOMIN,boxed warnings,all,16,13,13,0.0,3,1.0,0.8125,0.896551724137931
11,XEOMIN,boxed warnings,exact-meddra,10,13,10,,0,,1.0,
12,XEOMIN,boxed warnings,non-meddra,6,13,3,,3,,0.5,
13,XEOMIN,boxed warnings,discontinuous,1,13,1,,0,,1.0,
14,XEOMIN,boxed warnings,hypothetical,12,13,10,,2,,0.8333333333333334,
15,XEOMIN,all-concat,all,81,34,32,2.0,49,0.9411764705882353,0.3950617283950617,0.5565217391304348
16,XEOMIN,all-concat,exact-meddra,53,34,31,,22,,0.5849056603773585,
17,XEOMIN,all-concat,non-meddra,28,34,1,,27,,0.03571428571428571,
18,XEOMIN,all-concat,negated,1,34,1,,0,,1.0,
19,XEOMIN,all-concat,discontinuous,10,34,0,,10,,0.0,
20,XEOMIN,all-concat,hypothetical,33,34,11,,22,,0.3333333333333333,
21,QUTENZA,adverse reactions,all,40,32,32,0.0,8,1.0,0.8,0.888888888888889
22,QUTENZA,adverse reactions,exact-meddra,34,32,32,,2,,0.9411764705882353,
23,QUTENZA,adverse reactions,non-meddra,6,32,0,,6,,0.0,
24,QUTENZA,warnings and precautions,all,6,27,1,26.0,5,0.037037037037037035,0.16666666666666666,0.06060606060606061
25,QUTENZA,warnings and precautions,exact-meddra,3,27,0,,3,,0.0,
26,QUTENZA,warnings and precautions,non-meddra,3,27,1,,2,,0.3333333333333333,
27,QUTENZA,warnings and precautions,hypothetical,4,27,0,,4,,0.0,
28,QUTENZA,all-concat,all,45,38,35,3.0,10,0.9210526315789473,0.7777777777777778,0.8433734939759038
29,QUTENZA,all-concat,exact-meddra,37,38,34,,3,,0.918918918918919,
30,QUTENZA,all-concat,non-meddra,8,38,1,,7,,0.125,
31,QUTENZA,all-concat,hypothetical,4,38,0,,4,,0.0,
