,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2524,655.0,2840,0.793960364894621,0.47054436987322895,0.5908931288774435,0.7989608884410351,0.54625498896055,0.625916847213939
1,adverse reactions,discontinuous,21,,373,,0.0532994923857868,,,0.07209878901055371,
2,adverse reactions,exact-meddra,2280,,1854,,0.5515239477503628,,,0.6311903114081416,
3,adverse reactions,hypothetical,22,,57,,0.27848101265822783,,,0.2553996598639456,
4,adverse reactions,negated,18,,53,,0.2535211267605634,,,0.19558823529411765,
5,adverse reactions,non-meddra,244,,987,,0.19821283509341997,,,0.27766206405416316,
6,all-concat,all,2368,730.0,4901,0.7643641058747579,0.3257669555647269,0.456834185395968,0.74277860676958,0.4041006905042989,0.5070495277312995
7,all-concat,discontinuous,20,,762,,0.02557544757033248,,,0.0331365937983585,
8,all-concat,exact-meddra,2139,,2616,,0.4498422712933754,,,0.53196535877672,
9,all-concat,hypothetical,147,,864,,0.14540059347181009,,,0.19149344714960467,
10,all-concat,negated,19,,112,,0.1450381679389313,,,0.13599537037037038,
11,all-concat,non-meddra,229,,2286,,0.09105367793240557,,,0.1529168299795999,
12,boxed warnings,all,119,214.0,155,0.35735735735735735,0.4343065693430657,0.39209225700164746,0.3478650112357543,0.4230878935019802,0.4605025719833772
13,boxed warnings,discontinuous,3,,34,,0.08108108108108109,,,0.12637362637362637,
14,boxed warnings,exact-meddra,86,,50,,0.6323529411764706,,,0.5087175133864438,
15,boxed warnings,hypothetical,56,,65,,0.4628099173553719,,,0.3825265643447462,
16,boxed warnings,negated,2,,3,,0.4,,,0.5,
17,boxed warnings,non-meddra,33,,105,,0.2391304347826087,,,0.22664565826330532,
18,warnings and precautions,all,705,964.0,2022,0.4224086279209107,0.2585258525852585,0.32074613284804365,0.4437167874110644,0.3343792754888419,0.35899243826932975
19,warnings and precautions,discontinuous,14,,385,,0.03508771929824561,,,0.06091318591318592,
20,warnings and precautions,exact-meddra,484,,729,,0.39901071723000825,,,0.48748011538434805,
21,warnings and precautions,hypothetical,235,,674,,0.2585258525852585,,,0.35369116858902144,
22,warnings and precautions,negated,7,,51,,0.1206896551724138,,,0.16666666666666666,
23,warnings and precautions,non-meddra,221,,1294,,0.14587458745874587,,,0.20768037376389278,
0,all,all,3348,1833.0,5017,0.6462072958888245,0.4002390914524806,0.46319594396130565,0.5793850538295124,0.4388835258363741,0.49248930355671017
