,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,4338,1071.0,31,0.8019966722129783,0.9929045548180362,0.8872980159541828,0.852028601890142,0.985506996007048,0.8989889351075155
1,adverse reactions,discontinuous,309,,1792,,0.14707282246549264,,,0.16830878121063209,
2,adverse reactions,exact-meddra,3372,,190,,0.9466591802358225,,,0.9286407343450097,
3,adverse reactions,negated,60,,1086,,0.05235602094240838,,,0.07910649127244049,
4,adverse reactions,non-meddra,966,,1647,,0.36969001148105624,,,0.3724189057493125,
5,all-concat,all,4890,2492.0,35,0.6624221078298564,0.9928934010152284,0.7946697001706347,0.7233037568299736,0.9868843222060861,0.8086928506266414
6,all-concat,discontinuous,493,,1547,,0.24166666666666667,,,0.2436641609548203,
7,all-concat,exact-meddra,3314,,163,,0.9531205061834915,,,0.9333445264408606,
8,all-concat,negated,97,,1112,,0.08023159636062861,,,0.12756847116290115,
9,all-concat,non-meddra,1576,,1111,,0.5865277260885746,,,0.5638961428171897,
10,boxed warnings,all,248,26.0,33,0.9051094890510949,0.8825622775800712,0.8936936936936938,0.9397251140672193,0.8313864926160752,0.861601397398611
11,boxed warnings,discontinuous,33,,48,,0.4074074074074074,,,0.43002958579881656,
12,boxed warnings,exact-meddra,128,,59,,0.6844919786096256,,,0.6172450678143278,
13,boxed warnings,negated,5,,7,,0.4166666666666667,,,0.4375,
14,boxed warnings,non-meddra,120,,99,,0.547945205479452,,,0.5738837959426195,
15,warnings and precautions,all,2029,698.0,134,0.744041070773744,0.938049006010171,0.8298568507157464,0.7920685294002953,0.891050423787417,0.8228162802183389
16,warnings and precautions,discontinuous,276,,769,,0.2641148325358852,,,0.2689141058181306,
17,warnings and precautions,exact-meddra,946,,367,,0.7204874333587205,,,0.6577520868421151,
18,warnings and precautions,negated,40,,287,,0.12232415902140673,,,0.14868495296126874,
19,warnings and precautions,non-meddra,1083,,414,,0.7234468937875751,,,0.6778050072474041,
0,all,all,6615,1795.0,198,0.786563614744352,0.9709379128137384,0.8583513292996109,0.8415046206664717,0.9218677306080599,0.861825950842412
