,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,2973.0,138.0,2364.0,0.9556412729026037,0.5570545250140528,0.7038352272727272,0.9398650892901923,0.651968517894212,0.7288181058673258
1,adverse reactions,discontinuous,141.0,,247.0,,0.3634020618556701,,,0.3905670799788447,
2,adverse reactions,exact-meddra,2438.0,,1725.0,,0.585635359116022,,,0.6942863468299669,
3,adverse reactions,negated,19.0,,13.0,,0.59375,,,0.623015873015873,
4,adverse reactions,non-meddra,535.0,,640.0,,0.4553191489361702,,,0.5274152309329789,
5,all-concat,all,2685.0,148.0,4353.0,0.9477585598305683,0.3815004262574595,0.5440178300070915,0.9350959443906468,0.482767937474861,0.581077068685101
6,all-concat,discontinuous,193.0,,549.0,,0.2601078167115903,,,0.27496021314152386,
7,all-concat,exact-meddra,2047.0,,2780.0,,0.4240729231406671,,,0.5439459524231149,
8,all-concat,negated,28.0,,31.0,,0.4745762711864407,,,0.5303030303030303,
9,all-concat,non-meddra,638.0,,1574.0,,0.2884267631103074,,,0.3540141328648952,
10,boxed warnings,all,191.0,53.0,71.0,0.7827868852459017,0.7290076335877863,0.7549407114624506,0.7287673841466411,0.8388386359942087,0.7365597978446276
11,boxed warnings,discontinuous,18.0,,15.0,,0.5454545454545454,,,0.5427489177489178,
12,boxed warnings,exact-meddra,106.0,,30.0,,0.7794117647058824,,,0.8761830133646772,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,85.0,,41.0,,0.6746031746031746,,,0.7292568542568543,
15,warnings and precautions,all,1109.0,352.0,1343.0,0.759069130732375,0.45228384991843396,0.5668285203168925,0.7148491830313953,0.5468105396259777,0.5914716553203935
16,warnings and precautions,discontinuous,129.0,,221.0,,0.36857142857142855,,,0.3775849943707087,
17,warnings and precautions,exact-meddra,624.0,,589.0,,0.5144270403957131,,,0.6609887356844838,
18,warnings and precautions,negated,17.0,,10.0,,0.6296296296296297,,,0.7156862745098039,
19,warnings and precautions,non-meddra,485.0,,755.0,,0.3911290322580645,,,0.4586672240092433,
0,all,all,4273.0,543.0,3778.0,0.887250830564784,0.5307415227921998,0.6520793613257408,0.8121525226737294,0.6388360627915898,0.6743149925903125
